code optimization for space efficiency
13 Q0 CACM-1947 1 13.575805760235301 BM25System
13 Q0 CACM-1795 2 10.791499750307342 BM25System
13 Q0 CACM-2748 3 10.280708618032923 BM25System
13 Q0 CACM-2495 4 10.126058279384539 BM25System
13 Q0 CACM-2491 5 9.965310223469157 BM25System
13 Q0 CACM-2559 6 9.770443132424179 BM25System
13 Q0 CACM-3080 7 9.060421077293762 BM25System
13 Q0 CACM-2680 8 8.985432477014275 BM25System
13 Q0 CACM-1886 9 8.572277399391453 BM25System
13 Q0 CACM-2904 10 8.495881747854671 BM25System
13 Q0 CACM-3054 11 8.471599288492037 BM25System
13 Q0 CACM-2944 12 8.200257463382606 BM25System
13 Q0 CACM-2537 13 8.130957347236214 BM25System
13 Q0 CACM-2253 14 7.912776106457013 BM25System
13 Q0 CACM-1195 15 7.484732792229131 BM25System
13 Q0 CACM-3171 16 7.39372795988697 BM25System
13 Q0 CACM-2929 17 7.329040520074662 BM25System
13 Q0 CACM-1564 18 7.129207248269196 BM25System
13 Q0 CACM-2033 19 7.026031696598227 BM25System
13 Q0 CACM-2464 20 7.012288755881135 BM25System
13 Q0 CACM-1651 21 6.436208111808565 BM25System
13 Q0 CACM-2374 22 6.3350042572092775 BM25System
13 Q0 CACM-3083 23 6.326068777437942 BM25System
13 Q0 CACM-2423 24 6.25384808996387 BM25System
13 Q0 CACM-2835 25 6.2180368491760145 BM25System
13 Q0 CACM-2716 26 6.174450592511187 BM25System
13 Q0 CACM-1362 27 6.171699111864338 BM25System
13 Q0 CACM-1223 28 6.166378176726934 BM25System
13 Q0 CACM-1655 29 6.156198264727991 BM25System
13 Q0 CACM-0048 30 6.146242694251344 BM25System
13 Q0 CACM-1807 31 6.146119410048023 BM25System
13 Q0 CACM-3005 32 5.991010691587492 BM25System
13 Q0 CACM-2701 33 5.98576303651174 BM25System
13 Q0 CACM-1231 34 5.985334663191616 BM25System
13 Q0 CACM-1901 35 5.889058687942644 BM25System
13 Q0 CACM-2711 36 5.869420453058223 BM25System
13 Q0 CACM-1756 37 5.760228732604033 BM25System
13 Q0 CACM-2745 38 5.724925432256276 BM25System
13 Q0 CACM-2524 39 5.632518281598426 BM25System
13 Q0 CACM-2858 40 5.613945646402578 BM25System
13 Q0 CACM-3129 41 5.589712500453643 BM25System
