concurrency control mechanisms in operating systems
26 Q0 CACM-2626 1 12.609100818500162 BM25System
26 Q0 CACM-2632 2 10.657298978108198 BM25System
26 Q0 CACM-2840 3 10.403741882826903 BM25System
26 Q0 CACM-3105 4 10.380931689283358 BM25System
26 Q0 CACM-2939 5 10.109214457595394 BM25System
26 Q0 CACM-2377 6 9.800767786117081 BM25System
26 Q0 CACM-3128 7 9.361435295376962 BM25System
26 Q0 CACM-2870 8 8.977058003415438 BM25System
26 Q0 CACM-3068 9 8.791740068183286 BM25System
26 Q0 CACM-1750 10 8.76678526111347 BM25System
26 Q0 CACM-2080 11 8.757982567249742 BM25System
26 Q0 CACM-2372 12 8.601237091199035 BM25System
26 Q0 CACM-2314 13 8.411484589335346 BM25System
26 Q0 CACM-2320 14 8.386770290340436 BM25System
26 Q0 CACM-2558 15 8.324945347519403 BM25System
26 Q0 CACM-1677 16 8.205955968963375 BM25System
26 Q0 CACM-1680 17 8.12749752630203 BM25System
26 Q0 CACM-2844 18 7.91668338172009 BM25System
26 Q0 CACM-2541 19 7.859533207997214 BM25System
26 Q0 CACM-1461 20 7.761758729845106 BM25System
26 Q0 CACM-2578 21 7.601680547079447 BM25System
26 Q0 CACM-2111 22 7.397610621659069 BM25System
26 Q0 CACM-2938 23 7.287849400950805 BM25System
26 Q0 CACM-1591 24 7.235267924339464 BM25System
26 Q0 CACM-1462 25 7.223186441730972 BM25System
26 Q0 CACM-1463 26 7.2181128927164755 BM25System
26 Q0 CACM-1728 27 7.171058068808281 BM25System
26 Q0 CACM-3026 28 7.143359132183159 BM25System
26 Q0 CACM-2036 29 7.136357013406103 BM25System
26 Q0 CACM-2817 30 7.061967035268639 BM25System
26 Q0 CACM-2867 31 7.023644192624719 BM25System
26 Q0 CACM-0483 32 6.9718358906821125 BM25System
26 Q0 CACM-2317 33 6.953100790026056 BM25System
26 Q0 CACM-2936 34 6.922707323203634 BM25System
26 Q0 CACM-1247 35 6.861408035870209 BM25System
26 Q0 CACM-2878 36 6.771548536812533 BM25System
26 Q0 CACM-2319 37 6.655050426670244 BM25System
26 Q0 CACM-2597 38 6.595397411584436 BM25System
26 Q0 CACM-1754 39 6.55953623855876 BM25System
26 Q0 CACM-2482 40 6.512417313558475 BM25System
26 Q0 CACM-0059 41 6.501145091031614 BM25System
26 Q0 CACM-0104 42 6.490519053253957 BM25System
26 Q0 CACM-2740 43 6.443671849115981 BM25System
26 Q0 CACM-1476 44 6.417967350775761 BM25System
26 Q0 CACM-2069 45 6.375318731732246 BM25System
26 Q0 CACM-2379 46 6.351836452809195 BM25System
26 Q0 CACM-3025 47 6.341734471939297 BM25System
26 Q0 CACM-2424 48 6.3228546238738215 BM25System
26 Q0 CACM-0084 49 6.322489158461089 BM25System
26 Q0 CACM-2629 50 6.281927803017156 BM25System
26 Q0 CACM-1290 51 6.27716245141513 BM25System
26 Q0 CACM-3127 52 6.223033064793389 BM25System
26 Q0 CACM-2321 53 6.141267693784579 BM25System
26 Q0 CACM-2985 54 6.130219993701171 BM25System
26 Q0 CACM-2151 55 6.127337599997656 BM25System
26 Q0 CACM-2849 56 6.107949095056821 BM25System
26 Q0 CACM-1341 57 6.100493306268321 BM25System
26 Q0 CACM-2621 58 6.0842045737562245 BM25System
26 Q0 CACM-3050 59 6.082455639640218 BM25System
26 Q0 CACM-3183 60 6.08002683766035 BM25System
26 Q0 CACM-0618 61 6.072187340060368 BM25System
26 Q0 CACM-2876 62 6.049560183395314 BM25System
26 Q0 CACM-0086 63 5.95432409731284 BM25System
26 Q0 CACM-2950 64 5.947852508066042 BM25System
26 Q0 CACM-3011 65 5.8991667444979985 BM25System
