parallel processors in information retrieval
50 Q0 CACM-3156 1 11.843105492219324 BM25System
50 Q0 CACM-3075 2 11.836996892045113 BM25System
50 Q0 CACM-2714 3 11.773382700062855 BM25System
50 Q0 CACM-2278 4 9.261198536455808 BM25System
50 Q0 CACM-2288 5 9.198428701816294 BM25System
50 Q0 CACM-1811 6 9.133922198619079 BM25System
50 Q0 CACM-1699 7 9.093661178150539 BM25System
50 Q0 CACM-0891 8 9.084195010018151 BM25System
50 Q0 CACM-1457 9 8.970929030910625 BM25System
50 Q0 CACM-3134 10 8.960597237211847 BM25System
50 Q0 CACM-2114 11 8.70148891744679 BM25System
50 Q0 CACM-1927 12 8.700489143004944 BM25System
50 Q0 CACM-1681 13 8.446880574937481 BM25System
50 Q0 CACM-2497 14 8.378633427693039 BM25System
50 Q0 CACM-0634 15 8.285017554272212 BM25System
50 Q0 CACM-1830 16 8.147807557660851 BM25System
50 Q0 CACM-2723 17 8.012012350443113 BM25System
50 Q0 CACM-2570 18 7.991629936964355 BM25System
50 Q0 CACM-2516 19 7.765435058872402 BM25System
50 Q0 CACM-2175 20 7.757849064923296 BM25System
50 Q0 CACM-0651 21 7.756652864598783 BM25System
50 Q0 CACM-0275 22 7.756652864598783 BM25System
50 Q0 CACM-2070 23 7.695362955678756 BM25System
50 Q0 CACM-2990 24 7.683891488583763 BM25System
50 Q0 CACM-1680 25 7.66519648341636 BM25System
50 Q0 CACM-1935 26 7.549750235738694 BM25System
50 Q0 CACM-3012 27 7.518646044542869 BM25System
50 Q0 CACM-0082 28 7.459920067637951 BM25System
50 Q0 CACM-1032 29 7.456322794957854 BM25System
50 Q0 CACM-2530 30 7.435625419845756 BM25System
50 Q0 CACM-0239 31 7.402889866088561 BM25System
50 Q0 CACM-2532 32 7.347042926665697 BM25System
50 Q0 CACM-2976 33 7.328295760579806 BM25System
50 Q0 CACM-2965 34 7.328295760579806 BM25System
50 Q0 CACM-3168 35 7.275784543843488 BM25System
50 Q0 CACM-1831 36 7.237839310021124 BM25System
50 Q0 CACM-0292 37 7.237839310021124 BM25System
50 Q0 CACM-2140 38 7.210300580914078 BM25System
50 Q0 CACM-2631 39 7.2080005024415 BM25System
50 Q0 CACM-3169 40 7.172987841446377 BM25System
50 Q0 CACM-2882 41 7.156014957178437 BM25System
50 Q0 CACM-2552 42 7.028889885298114 BM25System
50 Q0 CACM-1846 43 6.93964138038547 BM25System
50 Q0 CACM-1514 44 6.880176542864046 BM25System
50 Q0 CACM-2781 45 6.8799272482037175 BM25System
50 Q0 CACM-2412 46 6.831666283247737 BM25System
50 Q0 CACM-2865 47 6.7913428084064265 BM25System
50 Q0 CACM-1937 48 6.687000072489141 BM25System
50 Q0 CACM-2519 49 6.64093622602526 BM25System
50 Q0 CACM-2967 50 6.553029021479635 BM25System
50 Q0 CACM-2307 51 6.508571471517837 BM25System
50 Q0 CACM-1262 52 6.455134787937902 BM25System
50 Q0 CACM-2455 53 6.423733793918432 BM25System
50 Q0 CACM-1825 54 6.376696678602517 BM25System
50 Q0 CACM-2973 55 6.376413939628841 BM25System
50 Q0 CACM-2896 56 6.255131639900773 BM25System
50 Q0 CACM-1359 57 6.192566518437884 BM25System
50 Q0 CACM-2685 58 6.162156783404951 BM25System
50 Q0 CACM-0763 59 6.120251134691066 BM25System
50 Q0 CACM-1665 60 6.1147814758746115 BM25System
50 Q0 CACM-1959 61 6.113510142737427 BM25System
50 Q0 CACM-2561 62 6.11121865111274 BM25System
50 Q0 CACM-2160 63 6.065811484904331 BM25System
50 Q0 CACM-2711 64 6.039468245407082 BM25System
50 Q0 CACM-2139 65 5.965960402701705 BM25System
50 Q0 CACM-1236 66 5.954479834113713 BM25System
50 Q0 CACM-1675 67 5.95335494011967 BM25System
50 Q0 CACM-2700 68 5.9374324650548065 BM25System
50 Q0 CACM-1988 69 5.920905078044693 BM25System
50 Q0 CACM-1158 70 5.858666617198546 BM25System
50 Q0 CACM-2846 71 5.854605831141608 BM25System
50 Q0 CACM-2947 72 5.749723564177316 BM25System
50 Q0 CACM-0655 73 5.743800606214348 BM25System
50 Q0 CACM-1627 74 5.712986369335388 BM25System
50 Q0 CACM-1652 75 5.711909235372725 BM25System
50 Q0 CACM-2258 76 5.710123839063769 BM25System
50 Q0 CACM-2266 77 5.693832996481486 BM25System
50 Q0 CACM-2785 78 5.67804922470743 BM25System
50 Q0 CACM-2493 79 5.65495240890269 BM25System
50 Q0 CACM-1725 80 5.618209564059355 BM25System
50 Q0 CACM-0950 81 5.560858535482048 BM25System
50 Q0 CACM-1828 82 5.539905037509562 BM25System
50 Q0 CACM-0141 83 5.520969706568007 BM25System
50 Q0 CACM-2032 84 5.472098856437514 BM25System
50 Q0 CACM-1302 85 5.432319852579656 BM25System
50 Q0 CACM-0392 86 5.432319852579656 BM25System
50 Q0 CACM-1960 87 5.425598460664321 BM25System
50 Q0 CACM-2451 88 5.418787679562033 BM25System
50 Q0 CACM-2484 89 5.416637814539373 BM25System
50 Q0 CACM-2575 90 5.392805832136893 BM25System
50 Q0 CACM-0440 91 5.387910822330293 BM25System
50 Q0 CACM-2895 92 5.359380401234469 BM25System
50 Q0 CACM-2623 93 5.2973979796396655 BM25System
