Rank		Relevance		Precision		Recall
1              R              1.0              0.1
2              N              0.5              0.1
3              N              0.3333            0.1
4              N              0.25             0.1
5              R              0.4              0.2
6              N              0.3333            0.2
7              N              0.2857            0.2
8              N              0.25             0.2
9              N              0.2222            0.2
10             N              0.2              0.2
11             N              0.1818            0.2
12             N              0.1667            0.2
13             N              0.1538            0.2
14             N              0.1429            0.2
15             N              0.1333            0.2
16             R              0.1875            0.3
17             N              0.1765            0.3
18             N              0.1667            0.3
19             N              0.1579            0.3
20             N              0.15             0.3
21             N              0.1429            0.3
22             N              0.1364            0.3
23             N              0.1304            0.3
24             N              0.125            0.3
25             N              0.12             0.3
26             N              0.1154            0.3
27             N              0.1111            0.3
28             N              0.1071            0.3
29             N              0.1034            0.3
30             N              0.1              0.3
31             R              0.129            0.4
32             R              0.1562            0.5
33             N              0.1515            0.5
34             N              0.1471            0.5
35             N              0.1429            0.5
36             R              0.1667            0.6
37             N              0.1622            0.6
38             N              0.1579            0.6
39             N              0.1538            0.6
40             N              0.15             0.6
41             N              0.1463            0.6
42             N              0.1429            0.6
43             N              0.1395            0.6
44             N              0.1364            0.6
45             N              0.1333            0.6
46             N              0.1304            0.6
47             N              0.1277            0.6
48             N              0.125            0.6
49             N              0.1224            0.6
50             N              0.12             0.6
51             N              0.1176            0.6
52             N              0.1154            0.6
53             N              0.1132            0.6
54             N              0.1111            0.6
55             N              0.1091            0.6
56             N              0.1071            0.6
57             N              0.1053            0.6
58             N              0.1034            0.6
59             N              0.1017            0.6
60             N              0.1              0.6
61             N              0.0984            0.6
62             N              0.0968            0.6
63             N              0.0952            0.6
64             N              0.0938            0.6
65             N              0.0923            0.6
66             N              0.0909            0.6
67             N              0.0896            0.6
68             N              0.0882            0.6
69             N              0.087            0.6
70             N              0.0857            0.6
71             N              0.0845            0.6
72             N              0.0833            0.6
73             N              0.0822            0.6
74             N              0.0811            0.6
75             N              0.08             0.6
76             R              0.0921            0.7
77             N              0.0909            0.7
78             N              0.0897            0.7
79             N              0.0886            0.7
80             N              0.0875            0.7
81             N              0.0864            0.7
82             N              0.0854            0.7
83             N              0.0843            0.7
84             N              0.0833            0.7
85             N              0.0824            0.7
86             N              0.0814            0.7
87             N              0.0805            0.7
88             N              0.0795            0.7
89             N              0.0787            0.7
90             N              0.0778            0.7
91             N              0.0769            0.7
92             N              0.0761            0.7
93             N              0.0753            0.7
94             N              0.0745            0.7
95             N              0.0737            0.7
96             N              0.0729            0.7
97             N              0.0722            0.7
98             N              0.0714            0.7
99             N              0.0707            0.7
100            N              0.07             0.7
**********************************

Average Precision -> 0.3045
Precision at K = 5 :0.4
Precision at K = 20 :0.15
