Original query:
parallel languages languages for parallel computation
Expanded query:
parallel languages languages for parallel computation language programming parallel iv illiac glypnir parallel statement program indivisible reduction proving zeros real polynomial parallel method algorithm computers parallel multiprocessor loops execution array parallel log2 2 algorithm + steps
10 Q0 CACM-2685 1 317.80992756218984 PseudoRel_BM25System
10 Q0 CACM-2714 2 314.56371018681045 PseudoRel_BM25System
10 Q0 CACM-2700 3 309.9943203293189 PseudoRel_BM25System
10 Q0 CACM-2785 4 299.79083900564 PseudoRel_BM25System
10 Q0 CACM-2973 5 295.6146288213049 PseudoRel_BM25System
10 Q0 CACM-1262 6 287.1905770885431 PseudoRel_BM25System
10 Q0 CACM-2896 7 283.78529551450714 PseudoRel_BM25System
10 Q0 CACM-2266 8 282.81802237253703 PseudoRel_BM25System
10 Q0 CACM-1158 9 274.10083565430415 PseudoRel_BM25System
10 Q0 CACM-0141 10 255.35774839070154 PseudoRel_BM25System
10 Q0 CACM-3075 11 253.72462416033605 PseudoRel_BM25System
10 Q0 CACM-1302 12 251.43323122416987 PseudoRel_BM25System
10 Q0 CACM-3156 13 251.27923551074247 PseudoRel_BM25System
10 Q0 CACM-0392 14 251.2574855179132 PseudoRel_BM25System
10 Q0 CACM-0950 15 248.11807068547773 PseudoRel_BM25System
10 Q0 CACM-1828 16 247.62738590148908 PseudoRel_BM25System
10 Q0 CACM-2895 17 241.8696560597761 PseudoRel_BM25System
10 Q0 CACM-2182 18 240.46431003208164 PseudoRel_BM25System
10 Q0 CACM-1795 19 236.97746313782417 PseudoRel_BM25System
10 Q0 CACM-2865 20 234.34837675401448 PseudoRel_BM25System
10 Q0 CACM-3073 21 233.20042387747003 PseudoRel_BM25System
10 Q0 CACM-2342 22 232.78762370731835 PseudoRel_BM25System
10 Q0 CACM-2557 23 232.7614563342754 PseudoRel_BM25System
10 Q0 CACM-1468 24 230.86411642599944 PseudoRel_BM25System
10 Q0 CACM-2401 25 230.77981551736002 PseudoRel_BM25System
10 Q0 CACM-3059 26 224.62832928215073 PseudoRel_BM25System
10 Q0 CACM-1601 27 221.30033592794484 PseudoRel_BM25System
10 Q0 CACM-2175 28 220.37181344979874 PseudoRel_BM25System
10 Q0 CACM-2195 29 215.44402221732378 PseudoRel_BM25System
10 Q0 CACM-2080 30 213.93230627539438 PseudoRel_BM25System
10 Q0 CACM-2851 31 213.80487253090197 PseudoRel_BM25System
10 Q0 CACM-2433 32 213.39690658310832 PseudoRel_BM25System
10 Q0 CACM-1846 33 206.4706113923735 PseudoRel_BM25System
10 Q0 CACM-2570 34 206.46928577872032 PseudoRel_BM25System
10 Q0 CACM-1569 35 206.14925406344256 PseudoRel_BM25System
10 Q0 CACM-3044 36 190.18251751456884 PseudoRel_BM25System
10 Q0 CACM-2740 37 184.37819779954762 PseudoRel_BM25System
10 Q0 CACM-2727 38 182.02345997771363 PseudoRel_BM25System
10 Q0 CACM-2838 39 180.73812823175325 PseudoRel_BM25System
10 Q0 CACM-2514 40 180.231910467544 PseudoRel_BM25System
10 Q0 CACM-1008 41 173.5218841530869 PseudoRel_BM25System
10 Q0 CACM-1471 42 168.59430368406402 PseudoRel_BM25System
10 Q0 CACM-1200 43 167.3673271958404 PseudoRel_BM25System
10 Q0 CACM-1554 44 161.80116609018273 PseudoRel_BM25System
10 Q0 CACM-1536 45 157.4736137150574 PseudoRel_BM25System
10 Q0 CACM-1341 46 156.17440541383016 PseudoRel_BM25System
10 Q0 CACM-1603 47 154.0507567206667 PseudoRel_BM25System
10 Q0 CACM-1960 48 150.05900199368597 PseudoRel_BM25System
10 Q0 CACM-2289 49 147.40661959488702 PseudoRel_BM25System
10 Q0 CACM-3175 50 145.80329169627362 PseudoRel_BM25System
10 Q0 CACM-0320 51 143.57659287630457 PseudoRel_BM25System
10 Q0 CACM-1957 52 143.33952781974037 PseudoRel_BM25System
10 Q0 CACM-1613 53 143.0523722043372 PseudoRel_BM25System
10 Q0 CACM-2114 54 142.64060760934868 PseudoRel_BM25System
10 Q0 CACM-2376 55 142.48283531835952 PseudoRel_BM25System
10 Q0 CACM-2898 56 139.8569472831779 PseudoRel_BM25System
10 Q0 CACM-1959 57 134.90415539357568 PseudoRel_BM25System
10 Q0 CACM-2515 58 130.04851927751133 PseudoRel_BM25System
10 Q0 CACM-1747 59 128.94886697184285 PseudoRel_BM25System
10 Q0 CACM-1325 60 128.584851359023 PseudoRel_BM25System
10 Q0 CACM-2967 61 122.90696134021266 PseudoRel_BM25System
10 Q0 CACM-2497 62 120.2760981721517 PseudoRel_BM25System
10 Q0 CACM-1854 63 116.84287316365261 PseudoRel_BM25System
10 Q0 CACM-1409 64 115.51908346958244 PseudoRel_BM25System
