Original query:
optimization of intermediate and machine code
Expanded query:
optimization of intermediate and machine code scan passes pass object language important object flow optimization loop fortran elimination algorithms zero-one programming variables time problems generation expressions code arithmetic trees stockhausen code threaded tradeoff software machine interpreter
17 Q0 CACM-1947 1 114.11400248495599 PseudoRel_BM25System
17 Q0 CACM-2491 2 109.14210561611182 PseudoRel_BM25System
17 Q0 CACM-1223 3 97.76502151709492 PseudoRel_BM25System
17 Q0 CACM-2495 4 96.2692983804234 PseudoRel_BM25System
17 Q0 CACM-2748 5 82.07716703454909 PseudoRel_BM25System
17 Q0 CACM-1795 6 68.3146230227754 PseudoRel_BM25System
17 Q0 CACM-1551 7 66.38508579975175 PseudoRel_BM25System
17 Q0 CACM-1886 8 64.4103489414745 PseudoRel_BM25System
17 Q0 CACM-1807 9 63.998468390049545 PseudoRel_BM25System
17 Q0 CACM-2586 10 63.61273099473483 PseudoRel_BM25System
17 Q0 CACM-2253 11 62.999932991587094 PseudoRel_BM25System
17 Q0 CACM-3080 12 60.40177971412769 PseudoRel_BM25System
17 Q0 CACM-1658 13 57.206111065834314 PseudoRel_BM25System
17 Q0 CACM-2834 14 56.526251471102796 PseudoRel_BM25System
17 Q0 CACM-3054 15 55.772483678996444 PseudoRel_BM25System
17 Q0 CACM-2701 16 53.89354067534269 PseudoRel_BM25System
17 Q0 CACM-3173 17 53.589613857895934 PseudoRel_BM25System
17 Q0 CACM-0048 18 53.44200524278982 PseudoRel_BM25System
17 Q0 CACM-2138 19 53.416390195061766 PseudoRel_BM25System
17 Q0 CACM-1564 20 53.26882094183877 PseudoRel_BM25System
17 Q0 CACM-1655 21 53.22951716438054 PseudoRel_BM25System
17 Q0 CACM-1362 22 52.127822705436984 PseudoRel_BM25System
17 Q0 CACM-3005 23 51.78913868971084 PseudoRel_BM25System
17 Q0 CACM-2904 24 51.51017384972839 PseudoRel_BM25System
17 Q0 CACM-1523 25 51.40193536255623 PseudoRel_BM25System
17 Q0 CACM-2107 26 51.3297975363251 PseudoRel_BM25System
17 Q0 CACM-1756 27 50.83541667900064 PseudoRel_BM25System
17 Q0 CACM-1676 28 50.257478038359864 PseudoRel_BM25System
17 Q0 CACM-1613 29 49.838554760052105 PseudoRel_BM25System
17 Q0 CACM-2897 30 49.481521649365824 PseudoRel_BM25System
17 Q0 CACM-1165 31 49.40823474766571 PseudoRel_BM25System
17 Q0 CACM-1652 32 49.326956626001156 PseudoRel_BM25System
17 Q0 CACM-2533 33 47.54551960977045 PseudoRel_BM25System
17 Q0 CACM-1992 34 47.270005881079314 PseudoRel_BM25System
17 Q0 CACM-2185 35 47.11541314870753 PseudoRel_BM25System
17 Q0 CACM-2929 36 45.89111018419198 PseudoRel_BM25System
17 Q0 CACM-3066 37 45.80726096101774 PseudoRel_BM25System
17 Q0 CACM-3171 38 45.34418361257519 PseudoRel_BM25System
17 Q0 CACM-2423 39 44.289021321593225 PseudoRel_BM25System
17 Q0 CACM-1651 40 44.15269031871462 PseudoRel_BM25System
17 Q0 CACM-0797 41 43.911987903334534 PseudoRel_BM25System
17 Q0 CACM-1757 42 43.573769840413014 PseudoRel_BM25System
17 Q0 CACM-0195 43 43.55074115294474 PseudoRel_BM25System
17 Q0 CACM-1289 44 43.19538957672452 PseudoRel_BM25System
17 Q0 CACM-1414 45 42.84579003785827 PseudoRel_BM25System
17 Q0 CACM-1064 46 42.84579003785827 PseudoRel_BM25System
17 Q0 CACM-0230 47 42.84579003785827 PseudoRel_BM25System
17 Q0 CACM-1187 48 42.50180399620755 PseudoRel_BM25System
17 Q0 CACM-1389 49 42.36324663522739 PseudoRel_BM25System
17 Q0 CACM-1670 50 42.10964062900173 PseudoRel_BM25System
17 Q0 CACM-1973 51 41.733625756656174 PseudoRel_BM25System
17 Q0 CACM-0066 52 41.50220661950841 PseudoRel_BM25System
17 Q0 CACM-1066 53 41.375740863750835 PseudoRel_BM25System
17 Q0 CACM-0123 54 41.15282852842741 PseudoRel_BM25System
17 Q0 CACM-1232 55 40.98330427268347 PseudoRel_BM25System
17 Q0 CACM-2944 56 40.80884292957628 PseudoRel_BM25System
17 Q0 CACM-1275 57 40.416158017929924 PseudoRel_BM25System
17 Q0 CACM-0093 58 39.82424708437829 PseudoRel_BM25System
17 Q0 CACM-1065 59 39.12825132514475 PseudoRel_BM25System
17 Q0 CACM-1204 60 39.11972482770369 PseudoRel_BM25System
17 Q0 CACM-2433 61 39.07643963469249 PseudoRel_BM25System
17 Q0 CACM-3110 62 38.94160418091036 PseudoRel_BM25System
17 Q0 CACM-0333 63 38.8352803920689 PseudoRel_BM25System
17 Q0 CACM-1542 64 38.772806546728546 PseudoRel_BM25System
17 Q0 CACM-1331 65 38.52789041532091 PseudoRel_BM25System
17 Q0 CACM-2552 66 38.20735300053451 PseudoRel_BM25System
17 Q0 CACM-1786 67 37.86185044788712 PseudoRel_BM25System
17 Q0 CACM-2246 68 36.01114938587657 PseudoRel_BM25System
17 Q0 CACM-3175 69 34.49040653613732 PseudoRel_BM25System
17 Q0 CACM-2821 70 34.45137563162457 PseudoRel_BM25System
17 Q0 CACM-2888 71 34.08340146414438 PseudoRel_BM25System
17 Q0 CACM-0124 72 33.75831060286933 PseudoRel_BM25System
17 Q0 CACM-1915 73 33.64125438520835 PseudoRel_BM25System
17 Q0 CACM-1824 74 33.602582009672986 PseudoRel_BM25System
17 Q0 CACM-3150 75 33.42771833813478 PseudoRel_BM25System
17 Q0 CACM-1345 76 33.33989075138092 PseudoRel_BM25System
17 Q0 CACM-2858 77 32.87956431636456 PseudoRel_BM25System
17 Q0 CACM-2801 78 32.47683719780717 PseudoRel_BM25System
17 Q0 CACM-3125 79 32.12939962943416 PseudoRel_BM25System
17 Q0 CACM-3083 80 31.364555985367172 PseudoRel_BM25System
17 Q0 CACM-2968 81 31.225302335799935 PseudoRel_BM25System
17 Q0 CACM-1665 82 30.966590268012972 PseudoRel_BM25System
17 Q0 CACM-1234 83 29.944797690628583 PseudoRel_BM25System
17 Q0 CACM-1290 84 29.814162995533323 PseudoRel_BM25System
17 Q0 CACM-1305 85 29.158163818932593 PseudoRel_BM25System
17 Q0 CACM-2621 86 28.75156391315664 PseudoRel_BM25System
17 Q0 CACM-2953 87 28.087977789072752 PseudoRel_BM25System
17 Q0 CACM-2411 88 27.73015048672585 PseudoRel_BM25System
17 Q0 CACM-1088 89 27.723376142366114 PseudoRel_BM25System
17 Q0 CACM-1160 90 27.57275854637 PseudoRel_BM25System
17 Q0 CACM-2543 91 27.529066113331204 PseudoRel_BM25System
17 Q0 CACM-2835 92 27.243411089244056 PseudoRel_BM25System
17 Q0 CACM-2464 93 27.139241830005712 PseudoRel_BM25System
17 Q0 CACM-2770 94 26.848049316757248 PseudoRel_BM25System
17 Q0 CACM-0598 95 26.437615972788386 PseudoRel_BM25System
17 Q0 CACM-1739 96 26.31295363200438 PseudoRel_BM25System
17 Q0 CACM-1770 97 26.219107811599415 PseudoRel_BM25System
17 Q0 CACM-2651 98 26.211792805797984 PseudoRel_BM25System
17 Q0 CACM-0144 99 25.79235943744699 PseudoRel_BM25System
17 Q0 CACM-2836 100 24.937692839838572 PseudoRel_BM25System
