Original query:
concurrency control mechanisms in operating systems
Expanded query:
concurrency control mechanisms in operating systems control protection multics design access sharing system operating object kernel type protection protection systems system situation safe problem data access constraints types objects languages clu programming abstractions program mechanisms abstraction
26 Q0 CACM-2626 1 155.2033430019355 PseudoRel_BM25System
26 Q0 CACM-2377 2 132.19395020938876 PseudoRel_BM25System
26 Q0 CACM-2840 3 131.70335391753463 PseudoRel_BM25System
26 Q0 CACM-2558 4 122.2363670924966 PseudoRel_BM25System
26 Q0 CACM-2632 5 120.91366066620327 PseudoRel_BM25System
26 Q0 CACM-3105 6 97.78201571469904 PseudoRel_BM25System
26 Q0 CACM-2876 7 86.36419141206727 PseudoRel_BM25System
26 Q0 CACM-3068 8 85.50410007095206 PseudoRel_BM25System
26 Q0 CACM-1677 9 84.40891843600639 PseudoRel_BM25System
26 Q0 CACM-2868 10 83.32262753626084 PseudoRel_BM25System
26 Q0 CACM-1746 11 82.14607833927566 PseudoRel_BM25System
26 Q0 CACM-1657 12 81.53077379963632 PseudoRel_BM25System
26 Q0 CACM-2939 13 76.40008238946477 PseudoRel_BM25System
26 Q0 CACM-3128 14 72.70108072087997 PseudoRel_BM25System
26 Q0 CACM-2875 15 72.38693065342211 PseudoRel_BM25System
26 Q0 CACM-2869 16 71.77260245942269 PseudoRel_BM25System
26 Q0 CACM-2625 17 69.34249937792225 PseudoRel_BM25System
26 Q0 CACM-2870 18 69.00108133065041 PseudoRel_BM25System
26 Q0 CACM-2621 19 64.81473197063747 PseudoRel_BM25System
26 Q0 CACM-2372 20 64.00741122479413 PseudoRel_BM25System
26 Q0 CACM-1750 21 62.8308257451428 PseudoRel_BM25System
26 Q0 CACM-1747 22 60.36426341402302 PseudoRel_BM25System
26 Q0 CACM-0997 23 57.97914375051137 PseudoRel_BM25System
26 Q0 CACM-1748 24 55.91698869116583 PseudoRel_BM25System
26 Q0 CACM-1471 25 55.61914020899386 PseudoRel_BM25System
26 Q0 CACM-2594 26 55.59128733118829 PseudoRel_BM25System
26 Q0 CACM-1275 27 55.27314184681066 PseudoRel_BM25System
26 Q0 CACM-3144 28 54.64815314673704 PseudoRel_BM25System
26 Q0 CACM-2358 29 53.5930878044975 PseudoRel_BM25System
26 Q0 CACM-1802 30 52.101933882801085 PseudoRel_BM25System
26 Q0 CACM-2138 31 50.434119775037345 PseudoRel_BM25System
26 Q0 CACM-2314 32 49.331890195770164 PseudoRel_BM25System
26 Q0 CACM-1331 33 48.39434553709097 PseudoRel_BM25System
26 Q0 CACM-3181 34 47.81210821242849 PseudoRel_BM25System
26 Q0 CACM-2379 35 47.75565105228861 PseudoRel_BM25System
26 Q0 CACM-2436 36 47.277284775904356 PseudoRel_BM25System
26 Q0 CACM-1680 37 46.49886494178949 PseudoRel_BM25System
26 Q0 CACM-2080 38 45.34168472000025 PseudoRel_BM25System
26 Q0 CACM-2541 39 45.24887537335095 PseudoRel_BM25System
26 Q0 CACM-1591 40 43.75911818741805 PseudoRel_BM25System
26 Q0 CACM-2320 41 43.396480439169466 PseudoRel_BM25System
26 Q0 CACM-0972 42 42.03114399867907 PseudoRel_BM25System
26 Q0 CACM-2317 43 41.53909018966551 PseudoRel_BM25System
26 Q0 CACM-2867 44 41.148698959561365 PseudoRel_BM25System
26 Q0 CACM-3025 45 41.08608604674608 PseudoRel_BM25System
26 Q0 CACM-2357 46 40.76690981247227 PseudoRel_BM25System
26 Q0 CACM-3002 47 40.74777175610426 PseudoRel_BM25System
26 Q0 CACM-1552 48 40.711316925071216 PseudoRel_BM25System
26 Q0 CACM-2941 49 40.56021921866689 PseudoRel_BM25System
26 Q0 CACM-2319 50 40.53206892897205 PseudoRel_BM25System
26 Q0 CACM-0854 51 40.46286066917105 PseudoRel_BM25System
26 Q0 CACM-1247 52 40.42551533965255 PseudoRel_BM25System
26 Q0 CACM-2849 53 40.38991495935195 PseudoRel_BM25System
26 Q0 CACM-2740 54 39.82459023224068 PseudoRel_BM25System
26 Q0 CACM-2597 55 39.198499558608425 PseudoRel_BM25System
26 Q0 CACM-2945 56 38.619011229143695 PseudoRel_BM25System
26 Q0 CACM-1463 57 38.08812575202492 PseudoRel_BM25System
26 Q0 CACM-3026 58 37.702899924912316 PseudoRel_BM25System
26 Q0 CACM-2593 59 37.480497921631574 PseudoRel_BM25System
26 Q0 CACM-3050 60 37.30410836567803 PseudoRel_BM25System
26 Q0 CACM-1728 61 37.19523710359086 PseudoRel_BM25System
26 Q0 CACM-2438 62 37.194435430989046 PseudoRel_BM25System
26 Q0 CACM-1264 63 36.98148872070173 PseudoRel_BM25System
26 Q0 CACM-2536 64 36.396131516578805 PseudoRel_BM25System
26 Q0 CACM-2424 65 36.155746666017976 PseudoRel_BM25System
26 Q0 CACM-2184 66 36.100764300851296 PseudoRel_BM25System
26 Q0 CACM-2878 67 36.053679603526184 PseudoRel_BM25System
26 Q0 CACM-2920 68 35.96573710280165 PseudoRel_BM25System
26 Q0 CACM-1534 69 35.91967663256957 PseudoRel_BM25System
26 Q0 CACM-1341 70 35.82526755463677 PseudoRel_BM25System
26 Q0 CACM-2629 71 35.613598242352076 PseudoRel_BM25System
26 Q0 CACM-1033 72 35.37631768707193 PseudoRel_BM25System
26 Q0 CACM-1753 73 35.34944013429908 PseudoRel_BM25System
26 Q0 CACM-3147 74 35.048668680423006 PseudoRel_BM25System
26 Q0 CACM-1749 75 34.900662173290186 PseudoRel_BM25System
26 Q0 CACM-1844 76 34.582405500163 PseudoRel_BM25System
26 Q0 CACM-2578 77 34.57694804978939 PseudoRel_BM25System
26 Q0 CACM-0696 78 34.56204879254337 PseudoRel_BM25System
26 Q0 CACM-2817 79 34.55740293801524 PseudoRel_BM25System
26 Q0 CACM-2957 80 34.39072029361147 PseudoRel_BM25System
26 Q0 CACM-2522 81 34.3452487769738 PseudoRel_BM25System
26 Q0 CACM-2482 82 34.17058053188296 PseudoRel_BM25System
26 Q0 CACM-0856 83 33.963441689050974 PseudoRel_BM25System
26 Q0 CACM-3127 84 33.84962519138792 PseudoRel_BM25System
26 Q0 CACM-1711 85 33.82946935934062 PseudoRel_BM25System
26 Q0 CACM-2452 86 33.77883894892261 PseudoRel_BM25System
26 Q0 CACM-1462 87 33.665289380833016 PseudoRel_BM25System
26 Q0 CACM-3174 88 33.54137694348846 PseudoRel_BM25System
26 Q0 CACM-2622 89 33.37868924227698 PseudoRel_BM25System
26 Q0 CACM-2151 90 32.98036894284286 PseudoRel_BM25System
26 Q0 CACM-3137 91 32.76749673338491 PseudoRel_BM25System
26 Q0 CACM-0251 92 32.62179708671656 PseudoRel_BM25System
26 Q0 CACM-2940 93 32.55778748630207 PseudoRel_BM25System
26 Q0 CACM-1226 94 32.386909930613996 PseudoRel_BM25System
26 Q0 CACM-1519 95 32.36924821270439 PseudoRel_BM25System
26 Q0 CACM-2150 96 32.110946624646985 PseudoRel_BM25System
26 Q0 CACM-0618 97 32.10270624376481 PseudoRel_BM25System
26 Q0 CACM-3153 98 31.90286108582071 PseudoRel_BM25System
26 Q0 CACM-1923 99 31.881122471986313 PseudoRel_BM25System
26 Q0 CACM-1485 100 31.822509206915747 PseudoRel_BM25System
