Original query:
memory management aspects of operating systems
Expanded query:
memory management aspects of operating systems wallace time-sharing systems strategies scheduling pm memory program paging number multiprogrammed model memory allocation algorithms simulation dynamic processing memory time teractive systems computer workload memory information multics sharing segmentation systems
27 Q0 CACM-2988 1 184.68859929549296 PseudoRel_BM25System
27 Q0 CACM-2798 2 183.23109385629812 PseudoRel_BM25System
27 Q0 CACM-2669 3 176.34195794124258 PseudoRel_BM25System
27 Q0 CACM-2262 4 175.48945833929852 PseudoRel_BM25System
27 Q0 CACM-2358 5 175.1702082884089 PseudoRel_BM25System
27 Q0 CACM-2859 6 167.1496343023941 PseudoRel_BM25System
27 Q0 CACM-1924 7 165.15725429026193 PseudoRel_BM25System
27 Q0 CACM-2297 8 164.17501516129232 PseudoRel_BM25System
27 Q0 CACM-2902 9 163.9056760088189 PseudoRel_BM25System
27 Q0 CACM-2069 10 161.15717760129644 PseudoRel_BM25System
27 Q0 CACM-2435 11 146.61063261481002 PseudoRel_BM25System
27 Q0 CACM-3006 12 146.41568869779593 PseudoRel_BM25System
27 Q0 CACM-3000 13 146.22861045964532 PseudoRel_BM25System
27 Q0 CACM-1901 14 144.80492469336164 PseudoRel_BM25System
27 Q0 CACM-1892 15 141.02376238322248 PseudoRel_BM25System
27 Q0 CACM-2818 16 140.82543192983545 PseudoRel_BM25System
27 Q0 CACM-1845 17 140.65967858397036 PseudoRel_BM25System
27 Q0 CACM-3153 18 137.62426261871806 PseudoRel_BM25System
27 Q0 CACM-1753 19 134.98770572848986 PseudoRel_BM25System
27 Q0 CACM-2928 20 134.8543300582594 PseudoRel_BM25System
27 Q0 CACM-1728 21 134.70466184671716 PseudoRel_BM25System
27 Q0 CACM-2863 22 133.64508747272563 PseudoRel_BM25System
27 Q0 CACM-2918 23 132.19060621486355 PseudoRel_BM25System
27 Q0 CACM-2626 24 129.5379454894543 PseudoRel_BM25System
27 Q0 CACM-2582 25 127.74609554407417 PseudoRel_BM25System
27 Q0 CACM-0855 26 126.31814170052675 PseudoRel_BM25System
27 Q0 CACM-2481 27 124.34983536834861 PseudoRel_BM25System
27 Q0 CACM-1642 28 123.9422123828399 PseudoRel_BM25System
27 Q0 CACM-2017 29 123.4899777753021 PseudoRel_BM25System
27 Q0 CACM-2668 30 122.39187124364945 PseudoRel_BM25System
27 Q0 CACM-2681 31 120.02758571551277 PseudoRel_BM25System
27 Q0 CACM-2362 32 119.80579717450573 PseudoRel_BM25System
27 Q0 CACM-1409 33 119.75465053986368 PseudoRel_BM25System
27 Q0 CACM-2277 34 119.55182445202857 PseudoRel_BM25System
27 Q0 CACM-1750 35 118.50541805335502 PseudoRel_BM25System
27 Q0 CACM-1725 36 116.74607963737803 PseudoRel_BM25System
27 Q0 CACM-2967 37 116.57782600088588 PseudoRel_BM25System
27 Q0 CACM-3072 38 115.76899083579913 PseudoRel_BM25System
27 Q0 CACM-2396 39 114.91773029001597 PseudoRel_BM25System
27 Q0 CACM-2374 40 113.39000314722216 PseudoRel_BM25System
27 Q0 CACM-3067 41 111.9531926356387 PseudoRel_BM25System
27 Q0 CACM-1677 42 111.69159471560873 PseudoRel_BM25System
27 Q0 CACM-2516 43 110.46627171760686 PseudoRel_BM25System
27 Q0 CACM-2625 44 109.73092752896471 PseudoRel_BM25System
27 Q0 CACM-1641 45 109.26263496407977 PseudoRel_BM25System
27 Q0 CACM-2343 46 109.11711507739516 PseudoRel_BM25System
27 Q0 CACM-1471 47 109.08202303743356 PseudoRel_BM25System
27 Q0 CACM-1856 48 108.56520306414781 PseudoRel_BM25System
27 Q0 CACM-1752 49 108.55677648204703 PseudoRel_BM25System
27 Q0 CACM-3118 50 107.53547976367409 PseudoRel_BM25System
27 Q0 CACM-2596 51 107.35025667774458 PseudoRel_BM25System
27 Q0 CACM-2365 52 106.97380008918529 PseudoRel_BM25System
27 Q0 CACM-2624 53 106.59030834889765 PseudoRel_BM25System
27 Q0 CACM-2864 54 106.41377380334472 PseudoRel_BM25System
27 Q0 CACM-1657 55 106.12687971599838 PseudoRel_BM25System
27 Q0 CACM-2208 56 105.19435356919178 PseudoRel_BM25System
27 Q0 CACM-2867 57 105.1638414538067 PseudoRel_BM25System
27 Q0 CACM-0155 58 103.94471878655627 PseudoRel_BM25System
27 Q0 CACM-1826 59 103.86157613721966 PseudoRel_BM25System
27 Q0 CACM-3097 60 101.09833700270677 PseudoRel_BM25System
27 Q0 CACM-2646 61 101.09220307464534 PseudoRel_BM25System
27 Q0 CACM-2498 62 100.61911593939429 PseudoRel_BM25System
27 Q0 CACM-1751 63 100.36216245790649 PseudoRel_BM25System
27 Q0 CACM-2983 64 99.27231894998616 PseudoRel_BM25System
27 Q0 CACM-2156 65 99.19616427739261 PseudoRel_BM25System
27 Q0 CACM-2911 66 99.11702059625628 PseudoRel_BM25System
27 Q0 CACM-0944 67 97.64037854721286 PseudoRel_BM25System
