Original query:
modelling and simulation in agricultural ecosystems
Expanded query:
modelling and simulation in agricultural ecosystems simulation river population environmental digital plankton simulation method event significant pulse clock simulation digital systems simultaneous networks model simulation list event algorithms algorithm tree simulation model models hybrid system queueing
52 Q0 CACM-2749 1 277.3500294812517 PseudoRel_BM25System
52 Q0 CACM-2721 2 256.98822563003705 PseudoRel_BM25System
52 Q0 CACM-1928 3 245.69612905807344 PseudoRel_BM25System
52 Q0 CACM-2767 4 232.45591070449714 PseudoRel_BM25System
52 Q0 CACM-3070 5 231.663025377635 PseudoRel_BM25System
52 Q0 CACM-2742 6 213.20580235087806 PseudoRel_BM25System
52 Q0 CACM-3051 7 213.0889436127454 PseudoRel_BM25System
52 Q0 CACM-1030 8 195.83001728084253 PseudoRel_BM25System
52 Q0 CACM-2725 9 194.66136884317834 PseudoRel_BM25System
52 Q0 CACM-1366 10 192.49798147804356 PseudoRel_BM25System
52 Q0 CACM-2936 11 188.89041974895642 PseudoRel_BM25System
52 Q0 CACM-0678 12 187.10796911502794 PseudoRel_BM25System
52 Q0 CACM-2218 13 185.71800534992153 PseudoRel_BM25System
52 Q0 CACM-2844 14 184.17233058605416 PseudoRel_BM25System
52 Q0 CACM-3048 15 183.54128958544487 PseudoRel_BM25System
52 Q0 CACM-2902 16 182.65635181334738 PseudoRel_BM25System
52 Q0 CACM-2062 17 180.2979697856823 PseudoRel_BM25System
52 Q0 CACM-3064 18 179.2152003738845 PseudoRel_BM25System
52 Q0 CACM-1870 19 178.62454641406362 PseudoRel_BM25System
52 Q0 CACM-1380 20 178.58614563145878 PseudoRel_BM25System
52 Q0 CACM-1261 21 178.41372948128424 PseudoRel_BM25System
52 Q0 CACM-2914 22 173.78262482244324 PseudoRel_BM25System
52 Q0 CACM-1890 23 171.53513142889517 PseudoRel_BM25System
52 Q0 CACM-0557 24 170.13188714284365 PseudoRel_BM25System
52 Q0 CACM-0757 25 165.96732190277945 PseudoRel_BM25System
52 Q0 CACM-2798 26 165.81315391578275 PseudoRel_BM25System
52 Q0 CACM-1207 27 164.62407439945466 PseudoRel_BM25System
52 Q0 CACM-2970 28 164.07381213787383 PseudoRel_BM25System
52 Q0 CACM-1208 29 163.3023953345326 PseudoRel_BM25System
52 Q0 CACM-1329 30 162.33217536786145 PseudoRel_BM25System
52 Q0 CACM-0238 31 161.05904985868642 PseudoRel_BM25System
52 Q0 CACM-3061 32 160.38162795819596 PseudoRel_BM25System
52 Q0 CACM-1912 33 157.84210964827048 PseudoRel_BM25System
52 Q0 CACM-0643 34 157.38628446555813 PseudoRel_BM25System
52 Q0 CACM-1812 35 155.79750395938947 PseudoRel_BM25System
52 Q0 CACM-1637 36 155.04710718765566 PseudoRel_BM25System
52 Q0 CACM-0633 37 152.7591925239694 PseudoRel_BM25System
52 Q0 CACM-0104 38 152.34278546250033 PseudoRel_BM25System
52 Q0 CACM-2344 39 151.1885848700489 PseudoRel_BM25System
52 Q0 CACM-1572 40 149.23006655145224 PseudoRel_BM25System
52 Q0 CACM-2882 41 146.86463558451823 PseudoRel_BM25System
52 Q0 CACM-1894 42 146.39506799721806 PseudoRel_BM25System
52 Q0 CACM-1716 43 145.35353105303892 PseudoRel_BM25System
52 Q0 CACM-2057 44 144.6197701685434 PseudoRel_BM25System
52 Q0 CACM-2549 45 144.32670957530073 PseudoRel_BM25System
52 Q0 CACM-1680 46 142.86048382108746 PseudoRel_BM25System
52 Q0 CACM-2349 47 142.3159829441173 PseudoRel_BM25System
52 Q0 CACM-2261 48 141.12796947883263 PseudoRel_BM25System
52 Q0 CACM-1846 49 140.87226497266596 PseudoRel_BM25System
52 Q0 CACM-1435 50 134.03207251533453 PseudoRel_BM25System
52 Q0 CACM-1427 51 132.60626972718646 PseudoRel_BM25System
52 Q0 CACM-1805 52 132.20812173549464 PseudoRel_BM25System
