parallel languages languages for parallel computation
10 Q0 CACM-2785 1 -27.104411650384947 SMOOTHQSystem
10 Q0 CACM-1795 2 -30.605556244519967 SMOOTHQSystem
10 Q0 CACM-2895 3 -32.505747430988805 SMOOTHQSystem
10 Q0 CACM-2266 4 -32.53713657656733 SMOOTHQSystem
10 Q0 CACM-3075 5 -33.029371386816884 SMOOTHQSystem
10 Q0 CACM-3059 6 -33.355542179750486 SMOOTHQSystem
10 Q0 CACM-2700 7 -33.4258035922268 SMOOTHQSystem
10 Q0 CACM-2514 8 -33.44757286870575 SMOOTHQSystem
10 Q0 CACM-1536 9 -33.77907334223148 SMOOTHQSystem
10 Q0 CACM-1302 10 -34.04839663615513 SMOOTHQSystem
10 Q0 CACM-1158 11 -34.44703610076542 SMOOTHQSystem
10 Q0 CACM-2685 12 -34.573285016099746 SMOOTHQSystem
10 Q0 CACM-0249 13 -34.64466387621463 SMOOTHQSystem
10 Q0 CACM-1601 14 -34.83512531984928 SMOOTHQSystem
10 Q0 CACM-2851 15 -34.97201448268335 SMOOTHQSystem
10 Q0 CACM-2814 16 -35.47319396622472 SMOOTHQSystem
10 Q0 CACM-1262 17 -35.612319105762474 SMOOTHQSystem
10 Q0 CACM-2896 18 -35.65049754047867 SMOOTHQSystem
10 Q0 CACM-2973 19 -35.664758101573604 SMOOTHQSystem
10 Q0 CACM-2316 20 -35.694429710200374 SMOOTHQSystem
10 Q0 CACM-0651 21 -35.75813875102649 SMOOTHQSystem
10 Q0 CACM-2289 22 -35.84607261689291 SMOOTHQSystem
10 Q0 CACM-1828 23 -35.85509735615062 SMOOTHQSystem
10 Q0 CACM-0141 24 -35.90296883957749 SMOOTHQSystem
10 Q0 CACM-1459 25 -36.001118526431654 SMOOTHQSystem
10 Q0 CACM-0628 26 -36.01591100686618 SMOOTHQSystem
10 Q0 CACM-0950 27 -36.04191148784663 SMOOTHQSystem
10 Q0 CACM-2714 28 -36.110154296340305 SMOOTHQSystem
10 Q0 CACM-0392 29 -36.11249863927222 SMOOTHQSystem
10 Q0 CACM-3156 30 -36.20445907974734 SMOOTHQSystem
10 Q0 CACM-2865 31 -36.22566992080854 SMOOTHQSystem
10 Q0 CACM-1468 32 -36.27380315882941 SMOOTHQSystem
10 Q0 CACM-1309 33 -36.53283193720132 SMOOTHQSystem
10 Q0 CACM-1569 34 -36.55052488931536 SMOOTHQSystem
