setl very high level languages
11 Q0 CACM-2699 1 -24.270344780433277 SMOOTHQSystem
11 Q0 CACM-2906 2 -29.894560136013276 SMOOTHQSystem
11 Q0 CACM-2717 3 -32.35730512927722 SMOOTHQSystem
11 Q0 CACM-1923 4 -34.02740101735948 SMOOTHQSystem
11 Q0 CACM-0724 5 -35.66116497578943 SMOOTHQSystem
11 Q0 CACM-3148 6 -35.81742278432111 SMOOTHQSystem
11 Q0 CACM-3171 7 -35.93838021753645 SMOOTHQSystem
11 Q0 CACM-2716 8 -36.46150087347577 SMOOTHQSystem
11 Q0 CACM-3150 9 -36.594162968264484 SMOOTHQSystem
11 Q0 CACM-1872 10 -36.94659882460511 SMOOTHQSystem
11 Q0 CACM-2091 11 -36.965071877879176 SMOOTHQSystem
11 Q0 CACM-3077 12 -37.77595570236596 SMOOTHQSystem
11 Q0 CACM-2198 13 -37.83743729032142 SMOOTHQSystem
11 Q0 CACM-2320 14 -37.88299609627617 SMOOTHQSystem
11 Q0 CACM-1903 15 -37.94479552737597 SMOOTHQSystem
11 Q0 CACM-2527 16 -38.16646778276577 SMOOTHQSystem
11 Q0 CACM-2081 17 -38.524417844624296 SMOOTHQSystem
11 Q0 CACM-0281 18 -38.74816832248921 SMOOTHQSystem
11 Q0 CACM-2316 19 -38.89544141466574 SMOOTHQSystem
11 Q0 CACM-2003 20 -38.94842195643727 SMOOTHQSystem
11 Q0 CACM-1860 21 -39.12681440446304 SMOOTHQSystem
11 Q0 CACM-2246 22 -39.2020012957545 SMOOTHQSystem
11 Q0 CACM-3080 23 -39.55742013921523 SMOOTHQSystem
11 Q0 CACM-1627 24 -39.56538754072529 SMOOTHQSystem
11 Q0 CACM-2705 25 -39.868706274972354 SMOOTHQSystem
11 Q0 CACM-1835 26 -40.006007109870474 SMOOTHQSystem
11 Q0 CACM-2317 27 -40.088653870212845 SMOOTHQSystem
11 Q0 CACM-0205 28 -40.09645207758876 SMOOTHQSystem
11 Q0 CACM-0265 29 -40.24971907933634 SMOOTHQSystem
11 Q0 CACM-1179 30 -40.36836814139542 SMOOTHQSystem
