code optimization for space efficiency
13 Q0 CACM-1947 1 -26.912414604318993 SMOOTHQSystem
13 Q0 CACM-2559 2 -27.949103564092418 SMOOTHQSystem
13 Q0 CACM-1795 3 -28.021238854785857 SMOOTHQSystem
13 Q0 CACM-1886 4 -28.854916547374906 SMOOTHQSystem
13 Q0 CACM-2495 5 -28.88994150241289 SMOOTHQSystem
13 Q0 CACM-2748 6 -29.091559567845145 SMOOTHQSystem
13 Q0 CACM-2944 7 -29.718850879031987 SMOOTHQSystem
13 Q0 CACM-2680 8 -29.968261925099675 SMOOTHQSystem
13 Q0 CACM-1195 9 -30.48120056610327 SMOOTHQSystem
13 Q0 CACM-2491 10 -30.48639925547713 SMOOTHQSystem
13 Q0 CACM-3171 11 -30.607047649197668 SMOOTHQSystem
13 Q0 CACM-2904 12 -30.67256801413984 SMOOTHQSystem
13 Q0 CACM-2537 13 -30.6910302407737 SMOOTHQSystem
13 Q0 CACM-2253 14 -30.818168544170597 SMOOTHQSystem
13 Q0 CACM-3080 15 -30.97327157060581 SMOOTHQSystem
13 Q0 CACM-1564 16 -31.260880449662224 SMOOTHQSystem
13 Q0 CACM-1651 17 -31.486366063052188 SMOOTHQSystem
13 Q0 CACM-2929 18 -31.50263160194138 SMOOTHQSystem
13 Q0 CACM-2374 19 -31.582082831586938 SMOOTHQSystem
13 Q0 CACM-2716 20 -31.63710570770366 SMOOTHQSystem
13 Q0 CACM-2858 21 -31.662392717676695 SMOOTHQSystem
13 Q0 CACM-3054 22 -31.745172210344272 SMOOTHQSystem
13 Q0 CACM-2033 23 -31.887629319706278 SMOOTHQSystem
13 Q0 CACM-2701 24 -31.933461721939118 SMOOTHQSystem
13 Q0 CACM-2856 25 -31.940707464365836 SMOOTHQSystem
13 Q0 CACM-2423 26 -31.967426684651258 SMOOTHQSystem
13 Q0 CACM-3005 27 -32.060535826297 SMOOTHQSystem
13 Q0 CACM-2464 28 -32.07940640584468 SMOOTHQSystem
13 Q0 CACM-2897 29 -32.15375955502638 SMOOTHQSystem
13 Q0 CACM-1234 30 -32.23074124040939 SMOOTHQSystem
13 Q0 CACM-0267 31 -32.314658544443745 SMOOTHQSystem
13 Q0 CACM-2611 32 -32.40034486396104 SMOOTHQSystem
13 Q0 CACM-0797 33 -32.54800794355641 SMOOTHQSystem
13 Q0 CACM-2433 34 -32.59537188241164 SMOOTHQSystem
13 Q0 CACM-2734 35 -32.601884965160764 SMOOTHQSystem
13 Q0 CACM-0066 36 -32.60738373891882 SMOOTHQSystem
13 Q0 CACM-3083 37 -32.62735185073163 SMOOTHQSystem
13 Q0 CACM-1901 38 -32.64473815566328 SMOOTHQSystem
13 Q0 CACM-1289 39 -32.769767705352386 SMOOTHQSystem
13 Q0 CACM-2524 40 -32.80650747006459 SMOOTHQSystem
13 Q0 CACM-2722 41 -32.859500653571224 SMOOTHQSystem
13 Q0 CACM-1414 42 -32.87106152680177 SMOOTHQSystem
13 Q0 CACM-1064 43 -32.87106152680177 SMOOTHQSystem
13 Q0 CACM-0230 44 -32.87106152680177 SMOOTHQSystem
13 Q0 CACM-1223 45 -32.95902818737507 SMOOTHQSystem
13 Q0 CACM-0149 46 -33.03037573167197 SMOOTHQSystem
13 Q0 CACM-2835 47 -33.031378862947335 SMOOTHQSystem
13 Q0 CACM-1807 48 -33.05285631706674 SMOOTHQSystem
13 Q0 CACM-1542 49 -33.10903331219813 SMOOTHQSystem
13 Q0 CACM-1204 50 -33.17443819000424 SMOOTHQSystem
13 Q0 CACM-1275 51 -33.304692699263846 SMOOTHQSystem
13 Q0 CACM-2133 52 -33.334253283607985 SMOOTHQSystem
13 Q0 CACM-1708 53 -33.41312340614442 SMOOTHQSystem
13 Q0 CACM-2645 54 -33.44665618596937 SMOOTHQSystem
13 Q0 CACM-2892 55 -33.482225036073714 SMOOTHQSystem
13 Q0 CACM-1992 56 -33.49572500251608 SMOOTHQSystem
13 Q0 CACM-1235 57 -33.51702887030523 SMOOTHQSystem
13 Q0 CACM-3129 58 -33.52403348465576 SMOOTHQSystem
13 Q0 CACM-1065 59 -33.586811294630046 SMOOTHQSystem
13 Q0 CACM-1030 60 -33.59106382530122 SMOOTHQSystem
13 Q0 CACM-1655 61 -33.61340502838707 SMOOTHQSystem
13 Q0 CACM-1362 62 -33.61772412270035 SMOOTHQSystem
13 Q0 CACM-2586 63 -33.65054103456632 SMOOTHQSystem
13 Q0 CACM-1757 64 -33.65054103456632 SMOOTHQSystem
13 Q0 CACM-0048 65 -33.657747106907394 SMOOTHQSystem
13 Q0 CACM-2745 66 -33.72972860337997 SMOOTHQSystem
13 Q0 CACM-2078 67 -33.80151932551521 SMOOTHQSystem
13 Q0 CACM-1369 68 -33.811247306844145 SMOOTHQSystem
13 Q0 CACM-2711 69 -33.822846427983826 SMOOTHQSystem
13 Q0 CACM-1429 70 -33.90914437970441 SMOOTHQSystem
13 Q0 CACM-1352 71 -33.90914437970441 SMOOTHQSystem
13 Q0 CACM-2950 72 -33.94750188270299 SMOOTHQSystem
13 Q0 CACM-2230 73 -33.96094895832777 SMOOTHQSystem
13 Q0 CACM-2126 74 -33.97580599551968 SMOOTHQSystem
13 Q0 CACM-1523 75 -34.02931740303467 SMOOTHQSystem
13 Q0 CACM-2015 76 -34.094223745508216 SMOOTHQSystem
13 Q0 CACM-3134 77 -34.102965427632306 SMOOTHQSystem
13 Q0 CACM-2365 78 -34.10393269848721 SMOOTHQSystem
