optimization of intermediate and machine code
17 Q0 CACM-1223 1 -28.57777945120397 SMOOTHQSystem
17 Q0 CACM-1658 2 -29.087284808699437 SMOOTHQSystem
17 Q0 CACM-1947 3 -31.403285697973104 SMOOTHQSystem
17 Q0 CACM-1795 4 -32.0848622079684 SMOOTHQSystem
17 Q0 CACM-2491 5 -33.26947000620521 SMOOTHQSystem
17 Q0 CACM-2253 6 -33.29378806813163 SMOOTHQSystem
17 Q0 CACM-3080 7 -33.97549947742218 SMOOTHQSystem
17 Q0 CACM-2748 8 -34.35190278055629 SMOOTHQSystem
17 Q0 CACM-1154 9 -34.58591391355378 SMOOTHQSystem
17 Q0 CACM-1676 10 -35.06468387549663 SMOOTHQSystem
17 Q0 CACM-3054 11 -35.24234376213467 SMOOTHQSystem
17 Q0 CACM-1564 12 -35.26912622990997 SMOOTHQSystem
17 Q0 CACM-3005 13 -35.38030890129388 SMOOTHQSystem
17 Q0 CACM-2495 14 -35.56761197296824 SMOOTHQSystem
17 Q0 CACM-2904 15 -35.65945670798879 SMOOTHQSystem
17 Q0 CACM-1886 16 -35.67708541318909 SMOOTHQSystem
17 Q0 CACM-1807 17 -35.68305457098221 SMOOTHQSystem
17 Q0 CACM-2929 18 -35.768953531774876 SMOOTHQSystem
17 Q0 CACM-2433 19 -36.21412335851612 SMOOTHQSystem
17 Q0 CACM-2858 20 -36.25255745070655 SMOOTHQSystem
17 Q0 CACM-1542 21 -36.466448952890794 SMOOTHQSystem
17 Q0 CACM-2701 22 -36.53370573371904 SMOOTHQSystem
17 Q0 CACM-1523 23 -36.57187028598485 SMOOTHQSystem
17 Q0 CACM-1392 24 -36.70190549238313 SMOOTHQSystem
17 Q0 CACM-2423 25 -36.73890526316601 SMOOTHQSystem
17 Q0 CACM-1402 26 -36.753870373602794 SMOOTHQSystem
17 Q0 CACM-1389 27 -36.783845680148275 SMOOTHQSystem
17 Q0 CACM-2138 28 -36.95677334982669 SMOOTHQSystem
17 Q0 CACM-1387 29 -36.958184529584955 SMOOTHQSystem
17 Q0 CACM-3171 30 -36.99603791138398 SMOOTHQSystem
17 Q0 CACM-3150 31 -37.05654894797282 SMOOTHQSystem
17 Q0 CACM-2616 32 -37.09566686721676 SMOOTHQSystem
17 Q0 CACM-2944 33 -37.114351943793686 SMOOTHQSystem
17 Q0 CACM-0252 34 -37.18694452101366 SMOOTHQSystem
17 Q0 CACM-1029 35 -37.30340206706459 SMOOTHQSystem
17 Q0 CACM-3115 36 -37.371294915680835 SMOOTHQSystem
17 Q0 CACM-1665 37 -37.390548392663305 SMOOTHQSystem
17 Q0 CACM-0123 38 -37.57725838557549 SMOOTHQSystem
17 Q0 CACM-1783 39 -37.58323399049609 SMOOTHQSystem
17 Q0 CACM-1231 40 -37.6823440604309 SMOOTHQSystem
17 Q0 CACM-2871 41 -37.68997575160893 SMOOTHQSystem
17 Q0 CACM-3130 42 -37.70412264080534 SMOOTHQSystem
17 Q0 CACM-1275 43 -37.716742966617275 SMOOTHQSystem
17 Q0 CACM-2835 44 -37.750604598842976 SMOOTHQSystem
17 Q0 CACM-0210 45 -37.81197261436044 SMOOTHQSystem
17 Q0 CACM-2834 46 -37.82658862378697 SMOOTHQSystem
17 Q0 CACM-2053 47 -37.921519770407976 SMOOTHQSystem
17 Q0 CACM-1726 48 -37.97884522409877 SMOOTHQSystem
17 Q0 CACM-2344 49 -37.9930994069141 SMOOTHQSystem
17 Q0 CACM-2527 50 -38.01683033819833 SMOOTHQSystem
17 Q0 CACM-1362 51 -38.0353310743683 SMOOTHQSystem
17 Q0 CACM-0048 52 -38.12618944541881 SMOOTHQSystem
17 Q0 CACM-1062 53 -38.16255060641601 SMOOTHQSystem
17 Q0 CACM-2979 54 -38.169943231248425 SMOOTHQSystem
17 Q0 CACM-1652 55 -38.18520796168629 SMOOTHQSystem
17 Q0 CACM-2233 56 -38.20888139930559 SMOOTHQSystem
17 Q0 CACM-2897 57 -38.26792127664303 SMOOTHQSystem
17 Q0 CACM-2812 58 -38.29578127180603 SMOOTHQSystem
17 Q0 CACM-1719 59 -38.346068766620256 SMOOTHQSystem
17 Q0 CACM-1195 60 -38.36649130088234 SMOOTHQSystem
17 Q0 CACM-2699 61 -38.38539237687704 SMOOTHQSystem
17 Q0 CACM-3066 62 -38.39449285722606 SMOOTHQSystem
17 Q0 CACM-1331 63 -38.440635496425486 SMOOTHQSystem
17 Q0 CACM-1752 64 -38.46234429481815 SMOOTHQSystem
17 Q0 CACM-2079 65 -38.48475028961569 SMOOTHQSystem
17 Q0 CACM-2106 66 -38.58082937373075 SMOOTHQSystem
17 Q0 CACM-1350 67 -38.60868771941033 SMOOTHQSystem
17 Q0 CACM-2107 68 -38.61291087512774 SMOOTHQSystem
17 Q0 CACM-2746 69 -38.65970690291773 SMOOTHQSystem
17 Q0 CACM-1016 70 -38.66649014944575 SMOOTHQSystem
17 Q0 CACM-1973 71 -38.67187113263041 SMOOTHQSystem
17 Q0 CACM-3000 72 -38.675144046049134 SMOOTHQSystem
17 Q0 CACM-0241 73 -38.69310528420652 SMOOTHQSystem
17 Q0 CACM-1621 74 -38.71643374271619 SMOOTHQSystem
17 Q0 CACM-1915 75 -38.734990646350326 SMOOTHQSystem
17 Q0 CACM-2264 76 -38.7418963765171 SMOOTHQSystem
17 Q0 CACM-3020 77 -38.78394299948687 SMOOTHQSystem
17 Q0 CACM-0892 78 -38.798665802256245 SMOOTHQSystem
17 Q0 CACM-1167 79 -38.80402096228465 SMOOTHQSystem
17 Q0 CACM-3125 80 -38.80508485262289 SMOOTHQSystem
17 Q0 CACM-3018 81 -38.81979688352378 SMOOTHQSystem
17 Q0 CACM-1486 82 -38.82241513294855 SMOOTHQSystem
17 Q0 CACM-1553 83 -38.82569868625478 SMOOTHQSystem
17 Q0 CACM-2680 84 -38.830277408447024 SMOOTHQSystem
17 Q0 CACM-2321 85 -38.83136829498345 SMOOTHQSystem
17 Q0 CACM-0537 86 -38.834680003934814 SMOOTHQSystem
17 Q0 CACM-2195 87 -38.838777151651215 SMOOTHQSystem
17 Q0 CACM-2877 88 -38.84572006538954 SMOOTHQSystem
17 Q0 CACM-1854 89 -38.858879886462034 SMOOTHQSystem
17 Q0 CACM-2953 90 -38.85906960910038 SMOOTHQSystem
17 Q0 CACM-2533 91 -38.929059042276364 SMOOTHQSystem
17 Q0 CACM-3144 92 -38.9404152334268 SMOOTHQSystem
17 Q0 CACM-0104 93 -38.945758138088145 SMOOTHQSystem
17 Q0 CACM-2464 94 -38.953196516115355 SMOOTHQSystem
17 Q0 CACM-3173 95 -38.95647072924153 SMOOTHQSystem
17 Q0 CACM-2716 96 -38.97324683672857 SMOOTHQSystem
