distributed computing structures and algorithms
23 Q0 CACM-3148 1 -26.870010167102617 SMOOTHQSystem
23 Q0 CACM-3137 2 -28.48054315870454 SMOOTHQSystem
23 Q0 CACM-2849 3 -28.546517028272923 SMOOTHQSystem
23 Q0 CACM-2081 4 -28.647827066327324 SMOOTHQSystem
23 Q0 CACM-2276 5 -28.832056627392312 SMOOTHQSystem
23 Q0 CACM-2406 6 -28.938714993834676 SMOOTHQSystem
23 Q0 CACM-3025 7 -30.02562748613866 SMOOTHQSystem
23 Q0 CACM-2630 8 -30.259803781367218 SMOOTHQSystem
23 Q0 CACM-2433 9 -30.35568164230514 SMOOTHQSystem
23 Q0 CACM-2832 10 -30.440499316394 SMOOTHQSystem
23 Q0 CACM-1411 11 -30.453526322054927 SMOOTHQSystem
23 Q0 CACM-2216 12 -30.49622800560452 SMOOTHQSystem
23 Q0 CACM-1873 13 -30.50364801187263 SMOOTHQSystem
23 Q0 CACM-2834 14 -30.534850909566437 SMOOTHQSystem
23 Q0 CACM-2454 15 -30.58048166026664 SMOOTHQSystem
23 Q0 CACM-3124 16 -30.585105887944387 SMOOTHQSystem
23 Q0 CACM-3141 17 -30.651562455380525 SMOOTHQSystem
23 Q0 CACM-2169 18 -30.692408079597072 SMOOTHQSystem
23 Q0 CACM-3166 19 -30.783589578301328 SMOOTHQSystem
23 Q0 CACM-2130 20 -30.800020262140897 SMOOTHQSystem
23 Q0 CACM-2890 21 -30.830053052118455 SMOOTHQSystem
23 Q0 CACM-2373 22 -30.833071459145472 SMOOTHQSystem
23 Q0 CACM-3043 23 -30.859880469407077 SMOOTHQSystem
23 Q0 CACM-2766 24 -31.02447732100842 SMOOTHQSystem
23 Q0 CACM-0371 25 -31.174669449378438 SMOOTHQSystem
23 Q0 CACM-3082 26 -31.277504611852706 SMOOTHQSystem
23 Q0 CACM-2949 27 -31.293027080347454 SMOOTHQSystem
23 Q0 CACM-2060 28 -31.385475319649448 SMOOTHQSystem
23 Q0 CACM-3037 29 -31.462402087022575 SMOOTHQSystem
