concurrency control mechanisms in operating systems
26 Q0 CACM-2626 1 -36.81371438554715 SMOOTHQSystem
26 Q0 CACM-3105 2 -37.004576360184416 SMOOTHQSystem
26 Q0 CACM-2840 3 -37.11595485597795 SMOOTHQSystem
26 Q0 CACM-3128 4 -38.30783196690737 SMOOTHQSystem
26 Q0 CACM-2632 5 -38.845095488627464 SMOOTHQSystem
26 Q0 CACM-2939 6 -38.90230632904925 SMOOTHQSystem
26 Q0 CACM-1677 7 -39.25733241484145 SMOOTHQSystem
26 Q0 CACM-2314 8 -39.55190247960655 SMOOTHQSystem
26 Q0 CACM-2938 9 -39.809763301462 SMOOTHQSystem
26 Q0 CACM-1750 10 -39.9044209471198 SMOOTHQSystem
26 Q0 CACM-2817 11 -39.96323917825749 SMOOTHQSystem
26 Q0 CACM-2377 12 -40.096592092803064 SMOOTHQSystem
26 Q0 CACM-2080 13 -40.17317701954856 SMOOTHQSystem
26 Q0 CACM-2541 14 -40.185023678044615 SMOOTHQSystem
26 Q0 CACM-2372 15 -40.305280304303025 SMOOTHQSystem
26 Q0 CACM-2558 16 -40.35575955139974 SMOOTHQSystem
26 Q0 CACM-2320 17 -40.503463871273965 SMOOTHQSystem
26 Q0 CACM-3068 18 -40.71604533010921 SMOOTHQSystem
26 Q0 CACM-2578 19 -40.74667358838157 SMOOTHQSystem
26 Q0 CACM-2036 20 -40.89559168552802 SMOOTHQSystem
26 Q0 CACM-3026 21 -40.93823645259533 SMOOTHQSystem
26 Q0 CACM-1461 22 -41.01957872415458 SMOOTHQSystem
26 Q0 CACM-1680 23 -41.19132688413104 SMOOTHQSystem
26 Q0 CACM-1463 24 -41.22026484608175 SMOOTHQSystem
26 Q0 CACM-2870 25 -41.392140354530675 SMOOTHQSystem
26 Q0 CACM-1754 26 -41.559787286500196 SMOOTHQSystem
26 Q0 CACM-2111 27 -41.56990197014915 SMOOTHQSystem
26 Q0 CACM-0059 28 -41.5793287732104 SMOOTHQSystem
26 Q0 CACM-2867 29 -41.59130630728718 SMOOTHQSystem
26 Q0 CACM-2317 30 -41.641329561618406 SMOOTHQSystem
26 Q0 CACM-1728 31 -41.64354975000811 SMOOTHQSystem
26 Q0 CACM-0696 32 -41.844778617343636 SMOOTHQSystem
26 Q0 CACM-0084 33 -41.85478986050566 SMOOTHQSystem
26 Q0 CACM-1341 34 -41.873258575293214 SMOOTHQSystem
26 Q0 CACM-1591 35 -41.95692517974493 SMOOTHQSystem
26 Q0 CACM-2936 36 -42.020906427833175 SMOOTHQSystem
26 Q0 CACM-2878 37 -42.070673345406064 SMOOTHQSystem
26 Q0 CACM-2151 38 -42.078437560838324 SMOOTHQSystem
26 Q0 CACM-2716 39 -42.16441424279876 SMOOTHQSystem
26 Q0 CACM-0618 40 -42.216896326786255 SMOOTHQSystem
26 Q0 CACM-2888 41 -42.27433502632775 SMOOTHQSystem
26 Q0 CACM-2985 42 -42.29935576019702 SMOOTHQSystem
26 Q0 CACM-1636 43 -42.36287331174819 SMOOTHQSystem
26 Q0 CACM-3183 44 -42.376619533868364 SMOOTHQSystem
26 Q0 CACM-0086 45 -42.37919792069447 SMOOTHQSystem
26 Q0 CACM-3141 46 -42.38192261835586 SMOOTHQSystem
26 Q0 CACM-1247 47 -42.38556837689591 SMOOTHQSystem
26 Q0 CACM-3011 48 -42.4204389281534 SMOOTHQSystem
26 Q0 CACM-0104 49 -42.45293001895608 SMOOTHQSystem
26 Q0 CACM-2020 50 -42.45577195042091 SMOOTHQSystem
26 Q0 CACM-3050 51 -42.611888717611926 SMOOTHQSystem
26 Q0 CACM-2621 52 -42.64893863453497 SMOOTHQSystem
26 Q0 CACM-1476 53 -42.66412697054276 SMOOTHQSystem
26 Q0 CACM-2060 54 -42.69040831828639 SMOOTHQSystem
26 Q0 CACM-1290 55 -42.69893478566369 SMOOTHQSystem
26 Q0 CACM-2821 56 -42.71343342991637 SMOOTHQSystem
26 Q0 CACM-2866 57 -42.72017497515789 SMOOTHQSystem
26 Q0 CACM-0300 58 -42.763747949713 SMOOTHQSystem
26 Q0 CACM-2849 59 -42.765953518685734 SMOOTHQSystem
