memory management aspects of operating systems
27 Q0 CACM-2297 1 -27.891580062819767 SMOOTHQSystem
27 Q0 CACM-2069 2 -30.121526852437867 SMOOTHQSystem
27 Q0 CACM-2358 3 -31.46828110241848 SMOOTHQSystem
27 Q0 CACM-2319 4 -31.664112776908503 SMOOTHQSystem
27 Q0 CACM-3006 5 -32.12458597089908 SMOOTHQSystem
27 Q0 CACM-1892 6 -32.2372137619313 SMOOTHQSystem
27 Q0 CACM-2374 7 -32.56976550989558 SMOOTHQSystem
27 Q0 CACM-2902 8 -32.62441974489592 SMOOTHQSystem
27 Q0 CACM-2406 9 -32.730910677138795 SMOOTHQSystem
27 Q0 CACM-1752 10 -33.07562849938169 SMOOTHQSystem
27 Q0 CACM-2988 11 -33.26964311914916 SMOOTHQSystem
27 Q0 CACM-3000 12 -33.28725376674223 SMOOTHQSystem
27 Q0 CACM-2372 13 -33.390988715093165 SMOOTHQSystem
27 Q0 CACM-1753 14 -33.832959241371746 SMOOTHQSystem
27 Q0 CACM-2740 15 -33.94535563603133 SMOOTHQSystem
27 Q0 CACM-1901 16 -33.94925793955064 SMOOTHQSystem
27 Q0 CACM-2867 17 -33.980056412807336 SMOOTHQSystem
27 Q0 CACM-1728 18 -34.020489866583425 SMOOTHQSystem
27 Q0 CACM-1750 19 -34.14905523049776 SMOOTHQSystem
27 Q0 CACM-2314 20 -34.415311045022996 SMOOTHQSystem
27 Q0 CACM-2379 21 -34.45084451208477 SMOOTHQSystem
27 Q0 CACM-2669 22 -34.51474328193557 SMOOTHQSystem
27 Q0 CACM-3050 23 -34.61887067579951 SMOOTHQSystem
27 Q0 CACM-3067 24 -34.76237206185543 SMOOTHQSystem
27 Q0 CACM-2864 25 -35.078791441341316 SMOOTHQSystem
27 Q0 CACM-2017 26 -35.13423664159894 SMOOTHQSystem
27 Q0 CACM-0059 27 -35.230192163789056 SMOOTHQSystem
27 Q0 CACM-2502 28 -35.248355958318236 SMOOTHQSystem
27 Q0 CACM-3068 29 -35.36022058484255 SMOOTHQSystem
27 Q0 CACM-3028 30 -35.45635188872698 SMOOTHQSystem
27 Q0 CACM-0084 31 -35.51652870887314 SMOOTHQSystem
27 Q0 CACM-1751 32 -35.55211980982483 SMOOTHQSystem
27 Q0 CACM-2479 33 -35.60843969997313 SMOOTHQSystem
27 Q0 CACM-3026 34 -35.64002692217286 SMOOTHQSystem
27 Q0 CACM-1541 35 -35.64877461306833 SMOOTHQSystem
27 Q0 CACM-3011 36 -35.738007302986055 SMOOTHQSystem
27 Q0 CACM-2311 37 -35.73938763302936 SMOOTHQSystem
27 Q0 CACM-0086 38 -35.778378772299234 SMOOTHQSystem
27 Q0 CACM-1725 39 -35.862362635805404 SMOOTHQSystem
27 Q0 CACM-1461 40 -35.86395092365184 SMOOTHQSystem
27 Q0 CACM-2625 41 -35.87155729006607 SMOOTHQSystem
27 Q0 CACM-2357 42 -35.998703802696454 SMOOTHQSystem
27 Q0 CACM-2624 43 -36.005909971096195 SMOOTHQSystem
27 Q0 CACM-2798 44 -36.02453239895617 SMOOTHQSystem
27 Q0 CACM-2378 45 -36.027172789500035 SMOOTHQSystem
27 Q0 CACM-2481 46 -36.02980407518635 SMOOTHQSystem
27 Q0 CACM-1267 47 -36.15940857561955 SMOOTHQSystem
27 Q0 CACM-1708 48 -36.26674413055199 SMOOTHQSystem
27 Q0 CACM-1781 49 -36.27868229981988 SMOOTHQSystem
27 Q0 CACM-2985 50 -36.28771612810629 SMOOTHQSystem
27 Q0 CACM-2852 51 -36.29517970406055 SMOOTHQSystem
27 Q0 CACM-2345 52 -36.3062811870641 SMOOTHQSystem
27 Q0 CACM-1912 53 -36.33566376778629 SMOOTHQSystem
27 Q0 CACM-1959 54 -36.34023743731331 SMOOTHQSystem
27 Q0 CACM-2095 55 -36.34114755626759 SMOOTHQSystem
27 Q0 CACM-2622 56 -36.37451436380463 SMOOTHQSystem
27 Q0 CACM-1748 57 -36.41145161187613 SMOOTHQSystem
27 Q0 CACM-2582 58 -36.42982904905742 SMOOTHQSystem
27 Q0 CACM-2111 59 -36.457103380587135 SMOOTHQSystem
27 Q0 CACM-1657 60 -36.48435160024773 SMOOTHQSystem
27 Q0 CACM-2577 61 -36.551100720496684 SMOOTHQSystem
27 Q0 CACM-1698 62 -36.55628750221396 SMOOTHQSystem
27 Q0 CACM-2198 63 -36.55676460054281 SMOOTHQSystem
27 Q0 CACM-2868 64 -36.67326120653671 SMOOTHQSystem
27 Q0 CACM-2106 65 -36.686805647308546 SMOOTHQSystem
27 Q0 CACM-2859 66 -36.70986039754105 SMOOTHQSystem
27 Q0 CACM-1572 67 -36.754060971347435 SMOOTHQSystem
27 Q0 CACM-2583 68 -36.77448210938975 SMOOTHQSystem
27 Q0 CACM-2967 69 -36.80496624488618 SMOOTHQSystem
27 Q0 CACM-2407 70 -36.807498447122974 SMOOTHQSystem
27 Q0 CACM-1462 71 -36.82399224019862 SMOOTHQSystem
27 Q0 CACM-2689 72 -36.83178454522899 SMOOTHQSystem
27 Q0 CACM-3090 73 -36.8693986960325 SMOOTHQSystem
27 Q0 CACM-1456 74 -36.88152885475115 SMOOTHQSystem
27 Q0 CACM-0417 75 -36.958940865424964 SMOOTHQSystem
