parallel processors in information retrieval
50 Q0 CACM-3075 1 -27.483120860642615 SMOOTHQSystem
50 Q0 CACM-2714 2 -27.54334011177832 SMOOTHQSystem
50 Q0 CACM-0634 3 -27.638204358348133 SMOOTHQSystem
50 Q0 CACM-3156 4 -27.83554250774658 SMOOTHQSystem
50 Q0 CACM-1927 5 -28.640343758787917 SMOOTHQSystem
50 Q0 CACM-2175 6 -28.64797926249294 SMOOTHQSystem
50 Q0 CACM-2570 7 -28.758406634276156 SMOOTHQSystem
50 Q0 CACM-1457 8 -28.831714082497257 SMOOTHQSystem
50 Q0 CACM-2497 9 -28.982030920804924 SMOOTHQSystem
50 Q0 CACM-1811 10 -29.03135496086567 SMOOTHQSystem
50 Q0 CACM-1680 11 -29.065385335919956 SMOOTHQSystem
50 Q0 CACM-2278 12 -29.213108470555927 SMOOTHQSystem
50 Q0 CACM-2114 13 -29.215227417275113 SMOOTHQSystem
50 Q0 CACM-2530 14 -29.249133137717422 SMOOTHQSystem
50 Q0 CACM-2976 15 -29.415245550375005 SMOOTHQSystem
50 Q0 CACM-2965 16 -29.415245550375005 SMOOTHQSystem
50 Q0 CACM-3168 17 -29.494387724093784 SMOOTHQSystem
50 Q0 CACM-2288 18 -29.50019207500431 SMOOTHQSystem
50 Q0 CACM-0891 19 -29.523162373175477 SMOOTHQSystem
50 Q0 CACM-1699 20 -29.60486924680871 SMOOTHQSystem
50 Q0 CACM-3169 21 -29.645574596350926 SMOOTHQSystem
50 Q0 CACM-2967 22 -29.77440272074765 SMOOTHQSystem
50 Q0 CACM-1935 23 -29.987691186079477 SMOOTHQSystem
50 Q0 CACM-2990 24 -30.000682966447492 SMOOTHQSystem
50 Q0 CACM-0651 25 -30.028283190709736 SMOOTHQSystem
50 Q0 CACM-0275 26 -30.028283190709736 SMOOTHQSystem
50 Q0 CACM-2070 27 -30.11967323810814 SMOOTHQSystem
50 Q0 CACM-1681 28 -30.125578636769912 SMOOTHQSystem
50 Q0 CACM-1830 29 -30.22843738914749 SMOOTHQSystem
50 Q0 CACM-3134 30 -30.349285600772717 SMOOTHQSystem
50 Q0 CACM-3012 31 -30.3532735193625 SMOOTHQSystem
50 Q0 CACM-2519 32 -30.374222437890822 SMOOTHQSystem
50 Q0 CACM-2723 33 -30.397586481621104 SMOOTHQSystem
50 Q0 CACM-0082 34 -30.4841403590474 SMOOTHQSystem
50 Q0 CACM-0239 35 -30.521034776060798 SMOOTHQSystem
50 Q0 CACM-2516 36 -30.563786863868376 SMOOTHQSystem
50 Q0 CACM-2140 37 -30.564285564738558 SMOOTHQSystem
50 Q0 CACM-2532 38 -30.59212911250816 SMOOTHQSystem
50 Q0 CACM-2882 39 -30.62563879829495 SMOOTHQSystem
50 Q0 CACM-1032 40 -30.656900788172653 SMOOTHQSystem
50 Q0 CACM-1846 41 -30.665093336483288 SMOOTHQSystem
50 Q0 CACM-1831 42 -30.726837433626926 SMOOTHQSystem
50 Q0 CACM-0292 43 -30.726837433626926 SMOOTHQSystem
50 Q0 CACM-1959 44 -30.754242397851158 SMOOTHQSystem
50 Q0 CACM-1359 45 -30.81380840033991 SMOOTHQSystem
50 Q0 CACM-2631 46 -30.85626064433579 SMOOTHQSystem
50 Q0 CACM-2865 47 -30.861576371484084 SMOOTHQSystem
50 Q0 CACM-1937 48 -30.94247750947215 SMOOTHQSystem
