parallel processors and paging algorithms
51 Q0 CACM-3075 1 -25.364162035768942 SMOOTHQSystem
51 Q0 CACM-3156 2 -26.894264033281118 SMOOTHQSystem
51 Q0 CACM-2723 3 -27.460884512264144 SMOOTHQSystem
51 Q0 CACM-2570 4 -27.624564298435047 SMOOTHQSystem
51 Q0 CACM-2714 5 -28.26368641512403 SMOOTHQSystem
51 Q0 CACM-3006 6 -28.80549604035195 SMOOTHQSystem
51 Q0 CACM-1752 7 -29.12938087521507 SMOOTHQSystem
51 Q0 CACM-2973 8 -29.791139248680835 SMOOTHQSystem
51 Q0 CACM-2365 9 -30.362251644454535 SMOOTHQSystem
51 Q0 CACM-2863 10 -30.524493760116606 SMOOTHQSystem
51 Q0 CACM-1811 11 -30.563995376996896 SMOOTHQSystem
51 Q0 CACM-2497 12 -30.64666755789794 SMOOTHQSystem
51 Q0 CACM-2175 13 -30.83589994904816 SMOOTHQSystem
51 Q0 CACM-2450 14 -30.93777565171538 SMOOTHQSystem
51 Q0 CACM-2740 15 -31.067156915785613 SMOOTHQSystem
51 Q0 CACM-1924 16 -31.18269461603285 SMOOTHQSystem
51 Q0 CACM-2266 17 -31.247290441717645 SMOOTHQSystem
51 Q0 CACM-2557 18 -31.272571736474035 SMOOTHQSystem
51 Q0 CACM-2128 19 -31.298026221867325 SMOOTHQSystem
51 Q0 CACM-2373 20 -31.361236175293456 SMOOTHQSystem
51 Q0 CACM-2433 21 -31.362480563147106 SMOOTHQSystem
51 Q0 CACM-2289 22 -31.45964971675875 SMOOTHQSystem
51 Q0 CACM-1810 23 -31.49127430828689 SMOOTHQSystem
51 Q0 CACM-3153 24 -31.531455630877733 SMOOTHQSystem
51 Q0 CACM-1957 25 -31.67915459863243 SMOOTHQSystem
51 Q0 CACM-2579 26 -31.748155712628954 SMOOTHQSystem
51 Q0 CACM-2114 27 -31.91571822815007 SMOOTHQSystem
51 Q0 CACM-0082 28 -31.973042973686834 SMOOTHQSystem
51 Q0 CACM-0371 29 -31.984481833740244 SMOOTHQSystem
51 Q0 CACM-1468 30 -32.00598402455572 SMOOTHQSystem
51 Q0 CACM-1728 31 -32.15834284561084 SMOOTHQSystem
51 Q0 CACM-0950 32 -32.202678403325564 SMOOTHQSystem
51 Q0 CACM-2838 33 -32.23964161512581 SMOOTHQSystem
51 Q0 CACM-2522 34 -32.2670000271467 SMOOTHQSystem
51 Q0 CACM-3152 35 -32.31381425131283 SMOOTHQSystem
51 Q0 CACM-2645 36 -32.31646074502183 SMOOTHQSystem
51 Q0 CACM-1158 37 -32.35546776316924 SMOOTHQSystem
51 Q0 CACM-2498 38 -32.40946163901307 SMOOTHQSystem
51 Q0 CACM-3073 39 -32.49269771864652 SMOOTHQSystem
51 Q0 CACM-0303 40 -32.594709629987506 SMOOTHQSystem
51 Q0 CACM-2692 41 -32.772071500924525 SMOOTHQSystem
51 Q0 CACM-1795 42 -32.82745208680346 SMOOTHQSystem
51 Q0 CACM-1753 43 -32.884574839187124 SMOOTHQSystem
51 Q0 CACM-2085 44 -32.909461063598734 SMOOTHQSystem
51 Q0 CACM-2022 45 -32.909461063598734 SMOOTHQSystem
51 Q0 CACM-2277 46 -32.925751831057966 SMOOTHQSystem
51 Q0 CACM-1825 47 -32.94756106887584 SMOOTHQSystem
51 Q0 CACM-1262 48 -32.95934895230463 SMOOTHQSystem
51 Q0 CACM-2685 49 -33.00723226651399 SMOOTHQSystem
51 Q0 CACM-1324 50 -33.00989023399931 SMOOTHQSystem
51 Q0 CACM-1665 51 -33.032232803892136 SMOOTHQSystem
51 Q0 CACM-1684 52 -33.061696273335436 SMOOTHQSystem
51 Q0 CACM-1569 53 -33.154701309169226 SMOOTHQSystem
51 Q0 CACM-3070 54 -33.179048196690715 SMOOTHQSystem
51 Q0 CACM-2325 55 -33.18705510464989 SMOOTHQSystem
51 Q0 CACM-2069 56 -33.25142913154092 SMOOTHQSystem
51 Q0 CACM-2017 57 -33.28157352884254 SMOOTHQSystem
51 Q0 CACM-2417 58 -33.31420794638161 SMOOTHQSystem
51 Q0 CACM-2896 59 -33.337052265213444 SMOOTHQSystem
51 Q0 CACM-2667 60 -33.34229011284798 SMOOTHQSystem
51 Q0 CACM-1988 61 -33.36698508110835 SMOOTHQSystem
51 Q0 CACM-2669 62 -33.37043704064603 SMOOTHQSystem
51 Q0 CACM-2785 63 -33.374959713900836 SMOOTHQSystem
51 Q0 CACM-0763 64 -33.41025013989765 SMOOTHQSystem
51 Q0 CACM-3059 65 -33.41180715599924 SMOOTHQSystem
51 Q0 CACM-2741 66 -33.42759411620565 SMOOTHQSystem
51 Q0 CACM-2080 67 -33.437351640968615 SMOOTHQSystem
51 Q0 CACM-3088 68 -33.44229570002149 SMOOTHQSystem
51 Q0 CACM-1884 69 -33.446848887291495 SMOOTHQSystem
51 Q0 CACM-2342 70 -33.455354800484365 SMOOTHQSystem
51 Q0 CACM-1964 71 -33.45634135071544 SMOOTHQSystem
51 Q0 CACM-2016 72 -33.49277706684484 SMOOTHQSystem
51 Q0 CACM-2401 73 -33.542263866204244 SMOOTHQSystem
51 Q0 CACM-2700 74 -33.54766063183881 SMOOTHQSystem
51 Q0 CACM-1680 75 -33.55249815938664 SMOOTHQSystem
51 Q0 CACM-2297 76 -33.5760904801761 SMOOTHQSystem
51 Q0 CACM-1554 77 -33.66235942224537 SMOOTHQSystem
51 Q0 CACM-0320 78 -33.67418639262483 SMOOTHQSystem
51 Q0 CACM-2872 79 -33.69166696065011 SMOOTHQSystem
51 Q0 CACM-2380 80 -33.69720163813048 SMOOTHQSystem
51 Q0 CACM-3028 81 -33.698072748278264 SMOOTHQSystem
51 Q0 CACM-2668 82 -33.70169879955116 SMOOTHQSystem
51 Q0 CACM-2272 83 -33.71046601926907 SMOOTHQSystem
51 Q0 CACM-2505 84 -33.74174133709373 SMOOTHQSystem
51 Q0 CACM-0141 85 -33.75216359450154 SMOOTHQSystem
51 Q0 CACM-2137 86 -33.79441095570896 SMOOTHQSystem
51 Q0 CACM-1658 87 -33.797065867886275 SMOOTHQSystem
51 Q0 CACM-2895 88 -33.81415610337203 SMOOTHQSystem
51 Q0 CACM-1570 89 -33.81557209635502 SMOOTHQSystem
51 Q0 CACM-0409 90 -33.81699195804873 SMOOTHQSystem
51 Q0 CACM-2236 91 -33.8188644392821 SMOOTHQSystem
51 Q0 CACM-2358 92 -33.8350184140786 SMOOTHQSystem
51 Q0 CACM-1389 93 -33.847714319469354 SMOOTHQSystem
51 Q0 CACM-1302 94 -33.8569284943489 SMOOTHQSystem
51 Q0 CACM-0392 95 -33.8569284943489 SMOOTHQSystem
51 Q0 CACM-1828 96 -33.88439696219063 SMOOTHQSystem
51 Q0 CACM-1471 97 -33.88901335611699 SMOOTHQSystem
51 Q0 CACM-2283 98 -33.89754601857292 SMOOTHQSystem
51 Q0 CACM-2166 99 -33.9089852280049 SMOOTHQSystem
51 Q0 CACM-2262 100 -33.913194070241424 SMOOTHQSystem
