modelling and simulation in agricultural ecosystems
52 Q0 CACM-2721 1 -15.646243931576922 SMOOTHQSystem
52 Q0 CACM-1928 2 -22.554568523400008 SMOOTHQSystem
52 Q0 CACM-1366 3 -23.16322912671539 SMOOTHQSystem
52 Q0 CACM-3070 4 -23.3386308669344 SMOOTHQSystem
52 Q0 CACM-1870 5 -23.430659864603612 SMOOTHQSystem
52 Q0 CACM-1653 6 -23.750175717724694 SMOOTHQSystem
52 Q0 CACM-0605 7 -23.910471266697215 SMOOTHQSystem
52 Q0 CACM-1752 8 -23.9322926224826 SMOOTHQSystem
52 Q0 CACM-1890 9 -24.06251189647963 SMOOTHQSystem
52 Q0 CACM-1329 10 -24.0835800949528 SMOOTHQSystem
52 Q0 CACM-1572 11 -24.109250663381058 SMOOTHQSystem
52 Q0 CACM-2749 12 -24.11003204500658 SMOOTHQSystem
52 Q0 CACM-2767 13 -24.2374234652029 SMOOTHQSystem
52 Q0 CACM-3048 14 -24.254111724117394 SMOOTHQSystem
52 Q0 CACM-1805 15 -24.39206438404497 SMOOTHQSystem
52 Q0 CACM-0633 16 -24.451488380672142 SMOOTHQSystem
52 Q0 CACM-1637 17 -24.483499823485182 SMOOTHQSystem
52 Q0 CACM-2918 18 -24.50246681720833 SMOOTHQSystem
52 Q0 CACM-0238 19 -24.562514498094817 SMOOTHQSystem
52 Q0 CACM-1288 20 -24.58706084301177 SMOOTHQSystem
52 Q0 CACM-2218 21 -24.608901928904036 SMOOTHQSystem
52 Q0 CACM-2798 22 -24.61643349783061 SMOOTHQSystem
52 Q0 CACM-3064 23 -24.62300211359096 SMOOTHQSystem
52 Q0 CACM-2742 24 -24.62369799209317 SMOOTHQSystem
52 Q0 CACM-3051 25 -24.680222303133398 SMOOTHQSystem
52 Q0 CACM-2882 26 -24.710256380639944 SMOOTHQSystem
52 Q0 CACM-1711 27 -24.728964982837695 SMOOTHQSystem
52 Q0 CACM-0643 28 -24.771822546812423 SMOOTHQSystem
52 Q0 CACM-2970 29 -24.778778155053473 SMOOTHQSystem
52 Q0 CACM-1199 30 -24.802254115963013 SMOOTHQSystem
52 Q0 CACM-1427 31 -24.81712382995977 SMOOTHQSystem
52 Q0 CACM-1680 32 -24.856345314755295 SMOOTHQSystem
52 Q0 CACM-0104 33 -24.958273115297633 SMOOTHQSystem
52 Q0 CACM-1912 34 -24.960952149606392 SMOOTHQSystem
52 Q0 CACM-3107 35 -24.994227686744445 SMOOTHQSystem
52 Q0 CACM-2902 36 -25.00813814115033 SMOOTHQSystem
52 Q0 CACM-2829 37 -25.09313947851051 SMOOTHQSystem
52 Q0 CACM-2057 38 -25.105843781757734 SMOOTHQSystem
52 Q0 CACM-2911 39 -25.112340828160825 SMOOTHQSystem
52 Q0 CACM-2344 40 -25.11995897441637 SMOOTHQSystem
52 Q0 CACM-2276 41 -25.199145410251695 SMOOTHQSystem
52 Q0 CACM-2262 42 -25.201725395414176 SMOOTHQSystem
52 Q0 CACM-2261 43 -25.2075590010034 SMOOTHQSystem
52 Q0 CACM-1234 44 -25.210558242105854 SMOOTHQSystem
52 Q0 CACM-2936 45 -25.266976256507533 SMOOTHQSystem
52 Q0 CACM-1728 46 -25.29978045643803 SMOOTHQSystem
52 Q0 CACM-2955 47 -25.31637890652965 SMOOTHQSystem
52 Q0 CACM-2734 48 -25.316764841882808 SMOOTHQSystem
52 Q0 CACM-2967 49 -25.35977732967168 SMOOTHQSystem
52 Q0 CACM-1253 50 -25.36333881357724 SMOOTHQSystem
52 Q0 CACM-1674 51 -25.474364884546624 SMOOTHQSystem
