code optim for space effici
2 Q0 CACM-2748 1 11.773549137261018 BM25System
2 Q0 CACM-2530 2 11.72880791563162 BM25System
2 Q0 CACM-2491 3 11.57596399945756 BM25System
2 Q0 CACM-1947 4 10.952578325960584 BM25System
2 Q0 CACM-2559 5 10.124775414859643 BM25System
2 Q0 CACM-2897 6 10.0731629869141 BM25System
2 Q0 CACM-1795 7 9.527347670957576 BM25System
2 Q0 CACM-2033 8 9.4662501029291 BM25System
2 Q0 CACM-2495 9 9.400092538571673 BM25System
2 Q0 CACM-2856 10 8.783061682648706 BM25System
2 Q0 CACM-2863 11 8.586011799377435 BM25System
2 Q0 CACM-2680 12 8.54392996649101 BM25System
2 Q0 CACM-1886 13 8.433281131268151 BM25System
2 Q0 CACM-1807 14 8.300948383190624 BM25System
2 Q0 CACM-2716 15 8.105893512526288 BM25System
2 Q0 CACM-3080 16 8.099114959208642 BM25System
2 Q0 CACM-2701 17 8.050191151085048 BM25System
2 Q0 CACM-3005 18 7.883818415139117 BM25System
2 Q0 CACM-2537 19 7.82407219905262 BM25System
2 Q0 CACM-2801 20 7.7726757041499654 BM25System
2 Q0 CACM-1223 21 7.73481262251282 BM25System
2 Q0 CACM-3129 22 7.726002155626276 BM25System
2 Q0 CACM-3033 23 7.69457349886687 BM25System
2 Q0 CACM-2586 24 7.693156242785209 BM25System
2 Q0 CACM-2834 25 7.565688610865679 BM25System
2 Q0 CACM-2598 26 7.545910235729908 BM25System
2 Q0 CACM-1901 27 7.544097933558389 BM25System
2 Q0 CACM-3113 28 7.414215856881418 BM25System
2 Q0 CACM-2944 29 7.3710102268791955 BM25System
2 Q0 CACM-2648 30 7.299733332863164 BM25System
2 Q0 CACM-2929 31 7.28762185898269 BM25System
2 Q0 CACM-0405 32 7.256157295716368 BM25System
2 Q0 CACM-3099 33 7.205687707106882 BM25System
2 Q0 CACM-1973 34 6.75850856610861 BM25System
2 Q0 CACM-2816 35 6.749684077756203 BM25System
2 Q0 CACM-3106 36 6.73621735622294 BM25System
2 Q0 CACM-2904 37 6.725394493652639 BM25System
2 Q0 CACM-3054 38 6.709359237770893 BM25System
2 Q0 CACM-2819 39 6.628799353222771 BM25System
2 Q0 CACM-1195 40 6.623631081280923 BM25System
2 Q0 CACM-3103 41 6.486273358451821 BM25System
2 Q0 CACM-2885 42 6.473309161209392 BM25System
2 Q0 CACM-1542 43 6.467005983342719 BM25System
2 Q0 CACM-3171 44 6.444347180835813 BM25System
2 Q0 CACM-2253 45 6.31736290147818 BM25System
2 Q0 CACM-2623 46 6.2372135367674995 BM25System
2 Q0 CACM-2490 47 6.1966221452051435 BM25System
2 Q0 CACM-1235 48 6.076573261756176 BM25System
2 Q0 CACM-2855 49 6.056662158247059 BM25System
2 Q0 CACM-1552 50 5.974353710597946 BM25System
2 Q0 CACM-0124 51 5.95538763662066 BM25System
2 Q0 CACM-0940 52 5.934818030357247 BM25System
2 Q0 CACM-0867 53 5.8370996529544374 BM25System
2 Q0 CACM-3057 54 5.823659857246229 BM25System
2 Q0 CACM-1564 55 5.793984788364435 BM25System
2 Q0 CACM-3053 56 5.764937937810772 BM25System
2 Q0 CACM-2220 57 5.7304118037210525 BM25System
2 Q0 CACM-1694 58 5.730155259270351 BM25System
2 Q0 CACM-2858 59 5.6478799633172505 BM25System
2 Q0 CACM-2711 60 5.623937935222903 BM25System
2 Q0 CACM-2423 61 5.538190691269986 BM25System
2 Q0 CACM-3072 62 5.513511491877761 BM25System
2 Q0 CACM-2078 63 5.504578582082373 BM25System
2 Q0 CACM-1066 64 5.468811925005831 BM25System
2 Q0 CACM-2464 65 5.459834147736867 BM25System
