parallel processor in inform retriev
7 Q0 CACM-1811 1 12.255497923006834 BM25System
7 Q0 CACM-1613 2 10.679478354434588 BM25System
7 Q0 CACM-2714 3 10.655249373364823 BM25System
7 Q0 CACM-2973 4 10.57606613906898 BM25System
7 Q0 CACM-3156 5 10.376261286348175 BM25System
7 Q0 CACM-2664 6 10.359265969563964 BM25System
7 Q0 CACM-3075 7 10.35239253648492 BM25System
7 Q0 CACM-2967 8 9.809090060083708 BM25System
7 Q0 CACM-2114 9 9.031753487271246 BM25System
7 Q0 CACM-2288 10 8.989091544118502 BM25System
7 Q0 CACM-2278 11 8.952538449432145 BM25System
7 Q0 CACM-0891 12 8.91739955134205 BM25System
7 Q0 CACM-1699 13 8.869947406455081 BM25System
7 Q0 CACM-1457 14 8.819672465009617 BM25System
7 Q0 CACM-3134 15 8.803443435979059 BM25System
7 Q0 CACM-2838 16 8.650239410557559 BM25System
7 Q0 CACM-2723 17 8.491508049507363 BM25System
7 Q0 CACM-1927 18 8.455572420106725 BM25System
7 Q0 CACM-2175 19 8.364634047535667 BM25System
7 Q0 CACM-1681 20 8.281391748177386 BM25System
7 Q0 CACM-1032 21 8.1743692649695 BM25System
7 Q0 CACM-0634 22 8.053299043499436 BM25System
7 Q0 CACM-2497 23 7.915950672437423 BM25System
7 Q0 CACM-1830 24 7.900202603792527 BM25System
7 Q0 CACM-0651 25 7.571063809055253 BM25System
7 Q0 CACM-0275 26 7.571063809055253 BM25System
7 Q0 CACM-2990 27 7.563742959085412 BM25System
7 Q0 CACM-2070 28 7.514660665638543 BM25System
7 Q0 CACM-0657 29 7.514660665638543 BM25System
7 Q0 CACM-2516 30 7.486318805230724 BM25System
7 Q0 CACM-1601 31 7.421678589904406 BM25System
7 Q0 CACM-1935 32 7.391221152578079 BM25System
7 Q0 CACM-3012 33 7.368864273344571 BM25System
7 Q0 CACM-2140 34 7.321773082197391 BM25System
7 Q0 CACM-2631 35 7.313633487132956 BM25System
7 Q0 CACM-0239 36 7.244798071072199 BM25System
7 Q0 CACM-2530 37 7.123427876748301 BM25System
7 Q0 CACM-0292 38 7.09198779952157 BM25System
7 Q0 CACM-2307 39 7.064846475163668 BM25System
7 Q0 CACM-2532 40 7.0424735464687025 BM25System
7 Q0 CACM-2976 41 7.027959556074951 BM25System
7 Q0 CACM-2965 42 7.027959556074951 BM25System
7 Q0 CACM-2882 43 7.005598735435482 BM25System
7 Q0 CACM-2570 44 7.004725449670626 BM25System
7 Q0 CACM-1831 45 6.945490643780775 BM25System
7 Q0 CACM-1680 46 6.944682132646829 BM25System
7 Q0 CACM-3168 47 6.935016330652433 BM25System
7 Q0 CACM-3169 48 6.8894605275956025 BM25System
7 Q0 CACM-1514 49 6.812759793222926 BM25System
7 Q0 CACM-1846 50 6.771302080115745 BM25System
7 Q0 CACM-2552 51 6.759323439034145 BM25System
7 Q0 CACM-2781 52 6.714330643286713 BM25System
7 Q0 CACM-2865 53 6.613827346462312 BM25System
7 Q0 CACM-2519 54 6.509507295712652 BM25System
7 Q0 CACM-2412 55 6.498061975386927 BM25System
7 Q0 CACM-2645 56 6.475641752544112 BM25System
7 Q0 CACM-1937 57 6.441168987085848 BM25System
7 Q0 CACM-1825 58 6.402749521345024 BM25System
7 Q0 CACM-1236 59 6.364250423469258 BM25System
7 Q0 CACM-2455 60 6.317107159324147 BM25System
7 Q0 CACM-1747 61 6.278555630855223 BM25System
7 Q0 CACM-2342 62 6.270376569311965 BM25System
7 Q0 CACM-1262 63 6.230092014802053 BM25System
7 Q0 CACM-1359 64 6.114996834111917 BM25System
7 Q0 CACM-2388 65 6.103256514087578 BM25System
7 Q0 CACM-1725 66 6.059654848225466 BM25System
7 Q0 CACM-2561 67 6.005537960262942 BM25System
7 Q0 CACM-2160 68 5.978152125824257 BM25System
7 Q0 CACM-1788 69 5.9763000869225 BM25System
7 Q0 CACM-1959 70 5.976281822026623 BM25System
7 Q0 CACM-1527 71 5.9741777192965735 BM25System
7 Q0 CACM-2785 72 5.973228230542993 BM25System
7 Q0 CACM-2896 73 5.958989083406917 BM25System
7 Q0 CACM-2685 74 5.955877875403017 BM25System
7 Q0 CACM-2711 75 5.937007558161856 BM25System
7 Q0 CACM-0950 76 5.935711204502776 BM25System
7 Q0 CACM-0082 77 5.913414721624775 BM25System
7 Q0 CACM-1828 78 5.859354091133511 BM25System
7 Q0 CACM-1742 79 5.852245018186083 BM25System
7 Q0 CACM-2139 80 5.8411206933485165 BM25System
7 Q0 CACM-2433 81 5.8201658780160015 BM25System
7 Q0 CACM-2311 82 5.792156952032776 BM25System
7 Q0 CACM-1675 83 5.787032730373366 BM25System
7 Q0 CACM-2700 84 5.756774423265832 BM25System
7 Q0 CACM-2846 85 5.728262398286146 BM25System
7 Q0 CACM-1665 86 5.7198520858504125 BM25System
7 Q0 CACM-0655 87 5.691447044049626 BM25System
7 Q0 CACM-1627 88 5.6744249174060295 BM25System
7 Q0 CACM-1158 89 5.6666020792381095 BM25System
7 Q0 CACM-2947 90 5.663945955097148 BM25System
7 Q0 CACM-2543 91 5.654759926698 BM25System
7 Q0 CACM-1652 92 5.596409519748346 BM25System
7 Q0 CACM-2493 93 5.571822814176317 BM25System
7 Q0 CACM-2266 94 5.542313992205855 BM25System
7 Q0 CACM-1976 95 5.504324697445093 BM25System
7 Q0 CACM-1929 96 5.4796449336219 BM25System
7 Q0 CACM-1988 97 5.435163681860522 BM25System
7 Q0 CACM-2832 98 5.420643263581361 BM25System
7 Q0 CACM-2202 99 5.395725169971426 BM25System
7 Q0 CACM-2032 100 5.372045565652575 BM25System
