code optim for space effici
2 Q0 CACM-2530 1 -23.593427677800797 SMOOTHQSystem
2 Q0 CACM-2748 2 -23.717766554002544 SMOOTHQSystem
2 Q0 CACM-2491 3 -25.402759432081467 SMOOTHQSystem
2 Q0 CACM-2559 4 -25.71524348692035 SMOOTHQSystem
2 Q0 CACM-1795 5 -26.263460305489232 SMOOTHQSystem
2 Q0 CACM-2856 6 -26.443662184214933 SMOOTHQSystem
2 Q0 CACM-1947 7 -26.462828463921767 SMOOTHQSystem
2 Q0 CACM-2495 8 -26.924977413698038 SMOOTHQSystem
2 Q0 CACM-2716 9 -26.99277245699295 SMOOTHQSystem
2 Q0 CACM-3005 10 -27.017388293818723 SMOOTHQSystem
2 Q0 CACM-2033 11 -27.141949177492677 SMOOTHQSystem
2 Q0 CACM-2897 12 -27.268498283438312 SMOOTHQSystem
2 Q0 CACM-3106 13 -27.339745953693054 SMOOTHQSystem
2 Q0 CACM-2701 14 -27.349559816752958 SMOOTHQSystem
2 Q0 CACM-2586 15 -27.538608881356446 SMOOTHQSystem
2 Q0 CACM-3103 16 -27.57775996313061 SMOOTHQSystem
2 Q0 CACM-1886 17 -27.579331180724267 SMOOTHQSystem
2 Q0 CACM-2680 18 -27.941611735119828 SMOOTHQSystem
2 Q0 CACM-2598 19 -28.16446214158049 SMOOTHQSystem
2 Q0 CACM-0405 20 -28.217997784041373 SMOOTHQSystem
2 Q0 CACM-3129 21 -28.254516784319385 SMOOTHQSystem
2 Q0 CACM-2863 22 -28.35774026813104 SMOOTHQSystem
2 Q0 CACM-1807 23 -28.38692375073087 SMOOTHQSystem
2 Q0 CACM-1542 24 -28.45199769486971 SMOOTHQSystem
2 Q0 CACM-2801 25 -28.61320114438033 SMOOTHQSystem
2 Q0 CACM-2490 26 -28.640429172441934 SMOOTHQSystem
2 Q0 CACM-1223 27 -28.648164995739563 SMOOTHQSystem
2 Q0 CACM-2537 28 -28.655725771018965 SMOOTHQSystem
2 Q0 CACM-3171 29 -28.675280517701985 SMOOTHQSystem
2 Q0 CACM-2885 30 -28.790815566794606 SMOOTHQSystem
2 Q0 CACM-0124 31 -28.82469315552793 SMOOTHQSystem
2 Q0 CACM-3099 32 -28.843426838654516 SMOOTHQSystem
2 Q0 CACM-1195 33 -28.84721268996367 SMOOTHQSystem
2 Q0 CACM-3113 34 -28.871356437411748 SMOOTHQSystem
