parallel processor in inform retriev
7 Q0 CACM-2967 1 -25.57262925358056 SMOOTHQSystem
7 Q0 CACM-1811 2 -26.50439053025581 SMOOTHQSystem
7 Q0 CACM-0634 3 -26.584212386444854 SMOOTHQSystem
7 Q0 CACM-2664 4 -26.748776728561126 SMOOTHQSystem
7 Q0 CACM-2973 5 -27.201126811507052 SMOOTHQSystem
7 Q0 CACM-2714 6 -27.394273887377715 SMOOTHQSystem
7 Q0 CACM-3075 7 -27.505383646808433 SMOOTHQSystem
7 Q0 CACM-1927 8 -27.58346349851951 SMOOTHQSystem
7 Q0 CACM-1457 9 -27.648857021337456 SMOOTHQSystem
7 Q0 CACM-3156 10 -27.83927914219855 SMOOTHQSystem
7 Q0 CACM-2175 11 -27.906897608167682 SMOOTHQSystem
7 Q0 CACM-2114 12 -28.07200420543043 SMOOTHQSystem
7 Q0 CACM-2278 13 -28.25697193152484 SMOOTHQSystem
7 Q0 CACM-1613 14 -28.312735789821573 SMOOTHQSystem
7 Q0 CACM-2530 15 -28.365815708677538 SMOOTHQSystem
7 Q0 CACM-0891 16 -28.373115955523538 SMOOTHQSystem
7 Q0 CACM-2288 17 -28.40521804075444 SMOOTHQSystem
7 Q0 CACM-2976 18 -28.512808518262936 SMOOTHQSystem
7 Q0 CACM-2965 19 -28.512808518262936 SMOOTHQSystem
7 Q0 CACM-1699 20 -28.529068689294146 SMOOTHQSystem
7 Q0 CACM-2497 21 -28.636104525619707 SMOOTHQSystem
7 Q0 CACM-3168 22 -28.651624510437586 SMOOTHQSystem
7 Q0 CACM-2838 23 -28.71120761135719 SMOOTHQSystem
7 Q0 CACM-3169 24 -28.71822374743823 SMOOTHQSystem
7 Q0 CACM-1601 25 -28.84343504644947 SMOOTHQSystem
7 Q0 CACM-2990 26 -28.852099786322206 SMOOTHQSystem
7 Q0 CACM-1935 27 -28.877246291836983 SMOOTHQSystem
7 Q0 CACM-2570 28 -28.87821584080185 SMOOTHQSystem
7 Q0 CACM-0651 29 -28.94345807028543 SMOOTHQSystem
7 Q0 CACM-0275 30 -28.94345807028543 SMOOTHQSystem
7 Q0 CACM-1032 31 -29.003023350393626 SMOOTHQSystem
7 Q0 CACM-1681 32 -29.009062262414155 SMOOTHQSystem
7 Q0 CACM-2070 33 -29.03066075720175 SMOOTHQSystem
7 Q0 CACM-0657 34 -29.03066075720175 SMOOTHQSystem
7 Q0 CACM-1680 35 -29.049675790240023 SMOOTHQSystem
7 Q0 CACM-3134 36 -29.214757203871443 SMOOTHQSystem
7 Q0 CACM-1830 37 -29.222225378988107 SMOOTHQSystem
7 Q0 CACM-3012 38 -29.242574463344766 SMOOTHQSystem
7 Q0 CACM-2519 39 -29.267076142854567 SMOOTHQSystem
7 Q0 CACM-2140 40 -29.2838021594378 SMOOTHQSystem
7 Q0 CACM-0239 41 -29.415600765780876 SMOOTHQSystem
7 Q0 CACM-2723 42 -29.43384626521091 SMOOTHQSystem
7 Q0 CACM-2307 43 -29.46640913796494 SMOOTHQSystem
7 Q0 CACM-2882 44 -29.52372865524149 SMOOTHQSystem
7 Q0 CACM-2631 45 -29.541460011045395 SMOOTHQSystem
7 Q0 CACM-2516 46 -29.582053866960027 SMOOTHQSystem
7 Q0 CACM-0292 47 -29.61409658358075 SMOOTHQSystem
7 Q0 CACM-1359 48 -29.659129897114703 SMOOTHQSystem
7 Q0 CACM-1846 49 -29.66270782744766 SMOOTHQSystem
7 Q0 CACM-2532 50 -29.675907234294794 SMOOTHQSystem
7 Q0 CACM-1959 51 -29.74067668127197 SMOOTHQSystem
7 Q0 CACM-1831 52 -29.793787634295274 SMOOTHQSystem
7 Q0 CACM-2865 53 -29.863009129834133 SMOOTHQSystem
7 Q0 CACM-1527 54 -29.935040266240794 SMOOTHQSystem
7 Q0 CACM-1937 55 -29.96211952688385 SMOOTHQSystem
7 Q0 CACM-2552 56 -30.009519725115418 SMOOTHQSystem
7 Q0 CACM-1236 57 -30.01442788732512 SMOOTHQSystem
7 Q0 CACM-2781 58 -30.059794741292396 SMOOTHQSystem
7 Q0 CACM-2388 59 -30.085777520321297 SMOOTHQSystem
7 Q0 CACM-1675 60 -30.119942019096392 SMOOTHQSystem
7 Q0 CACM-3135 61 -30.20810482124901 SMOOTHQSystem
7 Q0 CACM-2846 62 -30.25142537264152 SMOOTHQSystem
7 Q0 CACM-0440 63 -30.25785288248791 SMOOTHQSystem
7 Q0 CACM-2711 64 -30.261165195971543 SMOOTHQSystem
7 Q0 CACM-1929 65 -30.27245770314138 SMOOTHQSystem
7 Q0 CACM-2412 66 -30.292693813700673 SMOOTHQSystem
7 Q0 CACM-1652 67 -30.29930976079107 SMOOTHQSystem
7 Q0 CACM-0082 68 -30.323326514491683 SMOOTHQSystem
7 Q0 CACM-2493 69 -30.360394607744183 SMOOTHQSystem
7 Q0 CACM-2947 70 -30.366076462189476 SMOOTHQSystem
7 Q0 CACM-2795 71 -30.395167351276285 SMOOTHQSystem
7 Q0 CACM-2561 72 -30.419974852175827 SMOOTHQSystem
7 Q0 CACM-2160 73 -30.42414314302353 SMOOTHQSystem
7 Q0 CACM-2645 74 -30.52496772119175 SMOOTHQSystem
7 Q0 CACM-1725 75 -30.539022319181804 SMOOTHQSystem
7 Q0 CACM-1976 76 -30.55489535462182 SMOOTHQSystem
7 Q0 CACM-2451 77 -30.565775473437284 SMOOTHQSystem
7 Q0 CACM-2032 78 -30.5771456189261 SMOOTHQSystem
7 Q0 CACM-2342 79 -30.579535979225277 SMOOTHQSystem
7 Q0 CACM-1514 80 -30.584930696528602 SMOOTHQSystem
7 Q0 CACM-2455 81 -30.59316462470093 SMOOTHQSystem
7 Q0 CACM-2623 82 -30.64476023764837 SMOOTHQSystem
7 Q0 CACM-2377 83 -30.658754035124893 SMOOTHQSystem
7 Q0 CACM-1367 84 -30.666337657430994 SMOOTHQSystem
7 Q0 CACM-1747 85 -30.708457570473776 SMOOTHQSystem
7 Q0 CACM-1262 86 -30.713403026448276 SMOOTHQSystem
7 Q0 CACM-1711 87 -30.724009197841774 SMOOTHQSystem
7 Q0 CACM-2896 88 -30.729916979634766 SMOOTHQSystem
7 Q0 CACM-1960 89 -30.740671630513283 SMOOTHQSystem
7 Q0 CACM-2484 90 -30.800145726967532 SMOOTHQSystem
7 Q0 CACM-1108 91 -30.812864677535117 SMOOTHQSystem
7 Q0 CACM-2543 92 -30.815924413744543 SMOOTHQSystem
7 Q0 CACM-1194 93 -30.931983605610895 SMOOTHQSystem
7 Q0 CACM-2987 94 -30.938056254215912 SMOOTHQSystem
7 Q0 CACM-2311 95 -31.001064027124563 SMOOTHQSystem
7 Q0 CACM-2139 96 -31.024152330786812 SMOOTHQSystem
7 Q0 CACM-2722 97 -31.0252284943355 SMOOTHQSystem
7 Q0 CACM-1409 98 -31.031845119529223 SMOOTHQSystem
7 Q0 CACM-1456 99 -31.04210627035348 SMOOTHQSystem
7 Q0 CACM-0655 100 -31.067298598277443 SMOOTHQSystem
