distribut comput structur and algorithm
4 Q0 CACM-2914 1 7.25412987479576 BM25System
4 Q0 CACM-2032 2 7.202596632883404 BM25System
4 Q0 CACM-2454 3 7.048347256968482 BM25System
4 Q0 CACM-2276 4 7.042774489789943 BM25System
4 Q0 CACM-1951 5 6.642093685299657 BM25System
4 Q0 CACM-2406 6 6.519512158034357 BM25System
4 Q0 CACM-2849 7 6.445824918678653 BM25System
4 Q0 CACM-2549 8 6.422955662193447 BM25System
4 Q0 CACM-3148 9 6.401570550883405 BM25System
4 Q0 CACM-2949 10 6.398520823599736 BM25System
4 Q0 CACM-1778 11 6.373904347454278 BM25System
4 Q0 CACM-1941 12 6.3295375302135 BM25System
4 Q0 CACM-1733 13 6.3295375302135 BM25System
4 Q0 CACM-1944 14 6.200350354108004 BM25System
4 Q0 CACM-3135 15 6.195787627891106 BM25System
4 Q0 CACM-3082 16 6.19411083475003 BM25System
4 Q0 CACM-1894 17 6.1585390483322495 BM25System
4 Q0 CACM-1716 18 6.137859436731627 BM25System
4 Q0 CACM-2926 19 6.121757663396577 BM25System
4 Q0 CACM-2090 20 6.116707571035095 BM25System
4 Q0 CACM-3137 21 5.998001024496286 BM25System
4 Q0 CACM-2212 22 5.973415254768471 BM25System
4 Q0 CACM-2649 23 5.930787095287805 BM25System
4 Q0 CACM-2427 24 5.930766801330694 BM25System
4 Q0 CACM-0241 25 5.903158291033597 BM25System
4 Q0 CACM-2261 26 5.881623079380427 BM25System
4 Q0 CACM-2123 27 5.795131936289471 BM25System
4 Q0 CACM-1987 28 5.742638679136943 BM25System
4 Q0 CACM-2565 29 5.716754975221974 BM25System
4 Q0 CACM-2250 30 5.712692906475388 BM25System
4 Q0 CACM-2098 31 5.707826039444965 BM25System
4 Q0 CACM-2259 32 5.691108644881653 BM25System
4 Q0 CACM-1714 33 5.691108644881653 BM25System
4 Q0 CACM-3084 34 5.678906242309442 BM25System
4 Q0 CACM-2216 35 5.663811575164665 BM25System
4 Q0 CACM-2057 36 5.6155607372311485 BM25System
4 Q0 CACM-2349 37 5.566322654442851 BM25System
