distribut comput structur and algorithm
4 Q0 CACM-2454 1 -22.524073290881244 SMOOTHQSystem
4 Q0 CACM-2276 2 -22.909810544709504 SMOOTHQSystem
4 Q0 CACM-2406 3 -23.378876156795993 SMOOTHQSystem
4 Q0 CACM-2032 4 -23.43551256775232 SMOOTHQSystem
4 Q0 CACM-2004 5 -23.593264861788356 SMOOTHQSystem
4 Q0 CACM-2250 6 -23.677464488047676 SMOOTHQSystem
4 Q0 CACM-3082 7 -23.724535816834948 SMOOTHQSystem
4 Q0 CACM-2969 8 -23.923633795084072 SMOOTHQSystem
4 Q0 CACM-2090 9 -24.103105142231115 SMOOTHQSystem
4 Q0 CACM-3148 10 -24.119327791663007 SMOOTHQSystem
4 Q0 CACM-2949 11 -24.13952783063602 SMOOTHQSystem
4 Q0 CACM-1778 12 -24.23257794863201 SMOOTHQSystem
4 Q0 CACM-3131 13 -24.260039987961623 SMOOTHQSystem
4 Q0 CACM-2767 14 -24.26742307901589 SMOOTHQSystem
4 Q0 CACM-2914 15 -24.28278346103676 SMOOTHQSystem
4 Q0 CACM-1941 16 -24.362415885560537 SMOOTHQSystem
4 Q0 CACM-1733 17 -24.362415885560537 SMOOTHQSystem
4 Q0 CACM-3135 18 -24.44330303149841 SMOOTHQSystem
4 Q0 CACM-0711 19 -24.48295913519985 SMOOTHQSystem
4 Q0 CACM-2427 20 -24.567061457137733 SMOOTHQSystem
4 Q0 CACM-2216 21 -24.579855180085215 SMOOTHQSystem
4 Q0 CACM-1081 22 -24.58650811146716 SMOOTHQSystem
4 Q0 CACM-2549 23 -24.611983454599944 SMOOTHQSystem
4 Q0 CACM-2936 24 -24.657236307882297 SMOOTHQSystem
4 Q0 CACM-2098 25 -24.68452597413953 SMOOTHQSystem
4 Q0 CACM-1944 26 -24.702974867755024 SMOOTHQSystem
4 Q0 CACM-1894 27 -24.803198007046507 SMOOTHQSystem
4 Q0 CACM-0758 28 -24.809297288041225 SMOOTHQSystem
4 Q0 CACM-1716 29 -24.85121472303174 SMOOTHQSystem
4 Q0 CACM-1072 30 -24.857443026109728 SMOOTHQSystem
4 Q0 CACM-2123 31 -24.886096613445563 SMOOTHQSystem
4 Q0 CACM-1431 32 -24.896833486793167 SMOOTHQSystem
4 Q0 CACM-2849 33 -24.899960258148198 SMOOTHQSystem
4 Q0 CACM-1951 34 -24.91864330946539 SMOOTHQSystem
4 Q0 CACM-2926 35 -24.932869308076803 SMOOTHQSystem
4 Q0 CACM-2954 36 -24.934918360719497 SMOOTHQSystem
4 Q0 CACM-1918 37 -24.950442797932794 SMOOTHQSystem
4 Q0 CACM-1583 38 -24.950442797932794 SMOOTHQSystem
4 Q0 CACM-1157 39 -24.950442797932794 SMOOTHQSystem
4 Q0 CACM-1987 40 -24.999146010172154 SMOOTHQSystem
4 Q0 CACM-2481 41 -25.010677678674124 SMOOTHQSystem
4 Q0 CACM-1153 42 -25.045361070882738 SMOOTHQSystem
4 Q0 CACM-2081 43 -25.048169405430578 SMOOTHQSystem
4 Q0 CACM-2325 44 -25.051245914262797 SMOOTHQSystem
4 Q0 CACM-2565 45 -25.053043270483446 SMOOTHQSystem
4 Q0 CACM-2828 46 -25.100102119919303 SMOOTHQSystem
4 Q0 CACM-2259 47 -25.105321802069895 SMOOTHQSystem
4 Q0 CACM-1714 48 -25.105321802069895 SMOOTHQSystem
4 Q0 CACM-1604 49 -25.10988811007172 SMOOTHQSystem
4 Q0 CACM-0241 50 -25.122276838246748 SMOOTHQSystem
4 Q0 CACM-2453 51 -25.134690671749485 SMOOTHQSystem
4 Q0 CACM-2402 52 -25.17223215097982 SMOOTHQSystem
4 Q0 CACM-1584 53 -25.182186343488 SMOOTHQSystem
4 Q0 CACM-3072 54 -25.200463784078014 SMOOTHQSystem
4 Q0 CACM-1745 55 -25.236881530136117 SMOOTHQSystem
4 Q0 CACM-2057 56 -25.253304002062247 SMOOTHQSystem
4 Q0 CACM-3165 57 -25.26607934802212 SMOOTHQSystem
4 Q0 CACM-3032 58 -25.2720820812421 SMOOTHQSystem
