parallel processor in inform retriev
7 Q0 CACM-2278 1 0.35197337153953234 TFIDFSystem
7 Q0 CACM-0634 2 0.33220830918484656 TFIDFSystem
7 Q0 CACM-1811 3 0.32339574647873537 TFIDFSystem
7 Q0 CACM-2288 4 0.28725894793958096 TFIDFSystem
7 Q0 CACM-2664 5 0.28700356941806704 TFIDFSystem
7 Q0 CACM-1927 6 0.26566194909219715 TFIDFSystem
7 Q0 CACM-0651 7 0.2503013597202012 TFIDFSystem
7 Q0 CACM-0275 8 0.2503013597202012 TFIDFSystem
7 Q0 CACM-1830 9 0.24032032046876306 TFIDFSystem
7 Q0 CACM-2070 10 0.23941869190627935 TFIDFSystem
7 Q0 CACM-0657 11 0.23941869190627935 TFIDFSystem
7 Q0 CACM-0891 12 0.2361522658097855 TFIDFSystem
7 Q0 CACM-1457 13 0.23007966490718096 TFIDFSystem
7 Q0 CACM-2973 14 0.2236609233132022 TFIDFSystem
7 Q0 CACM-2714 15 0.2170029463441868 TFIDFSystem
7 Q0 CACM-3134 16 0.21644517295092253 TFIDFSystem
7 Q0 CACM-1699 17 0.21323040963783313 TFIDFSystem
7 Q0 CACM-1613 18 0.21171546687797474 TFIDFSystem
7 Q0 CACM-0239 19 0.19666535406587232 TFIDFSystem
7 Q0 CACM-0082 20 0.19658382100455118 TFIDFSystem
7 Q0 CACM-0141 21 0.19554981481571884 TFIDFSystem
7 Q0 CACM-3075 22 0.1904066080777058 TFIDFSystem
7 Q0 CACM-3156 23 0.19004242867473217 TFIDFSystem
7 Q0 CACM-1746 24 0.18900418838594676 TFIDFSystem
7 Q0 CACM-1825 25 0.18470771907431352 TFIDFSystem
7 Q0 CACM-2723 26 0.1845079693614497 TFIDFSystem
7 Q0 CACM-0292 27 0.17763322302723952 TFIDFSystem
7 Q0 CACM-1302 28 0.17692602292850754 TFIDFSystem
7 Q0 CACM-0392 29 0.17692602292850754 TFIDFSystem
7 Q0 CACM-2140 30 0.17586511006521358 TFIDFSystem
7 Q0 CACM-2530 31 0.17533216318089123 TFIDFSystem
7 Q0 CACM-1681 32 0.17498349442225478 TFIDFSystem
7 Q0 CACM-2575 33 0.1730519806519451 TFIDFSystem
7 Q0 CACM-2386 34 0.17227657199689247 TFIDFSystem
7 Q0 CACM-2532 35 0.1720821848076383 TFIDFSystem
7 Q0 CACM-2882 36 0.17174443082532054 TFIDFSystem
7 Q0 CACM-1262 37 0.17106702780195654 TFIDFSystem
7 Q0 CACM-2685 38 0.16636327529098469 TFIDFSystem
7 Q0 CACM-2976 39 0.16610415459242328 TFIDFSystem
7 Q0 CACM-2965 40 0.16610415459242328 TFIDFSystem
7 Q0 CACM-0798 41 0.16552113805426552 TFIDFSystem
7 Q0 CACM-0482 42 0.16444581872430647 TFIDFSystem
7 Q0 CACM-1831 43 0.16195970334836546 TFIDFSystem
7 Q0 CACM-1032 44 0.1619100305030969 TFIDFSystem
7 Q0 CACM-1367 45 0.16145623007736845 TFIDFSystem
7 Q0 CACM-3168 46 0.1577989468628021 TFIDFSystem
7 Q0 CACM-2896 47 0.15588877386780403 TFIDFSystem
7 Q0 CACM-2832 48 0.15491919447916477 TFIDFSystem
7 Q0 CACM-1158 49 0.15481027006244408 TFIDFSystem
7 Q0 CACM-3169 50 0.15395019206127036 TFIDFSystem
7 Q0 CACM-1601 51 0.15210677228147565 TFIDFSystem
7 Q0 CACM-0652 52 0.15081220245147806 TFIDFSystem
7 Q0 CACM-2519 53 0.1506202690833153 TFIDFSystem
7 Q0 CACM-2345 54 0.14973289827441977 TFIDFSystem
7 Q0 CACM-2990 55 0.145482425008428 TFIDFSystem
7 Q0 CACM-1935 56 0.145102479873841 TFIDFSystem
7 Q0 CACM-2552 57 0.1449113135222217 TFIDFSystem
7 Q0 CACM-0249 58 0.1447123204773897 TFIDFSystem
7 Q0 CACM-1788 59 0.14189901149183196 TFIDFSystem
7 Q0 CACM-2781 60 0.14119563881652372 TFIDFSystem
7 Q0 CACM-2785 61 0.14114517015011074 TFIDFSystem
7 Q0 CACM-0653 62 0.1410796279892394 TFIDFSystem
7 Q0 CACM-0950 63 0.1393368532903033 TFIDFSystem
7 Q0 CACM-0797 64 0.13892519357725766 TFIDFSystem
7 Q0 CACM-1267 65 0.1372263101410052 TFIDFSystem
7 Q0 CACM-3012 66 0.13593808079357944 TFIDFSystem
7 Q0 CACM-2497 67 0.13527458585861082 TFIDFSystem
7 Q0 CACM-2175 68 0.13491619105275396 TFIDFSystem
7 Q0 CACM-1742 69 0.13401153728577572 TFIDFSystem
7 Q0 CACM-2660 70 0.13269451719638065 TFIDFSystem
7 Q0 CACM-2516 71 0.13225357024580867 TFIDFSystem
7 Q0 CACM-0690 72 0.13196067714504328 TFIDFSystem
7 Q0 CACM-1514 73 0.13107147955451684 TFIDFSystem
7 Q0 CACM-1828 74 0.13055928238885242 TFIDFSystem
7 Q0 CACM-2700 75 0.13036654321047922 TFIDFSystem
7 Q0 CACM-0763 76 0.12920742899766935 TFIDFSystem
7 Q0 CACM-2407 77 0.12857638470452137 TFIDFSystem
7 Q0 CACM-0406 78 0.12637531350292575 TFIDFSystem
7 Q0 CACM-1745 79 0.12599134692381236 TFIDFSystem
7 Q0 CACM-1251 80 0.125654194143055 TFIDFSystem
7 Q0 CACM-2412 81 0.1251506798601006 TFIDFSystem
7 Q0 CACM-2631 82 0.12488525816664128 TFIDFSystem
7 Q0 CACM-2838 83 0.12440624831783917 TFIDFSystem
7 Q0 CACM-1289 84 0.1243014889901779 TFIDFSystem
7 Q0 CACM-2114 85 0.12409503713124138 TFIDFSystem
7 Q0 CACM-1516 86 0.12342009494577537 TFIDFSystem
7 Q0 CACM-2433 87 0.12267443270987943 TFIDFSystem
7 Q0 CACM-0626 88 0.12193737293247084 TFIDFSystem
7 Q0 CACM-2182 89 0.11985311230640833 TFIDFSystem
7 Q0 CACM-1971 90 0.11808641454066902 TFIDFSystem
7 Q0 CACM-1508 91 0.11808641454066902 TFIDFSystem
7 Q0 CACM-1064 92 0.11808641454066902 TFIDFSystem
7 Q0 CACM-1665 93 0.11673409374017642 TFIDFSystem
7 Q0 CACM-3126 94 0.1164778378900387 TFIDFSystem
7 Q0 CACM-2293 95 0.1164778378900387 TFIDFSystem
7 Q0 CACM-2307 96 0.11617100382537579 TFIDFSystem
7 Q0 CACM-1795 97 0.11610770254683307 TFIDFSystem
7 Q0 CACM-2479 98 0.11594454391700612 TFIDFSystem
7 Q0 CACM-1988 99 0.11434935740494996 TFIDFSystem
7 Q0 CACM-2852 100 0.11392288674392227 TFIDFSystem
