parallel languages languages for parallel computation
10 Q0 CACM-2785 1 33.988645372969856 BM25System
10 Q0 CACM-2700 2 26.169850927321335 BM25System
10 Q0 CACM-2266 3 24.493476815521213 BM25System
10 Q0 CACM-2685 4 24.406973926427455 BM25System
10 Q0 CACM-2714 5 24.29648556321406 BM25System
10 Q0 CACM-1262 6 24.207248061560243 BM25System
10 Q0 CACM-1795 7 24.147466704879236 BM25System
10 Q0 CACM-2973 8 24.098412705842602 BM25System
10 Q0 CACM-2514 9 23.713756897678277 BM25System
10 Q0 CACM-3075 10 23.461100229566796 BM25System
10 Q0 CACM-2896 11 23.34399357973301 BM25System
10 Q0 CACM-1158 12 23.204914836747182 BM25System
10 Q0 CACM-2895 13 23.03594492909583 BM25System
10 Q0 CACM-0141 14 21.867370210328186 BM25System
10 Q0 CACM-1302 15 21.516247259237073 BM25System
10 Q0 CACM-0392 16 21.516247259237073 BM25System
10 Q0 CACM-3059 17 21.209691183934044 BM25System
10 Q0 CACM-1828 18 21.19056433898615 BM25System
10 Q0 CACM-3156 19 21.079448327793827 BM25System
10 Q0 CACM-2316 20 20.91814756354965 BM25System
10 Q0 CACM-0950 21 20.752983857611614 BM25System
10 Q0 CACM-2603 22 20.398424035612965 BM25System
10 Q0 CACM-2182 23 20.371389935683215 BM25System
10 Q0 CACM-2342 24 19.843874455983908 BM25System
10 Q0 CACM-1468 25 19.637813434339176 BM25System
10 Q0 CACM-2557 26 19.563068956550623 BM25System
10 Q0 CACM-3073 27 19.34221084718682 BM25System
10 Q0 CACM-2865 28 19.307697461427786 BM25System
10 Q0 CACM-2851 29 19.289282523080455 BM25System
10 Q0 CACM-0249 30 19.278490658917043 BM25System
10 Q0 CACM-2401 31 19.16959242945559 BM25System
10 Q0 CACM-1459 32 19.06849251105823 BM25System
10 Q0 CACM-1601 33 18.93229309601257 BM25System
10 Q0 CACM-1098 34 18.702655997835798 BM25System
10 Q0 CACM-1703 35 18.457798282657706 BM25System
10 Q0 CACM-1366 36 18.244368027455508 BM25System
10 Q0 CACM-2175 37 18.01017591537948 BM25System
10 Q0 CACM-2705 38 17.89154597038326 BM25System
10 Q0 CACM-2080 39 17.86751850463251 BM25System
10 Q0 CACM-2195 40 17.7713212076676 BM25System
10 Q0 CACM-2295 41 17.58728411963302 BM25System
10 Q0 CACM-1846 42 17.577062320235513 BM25System
10 Q0 CACM-1569 43 17.452791292452016 BM25System
10 Q0 CACM-2570 44 16.856101994205236 BM25System
10 Q0 CACM-1466 45 16.768761535657266 BM25System
10 Q0 CACM-1678 46 16.68766451794878 BM25System
10 Q0 CACM-1536 47 16.640434573685667 BM25System
10 Q0 CACM-2317 48 16.561363251697756 BM25System
10 Q0 CACM-1138 49 16.49286144996074 BM25System
10 Q0 CACM-1102 50 16.49286144996074 BM25System
10 Q0 CACM-1852 51 16.36972926708899 BM25System
10 Q0 CACM-1142 52 16.35828821062038 BM25System
10 Q0 CACM-3044 53 16.286137954428863 BM25System
10 Q0 CACM-2814 54 16.225893293683324 BM25System
10 Q0 CACM-0463 55 16.225893293683324 BM25System
10 Q0 CACM-2406 56 16.205742340086992 BM25System
10 Q0 CACM-1306 57 16.103930153357606 BM25System
10 Q0 CACM-0651 58 15.9674302353861 BM25System
10 Q0 CACM-3148 59 15.89388181644131 BM25System
10 Q0 CACM-1923 60 15.849307519544572 BM25System
10 Q0 CACM-0920 61 15.841262110822965 BM25System
10 Q0 CACM-0762 62 15.841262110822965 BM25System
10 Q0 CACM-2433 63 15.811872644497269 BM25System
10 Q0 CACM-3150 64 15.790899126244131 BM25System
10 Q0 CACM-0628 65 15.717072213291436 BM25System
10 Q0 CACM-2645 66 15.705103255028531 BM25System
10 Q0 CACM-1485 67 15.405357056961655 BM25System
10 Q0 CACM-2740 68 15.358790986982086 BM25System
10 Q0 CACM-1496 69 15.304834597056372 BM25System
10 Q0 CACM-1467 70 15.246638002235217 BM25System
10 Q0 CACM-2782 71 15.239192669882367 BM25System
10 Q0 CACM-2727 72 15.093731749793449 BM25System
10 Q0 CACM-1008 73 14.84294527736771 BM25System
10 Q0 CACM-2305 74 14.835369998118555 BM25System
10 Q0 CACM-2838 75 14.807209420416356 BM25System
10 Q0 CACM-2661 76 14.789515601101156 BM25System
10 Q0 CACM-2710 77 14.762542878175248 BM25System
10 Q0 CACM-1835 78 14.52846036332569 BM25System
10 Q0 CACM-3105 79 14.513183625473774 BM25System
10 Q0 CACM-2647 80 14.162649828200998 BM25System
10 Q0 CACM-1200 81 14.064020165935784 BM25System
10 Q0 CACM-2941 82 13.971591418061172 BM25System
10 Q0 CACM-0689 83 13.965339037554648 BM25System
10 Q0 CACM-1554 84 13.846037293795073 BM25System
10 Q0 CACM-1471 85 13.846037293795073 BM25System
10 Q0 CACM-2254 86 13.845009682695254 BM25System
10 Q0 CACM-2084 87 13.679470173849747 BM25System
10 Q0 CACM-3077 88 13.6431683386353 BM25System
10 Q0 CACM-2112 89 13.546758064769191 BM25System
10 Q0 CACM-2148 90 13.321717686326876 BM25System
10 Q0 CACM-2931 91 13.316033305856752 BM25System
10 Q0 CACM-2411 92 13.228171619665218 BM25System
10 Q0 CACM-1457 93 13.190246903104933 BM25System
10 Q0 CACM-1603 94 13.037732862477563 BM25System
10 Q0 CACM-1341 95 13.037732862477563 BM25System
10 Q0 CACM-2326 96 12.963697103156086 BM25System
10 Q0 CACM-1216 97 12.963697103156086 BM25System
10 Q0 CACM-1960 98 12.850190646918287 BM25System
10 Q0 CACM-2717 99 12.810956515796391 BM25System
10 Q0 CACM-2470 100 12.752988500761237 BM25System
