setl very high level languages
11 Q0 CACM-2699 1 16.536288918626404 BM25System
11 Q0 CACM-1923 2 14.695756814505206 BM25System
11 Q0 CACM-2717 3 11.878544301395099 BM25System
11 Q0 CACM-3148 4 11.619611213233437 BM25System
11 Q0 CACM-2906 5 11.60581455198622 BM25System
11 Q0 CACM-3171 6 10.96330992135033 BM25System
11 Q0 CACM-2527 7 10.529497434529732 BM25System
11 Q0 CACM-3150 8 10.383071509302711 BM25System
11 Q0 CACM-2316 9 9.450628610089051 BM25System
11 Q0 CACM-3077 10 8.68129226410301 BM25System
11 Q0 CACM-2198 11 8.546976024681538 BM25System
11 Q0 CACM-2246 12 8.293112315804352 BM25System
11 Q0 CACM-2320 13 8.027851730552518 BM25System
11 Q0 CACM-1860 14 7.9780728007358075 BM25System
11 Q0 CACM-3080 15 7.783426060426526 BM25System
11 Q0 CACM-2716 16 7.5364488667654275 BM25System
11 Q0 CACM-2705 17 7.435138041276214 BM25System
11 Q0 CACM-1835 18 7.227659020487817 BM25System
11 Q0 CACM-0265 19 7.153211662990274 BM25System
11 Q0 CACM-0724 20 7.119431617378676 BM25System
11 Q0 CACM-2081 21 7.053142349935005 BM25System
11 Q0 CACM-1861 22 7.026596689757726 BM25System
11 Q0 CACM-2003 23 6.464902019047605 BM25System
11 Q0 CACM-2034 24 5.885918170232114 BM25System
11 Q0 CACM-2091 25 5.767201916217019 BM25System
11 Q0 CACM-1552 26 5.742718638012106 BM25System
11 Q0 CACM-2898 27 5.623355573436168 BM25System
11 Q0 CACM-2593 28 5.554090133729126 BM25System
11 Q0 CACM-2826 29 5.486510280020778 BM25System
11 Q0 CACM-0731 30 5.470552558318005 BM25System
11 Q0 CACM-1642 31 5.465689651668319 BM25System
11 Q0 CACM-3057 32 5.459089345134751 BM25System
11 Q0 CACM-1872 33 5.457181432529804 BM25System
11 Q0 CACM-1472 34 5.417439060217984 BM25System
11 Q0 CACM-1676 35 5.314084764258292 BM25System
11 Q0 CACM-0795 36 5.188468541859997 BM25System
11 Q0 CACM-2603 37 5.150097157506243 BM25System
11 Q0 CACM-2398 38 5.000082266319628 BM25System
11 Q0 CACM-3123 39 4.953619643446392 BM25System
11 Q0 CACM-1903 40 4.8829700367424875 BM25System
11 Q0 CACM-0249 41 4.867341701013709 BM25System
11 Q0 CACM-1459 42 4.8143223666533155 BM25System
11 Q0 CACM-3101 43 4.813787588988591 BM25System
11 Q0 CACM-2867 44 4.724252676984227 BM25System
11 Q0 CACM-1098 45 4.7219577024238895 BM25System
11 Q0 CACM-1703 46 4.660137190175956 BM25System
11 Q0 CACM-1627 47 4.6572384488195695 BM25System
11 Q0 CACM-2542 48 4.655669364184953 BM25System
11 Q0 CACM-1223 49 4.649917300944802 BM25System
11 Q0 CACM-1366 50 4.60625133366451 BM25System
11 Q0 CACM-2922 51 4.545438001202089 BM25System
11 Q0 CACM-1769 52 4.47677263165251 BM25System
11 Q0 CACM-2295 53 4.440353911392495 BM25System
11 Q0 CACM-1788 54 4.329821888799165 BM25System
11 Q0 CACM-0281 55 4.308704835161468 BM25System
11 Q0 CACM-1462 56 4.306019649318457 BM25System
11 Q0 CACM-1466 57 4.233697219398617 BM25System
11 Q0 CACM-1678 58 4.213222229779147 BM25System
11 Q0 CACM-2317 59 4.18133428631973 BM25System
11 Q0 CACM-1138 60 4.164039276970286 BM25System
11 Q0 CACM-1102 61 4.164039276970286 BM25System
11 Q0 CACM-1852 62 4.132951448621477 BM25System
11 Q0 CACM-1142 63 4.130062865057621 BM25System
11 Q0 CACM-2814 64 4.096636425632918 BM25System
11 Q0 CACM-0463 65 4.096636425632918 BM25System
11 Q0 CACM-2406 66 4.0915488086358245 BM25System
11 Q0 CACM-1306 67 4.065843751590286 BM25System
11 Q0 CACM-1188 68 4.041021637613219 BM25System
11 Q0 CACM-1720 69 4.0394246214329765 BM25System
11 Q0 CACM-0651 70 4.031380901013322 BM25System
11 Q0 CACM-0920 71 3.999526572534511 BM25System
11 Q0 CACM-0762 72 3.999526572534511 BM25System
11 Q0 CACM-0628 73 3.968171697415164 BM25System
11 Q0 CACM-2645 74 3.965149831715124 BM25System
11 Q0 CACM-1425 75 3.9610838505922894 BM25System
11 Q0 CACM-3130 76 3.908720401105231 BM25System
11 Q0 CACM-0479 77 3.895635986737791 BM25System
11 Q0 CACM-1485 78 3.889471336163586 BM25System
11 Q0 CACM-2493 79 3.8767707603377106 BM25System
11 Q0 CACM-1496 80 3.8640919032172025 BM25System
11 Q0 CACM-1467 81 3.849398703534634 BM25System
11 Q0 CACM-2782 82 3.8475189414059443 BM25System
11 Q0 CACM-2765 83 3.8401433619244405 BM25System
11 Q0 CACM-2708 84 3.834064880794467 BM25System
11 Q0 CACM-2928 85 3.8178159769179887 BM25System
11 Q0 CACM-3119 86 3.8053321174157877 BM25System
11 Q0 CACM-0367 87 3.75141492100211 BM25System
11 Q0 CACM-2305 88 3.745563712396269 BM25System
11 Q0 CACM-2661 89 3.7339866121592027 BM25System
11 Q0 CACM-1641 90 3.732234676596925 BM25System
11 Q0 CACM-2710 91 3.7271766672620674 BM25System
11 Q0 CACM-0111 92 3.672253096614911 BM25System
11 Q0 CACM-3105 93 3.6642196282136754 BM25System
11 Q0 CACM-2345 94 3.5772901146744873 BM25System
11 Q0 CACM-2647 95 3.57571852098144 BM25System
11 Q0 CACM-1553 96 3.5579069724146297 BM25System
11 Q0 CACM-0252 97 3.5387327488844003 BM25System
11 Q0 CACM-2941 98 3.5274810015897016 BM25System
11 Q0 CACM-0689 99 3.525902430273698 BM25System
11 Q0 CACM-2621 100 3.5235463482983898 BM25System
