code optimization for space efficiency
13 Q0 CACM-1947 1 13.575805760235301 BM25System
13 Q0 CACM-1795 2 10.628815126532787 BM25System
13 Q0 CACM-2748 3 10.143514079146623 BM25System
13 Q0 CACM-2495 4 9.975668039924283 BM25System
13 Q0 CACM-2491 5 9.965310223469157 BM25System
13 Q0 CACM-2559 6 9.628291315961217 BM25System
13 Q0 CACM-3080 7 8.978298543138372 BM25System
13 Q0 CACM-2680 8 8.823046754069644 BM25System
13 Q0 CACM-3054 9 8.471599288492037 BM25System
13 Q0 CACM-1886 10 8.456451034325992 BM25System
13 Q0 CACM-2904 11 8.377271536624663 BM25System
13 Q0 CACM-2944 12 8.200257463382606 BM25System
13 Q0 CACM-2537 13 7.996654763950059 BM25System
13 Q0 CACM-2253 14 7.752764366637822 BM25System
13 Q0 CACM-1195 15 7.311189881156537 BM25System
13 Q0 CACM-3171 16 7.218594950178511 BM25System
13 Q0 CACM-2929 17 7.199506286699829 BM25System
13 Q0 CACM-1564 18 6.985184921202237 BM25System
13 Q0 CACM-2033 19 6.967898848708466 BM25System
13 Q0 CACM-2464 20 6.851986798664808 BM25System
13 Q0 CACM-3083 21 6.326068777437942 BM25System
13 Q0 CACM-1651 22 6.271879226783144 BM25System
13 Q0 CACM-2374 23 6.229537606014812 BM25System
13 Q0 CACM-1223 24 6.166378176726934 BM25System
13 Q0 CACM-1807 25 6.146119410048023 BM25System
13 Q0 CACM-2423 26 6.125453503902734 BM25System
13 Q0 CACM-2835 27 6.040265920213635 BM25System
13 Q0 CACM-1655 28 6.031507445468862 BM25System
13 Q0 CACM-2716 29 6.024999161309873 BM25System
13 Q0 CACM-1362 30 6.020178735133126 BM25System
13 Q0 CACM-0048 31 5.996107921147119 BM25System
13 Q0 CACM-1231 32 5.985334663191616 BM25System
13 Q0 CACM-1901 33 5.889058687942644 BM25System
13 Q0 CACM-3005 34 5.836640937775186 BM25System
13 Q0 CACM-2701 35 5.835284243735783 BM25System
13 Q0 CACM-1756 36 5.760228732604033 BM25System
13 Q0 CACM-2711 37 5.737146701314526 BM25System
13 Q0 CACM-2524 38 5.632518281598426 BM25System
13 Q0 CACM-2745 39 5.598797725000782 BM25System
13 Q0 CACM-1652 40 5.502367088212921 BM25System
13 Q0 CACM-2858 41 5.430318073626594 BM25System
13 Q0 CACM-3129 42 5.417081980687913 BM25System
13 Q0 CACM-2611 43 5.410228040964613 BM25System
13 Q0 CACM-2533 44 5.380247855488923 BM25System
13 Q0 CACM-0164 45 5.370069346303751 BM25System
13 Q0 CACM-1992 46 5.356227289055192 BM25System
13 Q0 CACM-2834 47 5.345827114502407 BM25System
13 Q0 CACM-2107 48 5.333435531765252 BM25System
13 Q0 CACM-0267 49 5.327299295946824 BM25System
13 Q0 CACM-2616 50 5.286616829153064 BM25System
13 Q0 CACM-0117 51 5.243771007726482 BM25System
13 Q0 CACM-2645 52 5.23977774005678 BM25System
13 Q0 CACM-1234 53 5.23067618377215 BM25System
13 Q0 CACM-2078 54 5.1805299886110125 BM25System
13 Q0 CACM-1369 55 5.15820462690199 BM25System
13 Q0 CACM-2508 56 5.123276964364494 BM25System
13 Q0 CACM-2897 57 5.102704260971038 BM25System
13 Q0 CACM-1969 58 5.045977600615727 BM25System
13 Q0 CACM-2892 59 4.998925742878629 BM25System
13 Q0 CACM-0797 60 4.9757258020280055 BM25System
13 Q0 CACM-2964 61 4.974420217239393 BM25System
13 Q0 CACM-3066 62 4.969392868223554 BM25System
13 Q0 CACM-2856 63 4.962383833785635 BM25System
13 Q0 CACM-2389 64 4.960907437993234 BM25System
13 Q0 CACM-2836 65 4.958597161734923 BM25System
13 Q0 CACM-2433 66 4.947262394892064 BM25System
13 Q0 CACM-1542 67 4.944165502463015 BM25System
13 Q0 CACM-1757 68 4.937401863105105 BM25System
13 Q0 CACM-0195 69 4.934792451873826 BM25System
13 Q0 CACM-0149 70 4.934305325758365 BM25System
13 Q0 CACM-2344 71 4.913354020708256 BM25System
13 Q0 CACM-1676 72 4.905649574351273 BM25System
13 Q0 CACM-1289 73 4.894527091752064 BM25System
13 Q0 CACM-2133 74 4.867486954705112 BM25System
13 Q0 CACM-1414 75 4.854913502639606 BM25System
13 Q0 CACM-1064 76 4.854913502639606 BM25System
13 Q0 CACM-0230 77 4.854913502639606 BM25System
13 Q0 CACM-1670 78 4.83785147094836 BM25System
13 Q0 CACM-1708 79 4.829708177791467 BM25System
13 Q0 CACM-1187 80 4.815935986368952 BM25System
13 Q0 CACM-1465 81 4.76095422637296 BM25System
13 Q0 CACM-1232 82 4.739828860493465 BM25System
13 Q0 CACM-0066 83 4.702670277018004 BM25System
13 Q0 CACM-1275 84 4.66608978186373 BM25System
13 Q0 CACM-2736 85 4.638222322299557 BM25System
13 Q0 CACM-2816 86 4.61828080138044 BM25System
13 Q0 CACM-2290 87 4.603589230336979 BM25System
13 Q0 CACM-1973 88 4.544631750601983 BM25System
13 Q0 CACM-1065 89 4.525287020724142 BM25System
13 Q0 CACM-1641 90 4.5156094381625556 BM25System
13 Q0 CACM-1066 91 4.503082367417554 BM25System
13 Q0 CACM-2586 92 4.491404147966023 BM25System
13 Q0 CACM-0333 93 4.491404147966023 BM25System
13 Q0 CACM-2411 94 4.48208784835029 BM25System
13 Q0 CACM-1235 95 4.457954694771021 BM25System
13 Q0 CACM-2931 96 4.4426995333216075 BM25System
13 Q0 CACM-2569 97 4.425620731460277 BM25System
13 Q0 CACM-1204 98 4.425138122733574 BM25System
13 Q0 CACM-1786 99 4.347028364714624 BM25System
13 Q0 CACM-2552 100 4.329326027563316 BM25System
