optimization of intermediate and machine code
17 Q0 CACM-1223 1 11.911066713385651 BM25System
17 Q0 CACM-1658 2 11.63445253877128 BM25System
17 Q0 CACM-1947 3 11.542218043840927 BM25System
17 Q0 CACM-2491 4 10.647417292535522 BM25System
17 Q0 CACM-1795 5 10.628815126532787 BM25System
17 Q0 CACM-2495 6 9.975668039924283 BM25System
17 Q0 CACM-2253 7 9.927804168827247 BM25System
17 Q0 CACM-2748 8 9.633925515535713 BM25System
17 Q0 CACM-3080 9 8.978298543138372 BM25System
17 Q0 CACM-3054 10 8.471599288492037 BM25System
17 Q0 CACM-2904 11 8.377271536624663 BM25System
17 Q0 CACM-1676 12 8.146366738596768 BM25System
17 Q0 CACM-3005 13 7.769805221529067 BM25System
17 Q0 CACM-2929 14 7.199506286699829 BM25System
17 Q0 CACM-1564 15 6.985184921202237 BM25System
17 Q0 CACM-2464 16 6.851986798664808 BM25System
17 Q0 CACM-3171 17 6.739060542804843 BM25System
17 Q0 CACM-1523 18 6.622563991341391 BM25System
17 Q0 CACM-1886 19 6.20854892705262 BM25System
17 Q0 CACM-1807 20 6.146119410048023 BM25System
17 Q0 CACM-2423 21 6.125453503902734 BM25System
17 Q0 CACM-0123 22 6.124963130807178 BM25System
17 Q0 CACM-2835 23 6.040265920213635 BM25System
17 Q0 CACM-1655 24 6.031507445468862 BM25System
17 Q0 CACM-1362 25 6.020178735133126 BM25System
17 Q0 CACM-0048 26 5.996107921147119 BM25System
17 Q0 CACM-1231 27 5.985334663191616 BM25System
17 Q0 CACM-1389 28 5.934111472278836 BM25System
17 Q0 CACM-1154 29 5.904544380991314 BM25System
17 Q0 CACM-2701 30 5.835284243735783 BM25System
17 Q0 CACM-1756 31 5.760228732604033 BM25System
17 Q0 CACM-2138 32 5.713182936584085 BM25System
17 Q0 CACM-1652 33 5.502367088212921 BM25System
17 Q0 CACM-1402 34 5.4939959895180515 BM25System
17 Q0 CACM-2858 35 5.430318073626594 BM25System
17 Q0 CACM-2611 36 5.410228040964613 BM25System
17 Q0 CACM-2944 37 5.38460000725232 BM25System
17 Q0 CACM-2533 38 5.380247855488923 BM25System
17 Q0 CACM-1992 39 5.356227289055192 BM25System
17 Q0 CACM-2834 40 5.345827114502407 BM25System
17 Q0 CACM-2107 41 5.333435531765252 BM25System
17 Q0 CACM-2616 42 5.286616829153064 BM25System
17 Q0 CACM-3115 43 5.222001264073589 BM25System
17 Q0 CACM-2527 44 5.196720670667706 BM25System
17 Q0 CACM-2897 45 5.102704260971038 BM25System
17 Q0 CACM-0252 46 5.07948163826735 BM25System
17 Q0 CACM-0797 47 4.9757258020280055 BM25System
17 Q0 CACM-2964 48 4.974420217239393 BM25System
17 Q0 CACM-3066 49 4.969392868223554 BM25System
17 Q0 CACM-2836 50 4.958597161734923 BM25System
17 Q0 CACM-2433 51 4.947262394892064 BM25System
17 Q0 CACM-1757 52 4.937401863105105 BM25System
17 Q0 CACM-0195 53 4.934792451873826 BM25System
17 Q0 CACM-2344 54 4.913354020708256 BM25System
17 Q0 CACM-1289 55 4.894527091752064 BM25System
17 Q0 CACM-2133 56 4.867486954705112 BM25System
17 Q0 CACM-1414 57 4.854913502639606 BM25System
17 Q0 CACM-1064 58 4.854913502639606 BM25System
17 Q0 CACM-0230 59 4.854913502639606 BM25System
17 Q0 CACM-1670 60 4.83785147094836 BM25System
17 Q0 CACM-1187 61 4.815935986368952 BM25System
17 Q0 CACM-1232 62 4.739828860493465 BM25System
17 Q0 CACM-0066 63 4.702670277018004 BM25System
17 Q0 CACM-1783 64 4.6762617092715315 BM25System
17 Q0 CACM-1275 65 4.66608978186373 BM25System
17 Q0 CACM-2624 66 4.630953236057701 BM25System
17 Q0 CACM-1542 67 4.615722434172793 BM25System
17 Q0 CACM-2290 68 4.603589230336979 BM25System
17 Q0 CACM-1665 69 4.557442095504881 BM25System
17 Q0 CACM-1973 70 4.544631750601983 BM25System
17 Q0 CACM-1065 71 4.525287020724142 BM25System
17 Q0 CACM-1066 72 4.503082367417554 BM25System
17 Q0 CACM-2586 73 4.491404147966023 BM25System
17 Q0 CACM-0333 74 4.491404147966023 BM25System
17 Q0 CACM-2411 75 4.48208784835029 BM25System
17 Q0 CACM-1162 76 4.459732957114001 BM25System
17 Q0 CACM-1852 77 4.43203213472955 BM25System
17 Q0 CACM-1204 78 4.425138122733574 BM25System
17 Q0 CACM-2079 79 4.39308917813798 BM25System
17 Q0 CACM-0091 80 4.39308917813798 BM25System
17 Q0 CACM-0035 81 4.39308917813798 BM25System
17 Q0 CACM-1392 82 4.392926895766028 BM25System
17 Q0 CACM-1786 83 4.347028364714624 BM25System
17 Q0 CACM-2552 84 4.329326027563316 BM25System
17 Q0 CACM-3173 85 4.315753097850732 BM25System
17 Q0 CACM-0079 86 4.288951978637471 BM25System
