distributed computing structures and algorithms
23 Q0 CACM-3148 1 11.994231151305643 BM25System
23 Q0 CACM-2849 2 10.567928463467751 BM25System
23 Q0 CACM-3137 3 10.473220261378097 BM25System
23 Q0 CACM-2276 4 8.317700805100248 BM25System
23 Q0 CACM-2578 5 7.700759165256297 BM25System
23 Q0 CACM-1873 6 7.697109132972111 BM25System
23 Q0 CACM-3043 7 7.336072961206413 BM25System
23 Q0 CACM-2406 8 7.317799027478921 BM25System
23 Q0 CACM-3082 9 7.304441160092265 BM25System
23 Q0 CACM-2081 10 7.173107900687435 BM25System
23 Q0 CACM-2949 11 7.12660989585081 BM25System
23 Q0 CACM-2630 12 6.995218222635196 BM25System
23 Q0 CACM-1411 13 6.988405668889985 BM25System
23 Q0 CACM-3166 14 6.795035481523855 BM25System
23 Q0 CACM-2832 15 6.601055408846095 BM25System
23 Q0 CACM-3124 16 6.454358327945427 BM25System
23 Q0 CACM-0052 17 6.342066841335707 BM25System
23 Q0 CACM-2454 18 6.277360195066208 BM25System
23 Q0 CACM-0088 19 6.248496201177629 BM25System
23 Q0 CACM-3141 20 6.241236369760612 BM25System
23 Q0 CACM-2433 21 6.203229208112973 BM25System
23 Q0 CACM-1780 22 6.069400733955307 BM25System
23 Q0 CACM-2834 23 6.045715537217204 BM25System
23 Q0 CACM-2766 24 5.947964392063429 BM25System
23 Q0 CACM-3025 25 5.845548327983523 BM25System
23 Q0 CACM-2130 26 5.758957856263166 BM25System
23 Q0 CACM-3086 27 5.724536255347108 BM25System
23 Q0 CACM-2890 28 5.679720707886181 BM25System
23 Q0 CACM-1862 29 5.627183955430645 BM25System
23 Q0 CACM-2838 30 5.616326927036612 BM25System
23 Q0 CACM-2197 31 5.544247976186001 BM25System
23 Q0 CACM-2373 32 5.531875897867326 BM25System
23 Q0 CACM-3011 33 5.4411080022774625 BM25System
23 Q0 CACM-2216 34 5.3833974800773845 BM25System
23 Q0 CACM-2665 35 5.327813693508734 BM25System
23 Q0 CACM-1153 36 5.308618128495317 BM25System
23 Q0 CACM-2709 37 5.304702798290038 BM25System
23 Q0 CACM-2963 38 5.271133538631519 BM25System
23 Q0 CACM-1946 39 5.269083513375682 BM25System
23 Q0 CACM-2816 40 5.212707164467534 BM25System
23 Q0 CACM-2169 41 5.198294494806426 BM25System
23 Q0 CACM-2975 42 5.183427643105805 BM25System
23 Q0 CACM-1525 43 5.178094211286072 BM25System
23 Q0 CACM-2032 44 5.148556889410904 BM25System
23 Q0 CACM-3035 45 5.125598569167598 BM25System
23 Q0 CACM-1831 46 5.111095717313786 BM25System
23 Q0 CACM-2594 47 5.084538182713735 BM25System
23 Q0 CACM-3128 48 4.939142097917843 BM25System
23 Q0 CACM-2155 49 4.874479786876122 BM25System
23 Q0 CACM-1224 50 4.806243651718159 BM25System
23 Q0 CACM-1105 51 4.783934014057179 BM25System
23 Q0 CACM-0072 52 4.783934014057179 BM25System
23 Q0 CACM-3158 53 4.774206387953425 BM25System
23 Q0 CACM-3156 54 4.754459249023025 BM25System
23 Q0 CACM-3090 55 4.748633335727859 BM25System
23 Q0 CACM-3037 56 4.7377354000665335 BM25System
23 Q0 CACM-1810 57 4.728693780919675 BM25System
23 Q0 CACM-2311 58 4.728088599853347 BM25System
23 Q0 CACM-2855 59 4.715756338981616 BM25System
23 Q0 CACM-0147 60 4.706496993964545 BM25System
23 Q0 CACM-1431 61 4.696065709133385 BM25System
23 Q0 CACM-0830 62 4.668711034840805 BM25System
23 Q0 CACM-3032 63 4.662363466918486 BM25System
23 Q0 CACM-2371 64 4.639794850055526 BM25System
23 Q0 CACM-2114 65 4.629842224765596 BM25System
23 Q0 CACM-2828 66 4.6247652364219 BM25System
23 Q0 CACM-0627 67 4.595344922886269 BM25System
23 Q0 CACM-2810 68 4.580322200109485 BM25System
23 Q0 CACM-0793 69 4.557227238172638 BM25System
23 Q0 CACM-2884 70 4.53423966202371 BM25System
23 Q0 CACM-2883 71 4.51641099410017 BM25System
23 Q0 CACM-2314 72 4.495541577710663 BM25System
23 Q0 CACM-2808 73 4.488530907646962 BM25System
23 Q0 CACM-2325 74 4.471633119443318 BM25System
23 Q0 CACM-1349 75 4.457075227116478 BM25System
23 Q0 CACM-1134 76 4.446576224956701 BM25System
23 Q0 CACM-2954 77 4.437680643721656 BM25System
23 Q0 CACM-2524 78 4.428156069373262 BM25System
23 Q0 CACM-0371 79 4.427883405955765 BM25System
23 Q0 CACM-0481 80 4.420293736257309 BM25System
23 Q0 CACM-0080 81 4.420293736257309 BM25System
23 Q0 CACM-2060 82 4.386007379372414 BM25System
23 Q0 CACM-2226 83 4.367117034662072 BM25System
23 Q0 CACM-1889 84 4.346040669696616 BM25System
23 Q0 CACM-0657 85 4.341171126936633 BM25System
23 Q0 CACM-2092 86 4.33866063098616 BM25System
23 Q0 CACM-2950 87 4.327095080600202 BM25System
23 Q0 CACM-2934 88 4.321741420560607 BM25System
23 Q0 CACM-2357 89 4.3138010752018925 BM25System
23 Q0 CACM-2926 90 4.309319699661171 BM25System
23 Q0 CACM-1745 91 4.3077907908999595 BM25System
23 Q0 CACM-2484 92 4.292621409249499 BM25System
23 Q0 CACM-1275 93 4.273634097964454 BM25System
23 Q0 CACM-2822 94 4.260449838670224 BM25System
23 Q0 CACM-2780 95 4.244899903424796 BM25System
