concurrency control mechanisms in operating systems
26 Q0 CACM-2626 1 12.277588536037301 BM25System
26 Q0 CACM-2632 2 10.496228815194403 BM25System
26 Q0 CACM-3105 3 10.132509130427486 BM25System
26 Q0 CACM-2840 4 10.011573969361098 BM25System
26 Q0 CACM-2939 5 9.694136336866233 BM25System
26 Q0 CACM-2377 6 9.514937928226274 BM25System
26 Q0 CACM-3128 7 9.00642205243505 BM25System
26 Q0 CACM-2870 8 8.818451094094122 BM25System
26 Q0 CACM-2080 9 8.569035030252751 BM25System
26 Q0 CACM-3068 10 8.507583668330225 BM25System
26 Q0 CACM-1750 11 8.475605455847296 BM25System
26 Q0 CACM-2372 12 8.441408045312071 BM25System
26 Q0 CACM-2314 13 8.221616718706795 BM25System
26 Q0 CACM-2320 14 8.20761460892452 BM25System
26 Q0 CACM-2558 15 8.080279735166567 BM25System
26 Q0 CACM-1680 16 7.994770563184041 BM25System
26 Q0 CACM-2844 17 7.91668338172009 BM25System
26 Q0 CACM-1677 18 7.887968985346646 BM25System
26 Q0 CACM-1461 19 7.761758729845106 BM25System
26 Q0 CACM-2541 20 7.706202315932832 BM25System
26 Q0 CACM-2578 21 7.304420077404011 BM25System
26 Q0 CACM-1462 22 7.223186441730972 BM25System
26 Q0 CACM-2111 23 7.120107045337875 BM25System
26 Q0 CACM-2938 24 7.008477019629902 BM25System
26 Q0 CACM-1463 25 7.005976483742379 BM25System
26 Q0 CACM-0483 26 6.9718358906821125 BM25System
26 Q0 CACM-1591 27 6.944576361392974 BM25System
26 Q0 CACM-3026 28 6.894936573327288 BM25System
26 Q0 CACM-2036 29 6.874611480942553 BM25System
26 Q0 CACM-1728 30 6.818458773882532 BM25System
26 Q0 CACM-2817 31 6.789027886921984 BM25System
26 Q0 CACM-2867 32 6.676407861382703 BM25System
26 Q0 CACM-2936 33 6.66740505401563 BM25System
26 Q0 CACM-1247 34 6.65247680206649 BM25System
26 Q0 CACM-2317 35 6.57406027195991 BM25System
26 Q0 CACM-2482 36 6.512417313558475 BM25System
26 Q0 CACM-2878 37 6.485060711421143 BM25System
26 Q0 CACM-2740 38 6.443671849115981 BM25System
26 Q0 CACM-2319 39 6.418660242012574 BM25System
26 Q0 CACM-2597 40 6.394558141437795 BM25System
26 Q0 CACM-2069 41 6.375318731732246 BM25System
