memory management aspects of operating systems
27 Q0 CACM-2069 1 14.238251995221443 BM25System
27 Q0 CACM-2297 2 13.959639471201871 BM25System
27 Q0 CACM-2902 3 12.104804846119395 BM25System
27 Q0 CACM-2358 4 11.709247123294865 BM25System
27 Q0 CACM-2988 5 11.532713706527737 BM25System
27 Q0 CACM-2319 6 11.038707752297656 BM25System
27 Q0 CACM-3006 7 10.983320007685137 BM25System
27 Q0 CACM-2406 8 10.705633838916889 BM25System
27 Q0 CACM-1752 9 10.432373897888823 BM25System
27 Q0 CACM-2372 10 10.10941511008991 BM25System
27 Q0 CACM-2740 11 10.03182249393891 BM25System
27 Q0 CACM-1901 12 10.00222752666909 BM25System
27 Q0 CACM-2374 13 9.98509452600314 BM25System
27 Q0 CACM-1892 14 9.98060558637367 BM25System
27 Q0 CACM-1728 15 9.806470423888001 BM25System
27 Q0 CACM-1753 16 9.802450326039025 BM25System
27 Q0 CACM-1750 17 9.501407816283484 BM25System
27 Q0 CACM-3000 18 9.356162749917836 BM25System
27 Q0 CACM-2867 19 9.300452042562364 BM25System
27 Q0 CACM-2669 20 8.94347980044715 BM25System
27 Q0 CACM-3011 21 8.830957456691955 BM25System
27 Q0 CACM-2379 22 8.752183456316473 BM25System
27 Q0 CACM-3067 23 8.603682304958976 BM25System
27 Q0 CACM-3068 24 8.507583668330225 BM25System
27 Q0 CACM-2479 25 8.47378170273839 BM25System
27 Q0 CACM-2852 26 8.394132309348198 BM25System
27 Q0 CACM-2345 27 8.387923954352075 BM25System
27 Q0 CACM-2798 28 8.266303061986548 BM25System
27 Q0 CACM-2577 29 8.154139560432274 BM25System
27 Q0 CACM-2864 30 7.94158464531205 BM25System
27 Q0 CACM-1959 31 7.917263872752848 BM25System
27 Q0 CACM-2502 32 7.904690253324223 BM25System
27 Q0 CACM-2481 33 7.820071592998245 BM25System
27 Q0 CACM-3050 34 7.815547067111835 BM25System
27 Q0 CACM-2017 35 7.780991981314822 BM25System
27 Q0 CACM-1461 36 7.761758729845106 BM25System
27 Q0 CACM-2868 37 7.569216583639937 BM25System
27 Q0 CACM-2624 38 7.540469341574651 BM25System
27 Q0 CACM-2262 39 7.532995410475914 BM25System
27 Q0 CACM-2859 40 7.520148528685091 BM25System
27 Q0 CACM-2582 41 7.501745856106533 BM25System
27 Q0 CACM-2583 42 7.449945433865856 BM25System
27 Q0 CACM-3026 43 7.301414789363398 BM25System
27 Q0 CACM-2689 44 7.297007005996473 BM25System
27 Q0 CACM-3028 45 7.281918025946521 BM25System
27 Q0 CACM-2357 46 7.248540866062539 BM25System
27 Q0 CACM-1462 47 7.223186441730972 BM25System
27 Q0 CACM-2378 48 7.210060578061269 BM25System
27 Q0 CACM-1657 49 7.20796673339065 BM25System
