parallel processors in information retrieval
50 Q0 CACM-3156 1 11.655014639592451 BM25System
50 Q0 CACM-3075 2 11.564057743698458 BM25System
50 Q0 CACM-2714 3 11.49707176071076 BM25System
50 Q0 CACM-2278 4 9.261198536455808 BM25System
50 Q0 CACM-2288 5 9.014507328411817 BM25System
50 Q0 CACM-3134 6 8.960597237211847 BM25System
50 Q0 CACM-0891 7 8.889024981198224 BM25System
50 Q0 CACM-1699 8 8.868191635790675 BM25System
50 Q0 CACM-1811 9 8.84823529704919 BM25System
50 Q0 CACM-2114 10 8.70148891744679 BM25System
50 Q0 CACM-1457 11 8.613949716950533 BM25System
50 Q0 CACM-1927 12 8.350321832860818 BM25System
50 Q0 CACM-1681 13 8.221411032577619 BM25System
50 Q0 CACM-1830 14 8.147807557660851 BM25System
50 Q0 CACM-2497 15 8.055695704856136 BM25System
50 Q0 CACM-2723 16 8.012012350443113 BM25System
50 Q0 CACM-0634 17 7.946523719743243 BM25System
50 Q0 CACM-0651 18 7.756652864598783 BM25System
50 Q0 CACM-0275 19 7.756652864598783 BM25System
50 Q0 CACM-2070 20 7.695362955678756 BM25System
50 Q0 CACM-2570 21 7.645087707355675 BM25System
50 Q0 CACM-2516 22 7.580694643699713 BM25System
50 Q0 CACM-1680 23 7.532469520298371 BM25System
50 Q0 CACM-0239 24 7.402889866088561 BM25System
50 Q0 CACM-2175 25 7.366739730799104 BM25System
50 Q0 CACM-2532 26 7.347042926665697 BM25System
50 Q0 CACM-2990 27 7.324560009971071 BM25System
50 Q0 CACM-1935 28 7.241296585485001 BM25System
50 Q0 CACM-3012 29 7.239273663221967 BM25System
50 Q0 CACM-1831 30 7.237839310021124 BM25System
50 Q0 CACM-0292 31 7.237839310021124 BM25System
50 Q0 CACM-1032 32 7.227116034054207 BM25System
50 Q0 CACM-2530 33 7.131834469012247 BM25System
50 Q0 CACM-0082 34 7.0943919399405235 BM25System
50 Q0 CACM-2976 35 7.028889885298114 BM25System
50 Q0 CACM-2965 36 7.028889885298114 BM25System
50 Q0 CACM-2552 37 7.028889885298114 BM25System
50 Q0 CACM-3168 38 6.978524074168051 BM25System
50 Q0 CACM-2631 39 6.978158793473547 BM25System
50 Q0 CACM-2140 40 6.925167648429781 BM25System
50 Q0 CACM-1514 41 6.880176542864046 BM25System
50 Q0 CACM-3169 42 6.8799272482037175 BM25System
50 Q0 CACM-2781 43 6.8799272482037175 BM25System
50 Q0 CACM-2882 44 6.835571724621007 BM25System
50 Q0 CACM-2412 45 6.831666283247737 BM25System
50 Q0 CACM-1846 46 6.631114043500584 BM25System
50 Q0 CACM-2865 47 6.4924711797294155 BM25System
50 Q0 CACM-1937 48 6.405733545155784 BM25System
50 Q0 CACM-2519 49 6.316341017123355 BM25System
50 Q0 CACM-2967 50 6.310417770606546 BM25System
50 Q0 CACM-2455 51 6.256157238012083 BM25System
50 Q0 CACM-2307 52 6.213945044431044 BM25System
50 Q0 CACM-2685 53 6.162156783404951 BM25System
50 Q0 CACM-1825 54 6.148121367282685 BM25System
50 Q0 CACM-0763 55 6.120251134691066 BM25System
50 Q0 CACM-1262 56 6.1117309462355065 BM25System
50 Q0 CACM-2973 57 6.084252712861251 BM25System
50 Q0 CACM-2139 58 5.965960402701705 BM25System
50 Q0 CACM-2700 59 5.9374324650548065 BM25System
50 Q0 CACM-2896 60 5.893780557259324 BM25System
50 Q0 CACM-1158 61 5.858666617198546 BM25System
50 Q0 CACM-2561 62 5.8551283756062205 BM25System
50 Q0 CACM-1359 63 5.831999153587342 BM25System
50 Q0 CACM-1959 64 5.8072846306834744 BM25System
50 Q0 CACM-1665 65 5.785822907056127 BM25System
50 Q0 CACM-2160 66 5.783226645199356 BM25System
50 Q0 CACM-0655 67 5.743800606214348 BM25System
50 Q0 CACM-2711 68 5.736964361751452 BM25System
50 Q0 CACM-1627 69 5.712986369335388 BM25System
50 Q0 CACM-2258 70 5.710123839063769 BM25System
50 Q0 CACM-1675 71 5.710123839063769 BM25System
50 Q0 CACM-1236 72 5.655608205436701 BM25System
50 Q0 CACM-1988 73 5.630787043557879 BM25System
50 Q0 CACM-0141 74 5.520969706568007 BM25System
50 Q0 CACM-2846 75 5.500891314917397 BM25System
50 Q0 CACM-2266 76 5.494919717716523 BM25System
50 Q0 CACM-2785 77 5.480085155454591 BM25System
50 Q0 CACM-1302 78 5.432319852579656 BM25System
50 Q0 CACM-0392 79 5.432319852579656 BM25System
50 Q0 CACM-1652 80 5.429964577591814 BM25System
50 Q0 CACM-2947 81 5.425523975524041 BM25System
50 Q0 CACM-2493 82 5.423912883345951 BM25System
50 Q0 CACM-1828 83 5.350092976674721 BM25System
50 Q0 CACM-1725 84 5.338305392132635 BM25System
