parallel processors and paging algorithms
51 Q0 CACM-3075 1 14.637291793902435 BM25System
51 Q0 CACM-3156 2 13.77287576844246 BM25System
51 Q0 CACM-2714 3 11.49707176071076 BM25System
51 Q0 CACM-3006 4 10.509030175122511 BM25System
51 Q0 CACM-2723 5 9.71333120556678 BM25System
51 Q0 CACM-2570 6 9.611390792652154 BM25System
51 Q0 CACM-2973 7 9.373923086973875 BM25System
51 Q0 CACM-1811 8 8.84823529704919 BM25System
51 Q0 CACM-1752 9 8.570061258695711 BM25System
51 Q0 CACM-2497 10 8.055695704856136 BM25System
51 Q0 CACM-2365 11 7.932360478733486 BM25System
51 Q0 CACM-2266 12 7.734638955653735 BM25System
51 Q0 CACM-2863 13 7.494552939593307 BM25System
51 Q0 CACM-2175 14 7.366739730799104 BM25System
51 Q0 CACM-2557 15 7.3524806390022075 BM25System
51 Q0 CACM-2450 16 7.326213616064997 BM25System
51 Q0 CACM-0950 17 7.301387641411717 BM25System
51 Q0 CACM-2373 18 7.25274385172881 BM25System
51 Q0 CACM-2085 19 7.227495238650359 BM25System
51 Q0 CACM-2022 20 7.227495238650359 BM25System
51 Q0 CACM-0082 21 7.0943919399405235 BM25System
51 Q0 CACM-1810 22 6.872449197086509 BM25System
51 Q0 CACM-1468 23 6.837345199254809 BM25System
51 Q0 CACM-2277 24 6.721736977954511 BM25System
51 Q0 CACM-1728 25 6.680135161580468 BM25System
51 Q0 CACM-1924 26 6.5874291979450526 BM25System
51 Q0 CACM-1964 27 6.531271130588962 BM25System
51 Q0 CACM-2740 28 6.491920998188794 BM25System
51 Q0 CACM-2128 29 6.472781779784289 BM25System
51 Q0 CACM-2838 30 6.3192709666244955 BM25System
51 Q0 CACM-2669 31 6.188318232363184 BM25System
51 Q0 CACM-2685 32 6.162156783404951 BM25System
51 Q0 CACM-1825 33 6.148121367282685 BM25System
51 Q0 CACM-1884 34 6.147100467537684 BM25System
51 Q0 CACM-2017 35 6.134018488893046 BM25System
51 Q0 CACM-3153 36 6.1215559845791 BM25System
51 Q0 CACM-0763 37 6.120251134691066 BM25System
51 Q0 CACM-1262 38 6.1117309462355065 BM25System
51 Q0 CACM-2289 39 6.109769837852747 BM25System
51 Q0 CACM-2700 40 5.9374324650548065 BM25System
51 Q0 CACM-2896 41 5.893780557259324 BM25System
51 Q0 CACM-1158 42 5.858666617198546 BM25System
51 Q0 CACM-2433 43 5.798706262472907 BM25System
51 Q0 CACM-1665 44 5.785822907056127 BM25System
51 Q0 CACM-3152 45 5.709276804692324 BM25System
51 Q0 CACM-2579 46 5.6878274976626475 BM25System
51 Q0 CACM-2872 47 5.682107425545595 BM25System
51 Q0 CACM-1988 48 5.630787043557879 BM25System
51 Q0 CACM-0141 49 5.520969706568007 BM25System
51 Q0 CACM-2785 50 5.480085155454591 BM25System
51 Q0 CACM-1302 51 5.432319852579656 BM25System
51 Q0 CACM-0392 52 5.432319852579656 BM25System
51 Q0 CACM-2881 53 5.380099950144647 BM25System
51 Q0 CACM-2068 54 5.377452583156628 BM25System
51 Q0 CACM-2498 55 5.374098211341193 BM25System
51 Q0 CACM-2297 56 5.3608786127726 BM25System
51 Q0 CACM-1828 57 5.350092976674721 BM25System
51 Q0 CACM-1957 58 5.233152113052225 BM25System
51 Q0 CACM-2114 59 5.209317037826112 BM25System
51 Q0 CACM-2182 60 5.143271716434871 BM25System
51 Q0 CACM-2895 61 5.049775740331734 BM25System
51 Q0 CACM-1795 62 5.0286003013308616 BM25System
51 Q0 CACM-2342 63 5.01008711512465 BM25System
51 Q0 CACM-2667 64 4.939311986808005 BM25System
51 Q0 CACM-2692 65 4.914167054234371 BM25System
51 Q0 CACM-2645 66 4.896775285679179 BM25System
51 Q0 CACM-3073 67 4.883429471319444 BM25System
51 Q0 CACM-2865 68 4.874715695707015 BM25System
51 Q0 CACM-2401 69 4.8398475935754215 BM25System
51 Q0 CACM-2069 70 4.82329224333649 BM25System
51 Q0 CACM-3059 71 4.805474761347072 BM25System
51 Q0 CACM-1753 72 4.792482266568243 BM25System
51 Q0 CACM-1601 73 4.779935385626937 BM25System
51 Q0 CACM-2664 74 4.748618825015227 BM25System
51 Q0 CACM-0303 75 4.748618825015227 BM25System
51 Q0 CACM-2914 76 4.743907358361614 BM25System
51 Q0 CACM-2016 77 4.727933802440316 BM25System
51 Q0 CACM-1684 78 4.722555775639438 BM25System
51 Q0 CACM-1923 79 4.666061319265066 BM25System
51 Q0 CACM-2522 80 4.611083537624992 BM25System
51 Q0 CACM-2741 81 4.5739219458371325 BM25System
51 Q0 CACM-2884 82 4.53423966202371 BM25System
