modelling and simulation in agricultural ecosystems
52 Q0 CACM-2721 1 14.087864672387092 BM25System
52 Q0 CACM-2749 2 5.831027352778334 BM25System
52 Q0 CACM-1928 3 5.512560360351079 BM25System
52 Q0 CACM-2767 4 5.489660373317294 BM25System
52 Q0 CACM-3070 5 5.397915484650416 BM25System
52 Q0 CACM-3051 6 5.3185852303670025 BM25System
52 Q0 CACM-1030 7 5.272811383964399 BM25System
52 Q0 CACM-1366 8 5.2213254127774515 BM25System
52 Q0 CACM-1870 9 5.180193438116843 BM25System
52 Q0 CACM-0678 10 5.091241021899577 BM25System
52 Q0 CACM-2902 11 5.074559720254173 BM25System
52 Q0 CACM-2742 12 5.037638803658715 BM25System
52 Q0 CACM-0557 13 4.959840494263319 BM25System
52 Q0 CACM-1890 14 4.890416795129795 BM25System
52 Q0 CACM-2218 15 4.862090314409056 BM25System
52 Q0 CACM-0757 16 4.83843127659368 BM25System
52 Q0 CACM-1207 17 4.799271695913694 BM25System
52 Q0 CACM-3048 18 4.787754906098471 BM25System
52 Q0 CACM-1208 19 4.760740898091435 BM25System
52 Q0 CACM-2914 20 4.726048044131652 BM25System
52 Q0 CACM-1329 21 4.722823859256955 BM25System
52 Q0 CACM-2062 22 4.688679447060156 BM25System
52 Q0 CACM-2725 23 4.648773318708189 BM25System
52 Q0 CACM-0238 24 4.61261206991952 BM25System
52 Q0 CACM-2970 25 4.5627935986382715 BM25System
52 Q0 CACM-1812 26 4.541951435559759 BM25System
52 Q0 CACM-1380 27 4.52684226149126 BM25System
52 Q0 CACM-1637 28 4.510363490118588 BM25System
52 Q0 CACM-0643 29 4.507426785409333 BM25System
52 Q0 CACM-1912 30 4.458765620288559 BM25System
52 Q0 CACM-3061 31 4.439928495229221 BM25System
52 Q0 CACM-2844 32 4.439928495229221 BM25System
52 Q0 CACM-2936 33 4.387984688528369 BM25System
52 Q0 CACM-0633 34 4.374421940040157 BM25System
52 Q0 CACM-2798 35 4.29268886036924 BM25System
52 Q0 CACM-3064 36 4.251651078102822 BM25System
52 Q0 CACM-1894 37 4.2490415099406045 BM25System
52 Q0 CACM-1716 38 4.218811436137585 BM25System
52 Q0 CACM-2549 39 4.189008471175056 BM25System
52 Q0 CACM-2057 40 4.189008471175056 BM25System
52 Q0 CACM-2349 41 4.130648165476754 BM25System
52 Q0 CACM-2261 42 4.020424078927018 BM25System
52 Q0 CACM-1261 43 4.020424078927018 BM25System
52 Q0 CACM-0104 44 3.901392513707001 BM25System
52 Q0 CACM-2344 45 3.883052397638765 BM25System
52 Q0 CACM-1435 46 3.838260131238853 BM25System
52 Q0 CACM-1572 47 3.8258780499447 BM25System
52 Q0 CACM-1427 48 3.8013520157120757 BM25System
52 Q0 CACM-1680 49 3.75770468754887 BM25System
52 Q0 CACM-1805 50 3.7418965290847006 BM25System
52 Q0 CACM-1752 51 3.6035132938120875 BM25System
52 Q0 CACM-2077 52 3.581747265707666 BM25System
52 Q0 CACM-2911 53 3.5197874402565947 BM25System
52 Q0 CACM-2272 54 3.4767456501145384 BM25System
52 Q0 CACM-1728 55 3.4179138265332134 BM25System
52 Q0 CACM-2435 56 3.416648674401969 BM25System
52 Q0 CACM-1288 57 3.3777250978550635 BM25System
52 Q0 CACM-2375 58 3.369361852614651 BM25System
52 Q0 CACM-2882 59 3.3221699349072766 BM25System
52 Q0 CACM-3107 60 3.320974657463612 BM25System
52 Q0 CACM-1541 61 3.3024792553124596 BM25System
52 Q0 CACM-2951 62 3.2316439065560143 BM25System
52 Q0 CACM-2542 63 3.196799980884173 BM25System
52 Q0 CACM-2262 64 3.1956931994606452 BM25System
52 Q0 CACM-2829 65 3.171156175455792 BM25System
52 Q0 CACM-1846 66 3.1459205104329264 BM25System
52 Q0 CACM-2686 67 3.01685110047636 BM25System
52 Q0 CACM-1653 68 2.942012356267661 BM25System
