parallel languages languages for parallel computation
10 Q0 CACM-2785 1 -23.03608635155812 SMOOTHQSystem
10 Q0 CACM-1795 2 -26.970851527970808 SMOOTHQSystem
10 Q0 CACM-2700 3 -28.070928490047656 SMOOTHQSystem
10 Q0 CACM-2514 4 -28.092697766526605 SMOOTHQSystem
10 Q0 CACM-2266 5 -28.475746575164074 SMOOTHQSystem
10 Q0 CACM-2895 6 -28.612924430763247 SMOOTHQSystem
10 Q0 CACM-3075 7 -28.87205056142136 SMOOTHQSystem
10 Q0 CACM-3059 8 -29.683547238708304 SMOOTHQSystem
10 Q0 CACM-1536 9 -30.01207172944238 SMOOTHQSystem
10 Q0 CACM-0141 10 -30.548093737398347 SMOOTHQSystem
10 Q0 CACM-2851 11 -30.570113016670188 SMOOTHQSystem
10 Q0 CACM-1302 12 -30.757623537093075 SMOOTHQSystem
10 Q0 CACM-0392 13 -30.757623537093075 SMOOTHQSystem
10 Q0 CACM-2685 14 -30.885906818947518 SMOOTHQSystem
10 Q0 CACM-1158 15 -31.035361903699652 SMOOTHQSystem
10 Q0 CACM-1262 16 -31.140463210921048 SMOOTHQSystem
10 Q0 CACM-2973 17 -31.1809836332813 SMOOTHQSystem
10 Q0 CACM-0249 18 -31.232989679148865 SMOOTHQSystem
10 Q0 CACM-2896 19 -31.304062558149937 SMOOTHQSystem
10 Q0 CACM-2714 20 -31.311226181699297 SMOOTHQSystem
10 Q0 CACM-2182 21 -31.35366898990322 SMOOTHQSystem
10 Q0 CACM-2316 22 -31.476225208985497 SMOOTHQSystem
10 Q0 CACM-2603 23 -31.599395655916283 SMOOTHQSystem
10 Q0 CACM-1466 24 -31.759804422609605 SMOOTHQSystem
10 Q0 CACM-3073 25 -31.81056122536311 SMOOTHQSystem
10 Q0 CACM-2326 26 -31.85831357373889 SMOOTHQSystem
10 Q0 CACM-1216 27 -31.85831357373889 SMOOTHQSystem
10 Q0 CACM-1459 28 -31.968342682925616 SMOOTHQSystem
10 Q0 CACM-1601 29 -31.977897891254564 SMOOTHQSystem
10 Q0 CACM-1138 30 -32.007511669041875 SMOOTHQSystem
10 Q0 CACM-1102 31 -32.007511669041875 SMOOTHQSystem
10 Q0 CACM-1828 32 -32.03064203315454 SMOOTHQSystem
10 Q0 CACM-3156 33 -32.06503071451327 SMOOTHQSystem
10 Q0 CACM-1142 34 -32.12052026199357 SMOOTHQSystem
10 Q0 CACM-0950 35 -32.1647084769675 SMOOTHQSystem
10 Q0 CACM-2814 36 -32.2273473249856 SMOOTHQSystem
10 Q0 CACM-0463 37 -32.2273473249856 SMOOTHQSystem
10 Q0 CACM-2289 38 -32.23928371853341 SMOOTHQSystem
10 Q0 CACM-2842 39 -32.250824716799094 SMOOTHQSystem
10 Q0 CACM-2557 40 -32.34260207279116 SMOOTHQSystem
10 Q0 CACM-1309 41 -32.405668791441 SMOOTHQSystem
10 Q0 CACM-0651 42 -32.42490204407455 SMOOTHQSystem
10 Q0 CACM-2295 43 -32.47131052213284 SMOOTHQSystem
10 Q0 CACM-1468 44 -32.49195784214863 SMOOTHQSystem
10 Q0 CACM-0920 45 -32.51663725463977 SMOOTHQSystem
10 Q0 CACM-0762 46 -32.51663725463977 SMOOTHQSystem
10 Q0 CACM-1569 47 -32.532605987869495 SMOOTHQSystem
10 Q0 CACM-2342 48 -32.56452314222785 SMOOTHQSystem
10 Q0 CACM-2865 49 -32.585513520735965 SMOOTHQSystem
10 Q0 CACM-0628 50 -32.60423680980041 SMOOTHQSystem
10 Q0 CACM-2401 51 -32.624269029675844 SMOOTHQSystem
10 Q0 CACM-1098 52 -32.667436019038 SMOOTHQSystem
10 Q0 CACM-1703 53 -32.70167669975713 SMOOTHQSystem
10 Q0 CACM-3077 54 -32.74753024724807 SMOOTHQSystem
10 Q0 CACM-2470 55 -32.77489046841076 SMOOTHQSystem
10 Q0 CACM-2080 56 -32.847523668479326 SMOOTHQSystem
10 Q0 CACM-2265 57 -32.871901108374985 SMOOTHQSystem
10 Q0 CACM-1366 58 -32.90347463970895 SMOOTHQSystem
10 Q0 CACM-2705 59 -32.90510480612652 SMOOTHQSystem
10 Q0 CACM-2782 60 -32.919714715122666 SMOOTHQSystem
10 Q0 CACM-3044 61 -32.93117127858978 SMOOTHQSystem
10 Q0 CACM-2175 62 -32.9420555052992 SMOOTHQSystem
10 Q0 CACM-2195 63 -33.00610227597419 SMOOTHQSystem
10 Q0 CACM-1846 64 -33.05789598087212 SMOOTHQSystem
10 Q0 CACM-2570 65 -33.133064900733764 SMOOTHQSystem
10 Q0 CACM-2661 66 -33.190821520533746 SMOOTHQSystem
10 Q0 CACM-1678 67 -33.23251198200593 SMOOTHQSystem
10 Q0 CACM-1306 68 -33.25302255406568 SMOOTHQSystem
10 Q0 CACM-2727 69 -33.31576602564082 SMOOTHQSystem
10 Q0 CACM-2081 70 -33.33448880058295 SMOOTHQSystem
10 Q0 CACM-1923 71 -33.371681589620025 SMOOTHQSystem
10 Q0 CACM-1852 72 -33.371681589620025 SMOOTHQSystem
10 Q0 CACM-1008 73 -33.39455602983822 SMOOTHQSystem
10 Q0 CACM-2433 74 -33.42011460476144 SMOOTHQSystem
10 Q0 CACM-2317 75 -33.47252800464145 SMOOTHQSystem
10 Q0 CACM-2647 76 -33.536917332571896 SMOOTHQSystem
10 Q0 CACM-2740 77 -33.543016883619025 SMOOTHQSystem
10 Q0 CACM-2406 78 -33.550062483520044 SMOOTHQSystem
10 Q0 CACM-3148 79 -33.57177158076508 SMOOTHQSystem
10 Q0 CACM-1496 80 -33.61446129096903 SMOOTHQSystem
10 Q0 CACM-1200 81 -33.63593576093497 SMOOTHQSystem
10 Q0 CACM-1467 82 -33.63962295087199 SMOOTHQSystem
10 Q0 CACM-0689 83 -33.63962295087199 SMOOTHQSystem
10 Q0 CACM-2838 84 -33.69178689531549 SMOOTHQSystem
10 Q0 CACM-1554 85 -33.70276278306735 SMOOTHQSystem
10 Q0 CACM-1471 86 -33.70276278306735 SMOOTHQSystem
10 Q0 CACM-3150 87 -33.71316940524672 SMOOTHQSystem
10 Q0 CACM-1485 88 -33.76846526744258 SMOOTHQSystem
10 Q0 CACM-2084 89 -33.78397236075826 SMOOTHQSystem
10 Q0 CACM-2645 90 -33.80241487506497 SMOOTHQSystem
10 Q0 CACM-1835 91 -33.939556246659215 SMOOTHQSystem
10 Q0 CACM-1603 92 -33.9487418700221 SMOOTHQSystem
10 Q0 CACM-1341 93 -33.9487418700221 SMOOTHQSystem
10 Q0 CACM-2931 94 -33.960772138383845 SMOOTHQSystem
10 Q0 CACM-2305 95 -33.98869360153024 SMOOTHQSystem
10 Q0 CACM-2411 96 -34.00250066854165 SMOOTHQSystem
10 Q0 CACM-1960 97 -34.00553914247886 SMOOTHQSystem
10 Q0 CACM-2710 98 -34.01620722597767 SMOOTHQSystem
10 Q0 CACM-3105 99 -34.10945384276281 SMOOTHQSystem
10 Q0 CACM-2941 100 -34.160729435338645 SMOOTHQSystem
