setl very high level languages
11 Q0 CACM-2699 1 -19.55270051075415 SMOOTHQSystem
11 Q0 CACM-1923 2 -25.238538710695188 SMOOTHQSystem
11 Q0 CACM-2906 3 -26.98168054972122 SMOOTHQSystem
11 Q0 CACM-3148 4 -27.028560477656814 SMOOTHQSystem
11 Q0 CACM-2717 5 -27.10406557373025 SMOOTHQSystem
11 Q0 CACM-3171 6 -27.14951791087216 SMOOTHQSystem
11 Q0 CACM-3150 7 -27.805300661600192 SMOOTHQSystem
11 Q0 CACM-3077 8 -28.98709339570167 SMOOTHQSystem
11 Q0 CACM-2198 9 -29.048574983657122 SMOOTHQSystem
11 Q0 CACM-2320 10 -29.094133789611885 SMOOTHQSystem
11 Q0 CACM-2527 11 -29.37760547610148 SMOOTHQSystem
11 Q0 CACM-2081 12 -29.735555537960003 SMOOTHQSystem
11 Q0 CACM-0724 13 -29.908930563645832 SMOOTHQSystem
11 Q0 CACM-2316 14 -30.10657910800145 SMOOTHQSystem
11 Q0 CACM-2003 15 -30.159559649772973 SMOOTHQSystem
11 Q0 CACM-1860 16 -30.33795209779875 SMOOTHQSystem
11 Q0 CACM-2246 17 -30.413138989090207 SMOOTHQSystem
11 Q0 CACM-3080 18 -30.76855783255094 SMOOTHQSystem
11 Q0 CACM-2716 19 -30.911654231424173 SMOOTHQSystem
11 Q0 CACM-2705 20 -31.07984396830807 SMOOTHQSystem
11 Q0 CACM-1835 21 -31.217144803206185 SMOOTHQSystem
11 Q0 CACM-0265 22 -31.460856772672045 SMOOTHQSystem
11 Q0 CACM-2091 23 -31.696783354106067 SMOOTHQSystem
11 Q0 CACM-1552 24 -31.71168966426903 SMOOTHQSystem
11 Q0 CACM-2898 25 -31.784508994800085 SMOOTHQSystem
11 Q0 CACM-2593 26 -31.82689071703065 SMOOTHQSystem
11 Q0 CACM-2826 27 -31.868341420148703 SMOOTHQSystem
11 Q0 CACM-1861 28 -31.870943091259306 SMOOTHQSystem
11 Q0 CACM-1676 29 -31.974613804156313 SMOOTHQSystem
11 Q0 CACM-2034 30 -32.37402930669778 SMOOTHQSystem
11 Q0 CACM-2542 31 -32.38986024530671 SMOOTHQSystem
11 Q0 CACM-0731 32 -32.659918927436294 SMOOTHQSystem
11 Q0 CACM-1223 33 -32.88478427810971 SMOOTHQSystem
11 Q0 CACM-2398 34 -32.982308243032485 SMOOTHQSystem
11 Q0 CACM-1769 35 -33.00299652035292 SMOOTHQSystem
11 Q0 CACM-3101 36 -33.1104329775698 SMOOTHQSystem
11 Q0 CACM-1872 37 -33.38570056874666 SMOOTHQSystem
11 Q0 CACM-1788 38 -33.44708342401039 SMOOTHQSystem
11 Q0 CACM-1425 39 -33.709710328051344 SMOOTHQSystem
11 Q0 CACM-0795 40 -33.79881254066447 SMOOTHQSystem
11 Q0 CACM-1472 41 -33.831562819272946 SMOOTHQSystem
11 Q0 CACM-1641 42 -33.87659607358831 SMOOTHQSystem
11 Q0 CACM-1903 43 -33.88529776720711 SMOOTHQSystem
11 Q0 CACM-3123 44 -34.0383969759157 SMOOTHQSystem
11 Q0 CACM-0249 45 -34.064633205173244 SMOOTHQSystem
11 Q0 CACM-1642 46 -34.16049419041546 SMOOTHQSystem
11 Q0 CACM-2603 47 -34.24783619355696 SMOOTHQSystem
11 Q0 CACM-3057 48 -34.28301509075957 SMOOTHQSystem
11 Q0 CACM-0281 49 -34.28761177293261 SMOOTHQSystem
11 Q0 CACM-1466 50 -34.32804057690362 SMOOTHQSystem
11 Q0 CACM-1459 51 -34.43230970706163 SMOOTHQSystem
11 Q0 CACM-1138 52 -34.45189420011975 SMOOTHQSystem
11 Q0 CACM-1102 53 -34.45189420011975 SMOOTHQSystem
11 Q0 CACM-1142 54 -34.508398496595596 SMOOTHQSystem
11 Q0 CACM-2867 55 -34.54079605427903 SMOOTHQSystem
11 Q0 CACM-2493 56 -34.55907249528276 SMOOTHQSystem
11 Q0 CACM-2814 57 -34.561812028091616 SMOOTHQSystem
11 Q0 CACM-0463 58 -34.561812028091616 SMOOTHQSystem
11 Q0 CACM-1627 59 -34.58238475868474 SMOOTHQSystem
11 Q0 CACM-2708 60 -34.585059669313054 SMOOTHQSystem
11 Q0 CACM-0367 61 -34.63504346034379 SMOOTHQSystem
11 Q0 CACM-2002 62 -34.65614861681714 SMOOTHQSystem
11 Q0 CACM-0651 63 -34.660589387636094 SMOOTHQSystem
11 Q0 CACM-0111 64 -34.6825860556096 SMOOTHQSystem
11 Q0 CACM-2295 65 -34.683793626665235 SMOOTHQSystem
11 Q0 CACM-0920 66 -34.706456992918696 SMOOTHQSystem
11 Q0 CACM-0762 67 -34.706456992918696 SMOOTHQSystem
11 Q0 CACM-0628 68 -34.75025677049902 SMOOTHQSystem
11 Q0 CACM-2922 69 -34.75878448723865 SMOOTHQSystem
11 Q0 CACM-1720 70 -34.75878448723865 SMOOTHQSystem
11 Q0 CACM-2621 71 -34.77121658258256 SMOOTHQSystem
11 Q0 CACM-1098 72 -34.78185637511781 SMOOTHQSystem
11 Q0 CACM-1462 73 -34.79216482473478 SMOOTHQSystem
11 Q0 CACM-1703 74 -34.79897671547738 SMOOTHQSystem
11 Q0 CACM-0755 75 -34.832749795532095 SMOOTHQSystem
11 Q0 CACM-0479 76 -34.85566173179862 SMOOTHQSystem
11 Q0 CACM-2985 77 -34.89060412501567 SMOOTHQSystem
11 Q0 CACM-1366 78 -34.89987568545329 SMOOTHQSystem
11 Q0 CACM-1544 79 -34.89991860172399 SMOOTHQSystem
11 Q0 CACM-2782 80 -34.90799572316015 SMOOTHQSystem
11 Q0 CACM-3119 81 -34.915245823372366 SMOOTHQSystem
11 Q0 CACM-1188 82 -34.943713500856525 SMOOTHQSystem
11 Q0 CACM-2887 83 -34.962718210525054 SMOOTHQSystem
11 Q0 CACM-1613 84 -34.99684828138751 SMOOTHQSystem
11 Q0 CACM-3130 85 -35.0179226936706 SMOOTHQSystem
11 Q0 CACM-2661 86 -35.04354912586569 SMOOTHQSystem
11 Q0 CACM-1113 87 -35.05380886767535 SMOOTHQSystem
11 Q0 CACM-2765 88 -35.056110491256405 SMOOTHQSystem
11 Q0 CACM-2345 89 -35.0623300826297 SMOOTHQSystem
11 Q0 CACM-1678 90 -35.06439435660178 SMOOTHQSystem
11 Q0 CACM-2928 91 -35.068509632320996 SMOOTHQSystem
11 Q0 CACM-1553 92 -35.074649642631655 SMOOTHQSystem
11 Q0 CACM-1306 93 -35.074649642631655 SMOOTHQSystem
11 Q0 CACM-0252 94 -35.08681300760404 SMOOTHQSystem
11 Q0 CACM-3092 95 -35.09252119370827 SMOOTHQSystem
11 Q0 CACM-1179 96 -35.10007961762231 SMOOTHQSystem
11 Q0 CACM-2819 97 -35.10757889495585 SMOOTHQSystem
11 Q0 CACM-2355 98 -35.129730745988994 SMOOTHQSystem
11 Q0 CACM-1693 99 -35.129730745988994 SMOOTHQSystem
11 Q0 CACM-1852 100 -35.13397916040883 SMOOTHQSystem
