code optimization for space efficiency
13 Q0 CACM-1947 1 -21.55753950213985 SMOOTHQSystem
13 Q0 CACM-2559 2 -23.7688196879228 SMOOTHQSystem
13 Q0 CACM-2944 3 -24.36397577685284 SMOOTHQSystem
13 Q0 CACM-1886 4 -24.386094736830337 SMOOTHQSystem
13 Q0 CACM-1795 5 -24.386534138236705 SMOOTHQSystem
13 Q0 CACM-2748 6 -24.98978193437786 SMOOTHQSystem
13 Q0 CACM-2495 7 -25.006443665545326 SMOOTHQSystem
13 Q0 CACM-2491 8 -25.13152415329799 SMOOTHQSystem
13 Q0 CACM-2680 9 -25.991904995667554 SMOOTHQSystem
13 Q0 CACM-3080 10 -26.233129559561362 SMOOTHQSystem
13 Q0 CACM-2904 11 -26.318161185422156 SMOOTHQSystem
13 Q0 CACM-3054 12 -26.39029710816513 SMOOTHQSystem
13 Q0 CACM-2537 13 -26.418390085853268 SMOOTHQSystem
13 Q0 CACM-1195 14 -26.6636554295886 SMOOTHQSystem
13 Q0 CACM-2253 15 -26.81036870105065 SMOOTHQSystem
13 Q0 CACM-3171 16 -26.907109658653724 SMOOTHQSystem
13 Q0 CACM-2033 17 -26.9420463121521 SMOOTHQSystem
13 Q0 CACM-2374 18 -27.075466578919162 SMOOTHQSystem
13 Q0 CACM-1564 19 -27.103559624266694 SMOOTHQSystem
13 Q0 CACM-2929 20 -27.176742672893447 SMOOTHQSystem
13 Q0 CACM-3083 21 -27.272476748552485 SMOOTHQSystem
13 Q0 CACM-1901 22 -27.28986305348414 SMOOTHQSystem
13 Q0 CACM-2524 23 -27.45163236788545 SMOOTHQSystem
13 Q0 CACM-2716 24 -27.497677342469586 SMOOTHQSystem
13 Q0 CACM-1651 25 -27.503319711429064 SMOOTHQSystem
13 Q0 CACM-1223 26 -27.604153085195925 SMOOTHQSystem
13 Q0 CACM-2423 27 -27.629102470156866 SMOOTHQSystem
13 Q0 CACM-1807 28 -27.697981214887598 SMOOTHQSystem
13 Q0 CACM-2701 29 -27.806298576178797 SMOOTHQSystem
13 Q0 CACM-2856 30 -27.879317462962582 SMOOTHQSystem
13 Q0 CACM-2858 31 -27.956260806283865 SMOOTHQSystem
13 Q0 CACM-1234 32 -27.972371871805187 SMOOTHQSystem
13 Q0 CACM-3005 33 -27.980837065435367 SMOOTHQSystem
13 Q0 CACM-2433 34 -28.265301294397872 SMOOTHQSystem
13 Q0 CACM-2464 35 -28.39202820869245 SMOOTHQSystem
13 Q0 CACM-1542 36 -28.42811687573853 SMOOTHQSystem
13 Q0 CACM-2734 37 -28.627684578485916 SMOOTHQSystem
13 Q0 CACM-1235 38 -28.755039833994466 SMOOTHQSystem
13 Q0 CACM-2722 39 -28.835593362628323 SMOOTHQSystem
13 Q0 CACM-0164 40 -28.932837435285574 SMOOTHQSystem
13 Q0 CACM-0267 41 -28.98142183749181 SMOOTHQSystem
13 Q0 CACM-2611 42 -29.067108157009095 SMOOTHQSystem
13 Q0 CACM-1231 43 -29.067108157009095 SMOOTHQSystem
13 Q0 CACM-0117 44 -29.07198221874155 SMOOTHQSystem
13 Q0 CACM-2508 45 -29.19396776256492 SMOOTHQSystem
13 Q0 CACM-2897 46 -29.248326008722593 SMOOTHQSystem
13 Q0 CACM-1969 47 -29.267664760446575 SMOOTHQSystem
13 Q0 CACM-2835 48 -29.279562148366274 SMOOTHQSystem
13 Q0 CACM-1655 49 -29.33609792550393 SMOOTHQSystem
13 Q0 CACM-0149 50 -29.368831309862212 SMOOTHQSystem
13 Q0 CACM-1756 51 -29.43375524257005 SMOOTHQSystem
13 Q0 CACM-0797 52 -29.454664155584425 SMOOTHQSystem
13 Q0 CACM-2745 53 -29.471359234775775 SMOOTHQSystem
13 Q0 CACM-2964 54 -29.485859036446122 SMOOTHQSystem
13 Q0 CACM-1362 55 -29.503107614076697 SMOOTHQSystem
13 Q0 CACM-0195 56 -29.514855414083158 SMOOTHQSystem
13 Q0 CACM-0048 57 -29.526464803714703 SMOOTHQSystem
13 Q0 CACM-2711 58 -29.527303439025722 SMOOTHQSystem
13 Q0 CACM-1289 59 -29.571580652327818 SMOOTHQSystem
13 Q0 CACM-2133 60 -29.57480063202368 SMOOTHQSystem
13 Q0 CACM-2616 61 -29.602748087839096 SMOOTHQSystem
13 Q0 CACM-2533 62 -29.625214885562656 SMOOTHQSystem
13 Q0 CACM-1414 63 -29.625214885562656 SMOOTHQSystem
13 Q0 CACM-1064 64 -29.625214885562656 SMOOTHQSystem
13 Q0 CACM-0230 65 -29.625214885562656 SMOOTHQSystem
13 Q0 CACM-1992 66 -29.650973948232405 SMOOTHQSystem
13 Q0 CACM-1187 67 -29.676075379312273 SMOOTHQSystem
13 Q0 CACM-2645 68 -29.679654573180265 SMOOTHQSystem
13 Q0 CACM-1369 69 -29.684084161083824 SMOOTHQSystem
13 Q0 CACM-3129 70 -29.692741320057003 SMOOTHQSystem
13 Q0 CACM-2736 71 -29.734918417305217 SMOOTHQSystem
13 Q0 CACM-2892 72 -29.74594812762289 SMOOTHQSystem
13 Q0 CACM-2931 73 -29.760410459080067 SMOOTHQSystem
13 Q0 CACM-1708 74 -29.760410459080067 SMOOTHQSystem
13 Q0 CACM-1232 75 -29.770520519384874 SMOOTHQSystem
13 Q0 CACM-2290 76 -29.778866713134512 SMOOTHQSystem
13 Q0 CACM-2078 77 -29.79884521515129 SMOOTHQSystem
13 Q0 CACM-1465 78 -29.802560781312405 SMOOTHQSystem
13 Q0 CACM-2836 79 -29.812821271470995 SMOOTHQSystem
13 Q0 CACM-0066 80 -29.81454004253827 SMOOTHQSystem
13 Q0 CACM-2107 81 -29.856667604289825 SMOOTHQSystem
13 Q0 CACM-1275 82 -29.856667604289825 SMOOTHQSystem
13 Q0 CACM-2411 83 -29.86692240731937 SMOOTHQSystem
13 Q0 CACM-2126 84 -29.900629185791505 SMOOTHQSystem
