distributed computing structures and algorithms
23 Q0 CACM-3148 1 -23.357012988501854 SMOOTHQSystem
23 Q0 CACM-3137 2 -24.165371051304778 SMOOTHQSystem
23 Q0 CACM-2849 3 -24.27645479714948 SMOOTHQSystem
23 Q0 CACM-2081 4 -25.044715837795195 SMOOTHQSystem
23 Q0 CACM-2276 5 -25.377703785166666 SMOOTHQSystem
23 Q0 CACM-2406 6 -25.38473955093736 SMOOTHQSystem
23 Q0 CACM-1873 7 -25.51260835840952 SMOOTHQSystem
23 Q0 CACM-2630 8 -26.129892573684163 SMOOTHQSystem
23 Q0 CACM-3141 9 -26.30340903900326 SMOOTHQSystem
23 Q0 CACM-3166 10 -26.32799454474739 SMOOTHQSystem
23 Q0 CACM-1411 11 -26.531381899274784 SMOOTHQSystem
23 Q0 CACM-2890 12 -26.586516746182248 SMOOTHQSystem
23 Q0 CACM-2832 13 -26.653003273935624 SMOOTHQSystem
23 Q0 CACM-2454 14 -26.699394172583453 SMOOTHQSystem
23 Q0 CACM-2373 15 -26.73309277863907 SMOOTHQSystem
23 Q0 CACM-3124 16 -26.7591960187077 SMOOTHQSystem
23 Q0 CACM-2216 17 -26.766291522356706 SMOOTHQSystem
23 Q0 CACM-2834 18 -26.87477779879602 SMOOTHQSystem
23 Q0 CACM-3025 19 -26.906793008223033 SMOOTHQSystem
23 Q0 CACM-2130 20 -26.923710096819185 SMOOTHQSystem
23 Q0 CACM-2578 21 -26.99846047889249 SMOOTHQSystem
23 Q0 CACM-2433 22 -27.04095678997989 SMOOTHQSystem
23 Q0 CACM-2766 23 -27.05247231363809 SMOOTHQSystem
23 Q0 CACM-2169 24 -27.17941090099631 SMOOTHQSystem
23 Q0 CACM-3086 25 -27.265011156086715 SMOOTHQSystem
23 Q0 CACM-2838 26 -27.346440071541807 SMOOTHQSystem
23 Q0 CACM-2963 27 -27.44460558621498 SMOOTHQSystem
23 Q0 CACM-3043 28 -27.502197474174036 SMOOTHQSystem
23 Q0 CACM-0052 29 -27.502197474174036 SMOOTHQSystem
23 Q0 CACM-2665 30 -27.51233144135002 SMOOTHQSystem
23 Q0 CACM-3082 31 -27.519232907875004 SMOOTHQSystem
23 Q0 CACM-0088 32 -27.568652870922264 SMOOTHQSystem
23 Q0 CACM-2949 33 -27.648885045556955 SMOOTHQSystem
23 Q0 CACM-1780 34 -27.68954193941647 SMOOTHQSystem
23 Q0 CACM-1946 35 -27.705986748952057 SMOOTHQSystem
23 Q0 CACM-3156 36 -27.74863411905889 SMOOTHQSystem
23 Q0 CACM-3037 37 -27.754375097828458 SMOOTHQSystem
23 Q0 CACM-2855 38 -27.771227413907003 SMOOTHQSystem
23 Q0 CACM-2114 39 -27.837050115588852 SMOOTHQSystem
23 Q0 CACM-2060 40 -27.85896258525975 SMOOTHQSystem
23 Q0 CACM-3032 41 -27.90215804909556 SMOOTHQSystem
23 Q0 CACM-1810 42 -27.966111126867425 SMOOTHQSystem
23 Q0 CACM-2828 43 -27.987464821796912 SMOOTHQSystem
23 Q0 CACM-2524 44 -27.991417922749683 SMOOTHQSystem
23 Q0 CACM-2883 45 -28.115193991489097 SMOOTHQSystem
23 Q0 CACM-1153 46 -28.13917145361067 SMOOTHQSystem
23 Q0 CACM-2975 47 -28.15446011801841 SMOOTHQSystem
23 Q0 CACM-2484 48 -28.177350764032777 SMOOTHQSystem
23 Q0 CACM-2314 49 -28.22040012965094 SMOOTHQSystem
23 Q0 CACM-2092 50 -28.22921922346678 SMOOTHQSystem
23 Q0 CACM-1831 51 -28.259090901677485 SMOOTHQSystem
23 Q0 CACM-0627 52 -28.259090901677485 SMOOTHQSystem
23 Q0 CACM-1105 53 -28.274032302448358 SMOOTHQSystem
23 Q0 CACM-0072 54 -28.274032302448358 SMOOTHQSystem
23 Q0 CACM-3165 55 -28.2886699602212 SMOOTHQSystem
23 Q0 CACM-0793 56 -28.323143230486295 SMOOTHQSystem
23 Q0 CACM-3164 57 -28.32542531146002 SMOOTHQSystem
23 Q0 CACM-2816 58 -28.378570437595833 SMOOTHQSystem
23 Q0 CACM-0147 59 -28.38438720277919 SMOOTHQSystem
23 Q0 CACM-0830 60 -28.43524541392924 SMOOTHQSystem
23 Q0 CACM-1862 61 -28.459720555866816 SMOOTHQSystem
23 Q0 CACM-2371 62 -28.485844986184823 SMOOTHQSystem
23 Q0 CACM-1134 63 -28.493536327117614 SMOOTHQSystem
23 Q0 CACM-3128 64 -28.498466694432363 SMOOTHQSystem
23 Q0 CACM-2833 65 -28.519591196606935 SMOOTHQSystem
23 Q0 CACM-2197 66 -28.519630208050916 SMOOTHQSystem
23 Q0 CACM-2709 67 -28.55051428309757 SMOOTHQSystem
23 Q0 CACM-2723 68 -28.551596921043654 SMOOTHQSystem
23 Q0 CACM-2032 69 -28.55664561749628 SMOOTHQSystem
23 Q0 CACM-3011 70 -28.57370324122472 SMOOTHQSystem
23 Q0 CACM-0657 71 -28.638684761241134 SMOOTHQSystem
23 Q0 CACM-2926 72 -28.64928354227464 SMOOTHQSystem
23 Q0 CACM-2808 73 -28.65621638399561 SMOOTHQSystem
23 Q0 CACM-0371 74 -28.671174208922388 SMOOTHQSystem
23 Q0 CACM-2594 75 -28.674015190454288 SMOOTHQSystem
23 Q0 CACM-1423 76 -28.67691592959818 SMOOTHQSystem
23 Q0 CACM-1275 77 -28.724727286378805 SMOOTHQSystem
23 Q0 CACM-0481 78 -28.732309712542655 SMOOTHQSystem
23 Q0 CACM-0080 79 -28.732309712542655 SMOOTHQSystem
23 Q0 CACM-1431 80 -28.74510450721533 SMOOTHQSystem
23 Q0 CACM-2900 81 -28.77048126706426 SMOOTHQSystem
23 Q0 CACM-3035 82 -28.775274558103188 SMOOTHQSystem
23 Q0 CACM-1525 83 -28.783248188152026 SMOOTHQSystem
23 Q0 CACM-1224 84 -28.785726643121226 SMOOTHQSystem
23 Q0 CACM-2007 85 -28.81258192616491 SMOOTHQSystem
23 Q0 CACM-2155 86 -28.813250607567394 SMOOTHQSystem
23 Q0 CACM-2934 87 -28.836370069420255 SMOOTHQSystem
23 Q0 CACM-2969 88 -28.84365393587214 SMOOTHQSystem
23 Q0 CACM-2311 89 -28.852682842492204 SMOOTHQSystem
23 Q0 CACM-1952 90 -28.876274957895284 SMOOTHQSystem
23 Q0 CACM-1660 91 -28.876274957895284 SMOOTHQSystem
23 Q0 CACM-1342 92 -28.936054804553006 SMOOTHQSystem
23 Q0 CACM-3158 93 -28.940287944029734 SMOOTHQSystem
23 Q0 CACM-3084 94 -28.95195079724186 SMOOTHQSystem
23 Q0 CACM-2615 95 -28.959802292693798 SMOOTHQSystem
23 Q0 CACM-2325 96 -28.992369156276997 SMOOTHQSystem
23 Q0 CACM-3090 97 -29.016096368929663 SMOOTHQSystem
23 Q0 CACM-2743 98 -29.04306345430921 SMOOTHQSystem
23 Q0 CACM-0804 99 -29.045593027271373 SMOOTHQSystem
23 Q0 CACM-0270 100 -29.045593027271373 SMOOTHQSystem
