concurrency control mechanisms in operating systems
26 Q0 CACM-3105 1 -32.72443853204523 SMOOTHQSystem
26 Q0 CACM-2626 2 -33.03461235994667 SMOOTHQSystem
26 Q0 CACM-2840 3 -33.7801145630027 SMOOTHQSystem
26 Q0 CACM-2632 4 -34.17424352641122 SMOOTHQSystem
26 Q0 CACM-3128 5 -34.64600496698061 SMOOTHQSystem
26 Q0 CACM-2314 6 -34.973827116498555 SMOOTHQSystem
26 Q0 CACM-1677 7 -35.3397263213195 SMOOTHQSystem
26 Q0 CACM-2541 8 -35.47799624892683 SMOOTHQSystem
26 Q0 CACM-2372 9 -35.62855723872275 SMOOTHQSystem
26 Q0 CACM-2080 10 -35.64200942946513 SMOOTHQSystem
26 Q0 CACM-2938 11 -35.71879692386197 SMOOTHQSystem
26 Q0 CACM-1461 12 -35.74418110102352 SMOOTHQSystem
26 Q0 CACM-2939 13 -35.79026182117749 SMOOTHQSystem
26 Q0 CACM-2817 14 -35.830587696232264 SMOOTHQSystem
26 Q0 CACM-1750 15 -35.83883637099797 SMOOTHQSystem
26 Q0 CACM-2320 16 -35.92142726185028 SMOOTHQSystem
26 Q0 CACM-2377 17 -35.99742654810488 SMOOTHQSystem
26 Q0 CACM-2558 18 -36.163752904069995 SMOOTHQSystem
26 Q0 CACM-1680 19 -36.39268384752218 SMOOTHQSystem
26 Q0 CACM-3068 20 -36.656997724229285 SMOOTHQSystem
26 Q0 CACM-3026 21 -36.65809862445614 SMOOTHQSystem
26 Q0 CACM-2036 22 -36.69351091748412 SMOOTHQSystem
26 Q0 CACM-2870 23 -36.70966241151121 SMOOTHQSystem
26 Q0 CACM-1463 24 -36.818751919867786 SMOOTHQSystem
26 Q0 CACM-2578 25 -37.003859487895525 SMOOTHQSystem
26 Q0 CACM-3050 26 -37.33649109448087 SMOOTHQSystem
26 Q0 CACM-2866 27 -37.44477735202683 SMOOTHQSystem
26 Q0 CACM-1754 28 -37.46265966758162 SMOOTHQSystem
26 Q0 CACM-2111 29 -37.46668400750192 SMOOTHQSystem
26 Q0 CACM-2849 30 -37.49055589555468 SMOOTHQSystem
26 Q0 CACM-1462 31 -37.656332407138656 SMOOTHQSystem
26 Q0 CACM-2069 32 -37.70376976415871 SMOOTHQSystem
26 Q0 CACM-2936 33 -37.78049298651475 SMOOTHQSystem
26 Q0 CACM-0696 34 -37.79234766061968 SMOOTHQSystem
26 Q0 CACM-0059 35 -37.793210826437004 SMOOTHQSystem
26 Q0 CACM-1591 36 -37.86286923489215 SMOOTHQSystem
26 Q0 CACM-2844 37 -37.91589330158156 SMOOTHQSystem
26 Q0 CACM-2867 38 -37.94486024745543 SMOOTHQSystem
26 Q0 CACM-1728 39 -37.961751186706245 SMOOTHQSystem
26 Q0 CACM-1247 40 -37.965284432073304 SMOOTHQSystem
26 Q0 CACM-2878 41 -37.975591529476915 SMOOTHQSystem
26 Q0 CACM-0084 42 -37.990107427735644 SMOOTHQSystem
26 Q0 CACM-2716 43 -38.049223009625834 SMOOTHQSystem
26 Q0 CACM-2482 44 -38.083249397848064 SMOOTHQSystem
26 Q0 CACM-2317 45 -38.15244511501062 SMOOTHQSystem
26 Q0 CACM-2151 46 -38.232479509151815 SMOOTHQSystem
26 Q0 CACM-2621 47 -38.23481594061248 SMOOTHQSystem
26 Q0 CACM-0618 48 -38.25071853305573 SMOOTHQSystem
26 Q0 CACM-2985 49 -38.25362274480953 SMOOTHQSystem
26 Q0 CACM-1485 50 -38.261350642247905 SMOOTHQSystem
26 Q0 CACM-0104 51 -38.32027853693086 SMOOTHQSystem
26 Q0 CACM-3025 52 -38.33299058336798 SMOOTHQSystem
26 Q0 CACM-2597 53 -38.34410498623233 SMOOTHQSystem
26 Q0 CACM-0086 54 -38.36823386704561 SMOOTHQSystem
26 Q0 CACM-1341 55 -38.394915417245606 SMOOTHQSystem
26 Q0 CACM-2020 56 -38.48649627270828 SMOOTHQSystem
26 Q0 CACM-2740 57 -38.52246214365733 SMOOTHQSystem
26 Q0 CACM-2319 58 -38.54403535725683 SMOOTHQSystem
26 Q0 CACM-1534 59 -38.54937501893325 SMOOTHQSystem
26 Q0 CACM-1324 60 -38.56902381653148 SMOOTHQSystem
26 Q0 CACM-2138 61 -38.57930586540087 SMOOTHQSystem
26 Q0 CACM-2060 62 -38.581169581739104 SMOOTHQSystem
26 Q0 CACM-2629 63 -38.59593126643494 SMOOTHQSystem
26 Q0 CACM-2321 64 -38.60143780946214 SMOOTHQSystem
26 Q0 CACM-0483 65 -38.607629543544064 SMOOTHQSystem
26 Q0 CACM-2379 66 -38.62575212050689 SMOOTHQSystem
26 Q0 CACM-3064 67 -38.62647596546044 SMOOTHQSystem
26 Q0 CACM-3127 68 -38.64210126713093 SMOOTHQSystem
26 Q0 CACM-0300 69 -38.64855671654007 SMOOTHQSystem
26 Q0 CACM-2424 70 -38.658778273679545 SMOOTHQSystem
26 Q0 CACM-1923 71 -38.66394569621103 SMOOTHQSystem
26 Q0 CACM-2950 72 -38.73145420578989 SMOOTHQSystem
26 Q0 CACM-3183 73 -38.743265511180454 SMOOTHQSystem
26 Q0 CACM-3174 74 -38.744649924672 SMOOTHQSystem
26 Q0 CACM-1476 75 -38.753312183702846 SMOOTHQSystem
26 Q0 CACM-2624 76 -38.76569826783763 SMOOTHQSystem
26 Q0 CACM-1636 77 -38.77038400672653 SMOOTHQSystem
26 Q0 CACM-2949 78 -38.85030987309752 SMOOTHQSystem
26 Q0 CACM-2522 79 -38.8557910045017 SMOOTHQSystem
26 Q0 CACM-0251 80 -38.862122786398515 SMOOTHQSystem
26 Q0 CACM-3141 81 -38.86343463914963 SMOOTHQSystem
26 Q0 CACM-1552 82 -38.87643008173031 SMOOTHQSystem
26 Q0 CACM-3011 83 -38.89161921791383 SMOOTHQSystem
26 Q0 CACM-1290 84 -38.900381354607674 SMOOTHQSystem
26 Q0 CACM-1264 85 -38.92544413460901 SMOOTHQSystem
26 Q0 CACM-1226 86 -38.93282323397682 SMOOTHQSystem
26 Q0 CACM-2342 87 -38.94205394601236 SMOOTHQSystem
26 Q0 CACM-1951 88 -38.95392740482272 SMOOTHQSystem
