memory management aspects of operating systems
27 Q0 CACM-2297 1 -25.03451397625246 SMOOTHQSystem
27 Q0 CACM-2069 2 -25.825076180926814 SMOOTHQSystem
27 Q0 CACM-2319 3 -28.4705742935098 SMOOTHQSystem
27 Q0 CACM-2358 4 -28.491122819650407 SMOOTHQSystem
27 Q0 CACM-3006 5 -28.870518206637172 SMOOTHQSystem
27 Q0 CACM-2902 6 -28.973166502813026 SMOOTHQSystem
27 Q0 CACM-2406 7 -29.259284445404333 SMOOTHQSystem
27 Q0 CACM-2374 8 -29.3219633819309 SMOOTHQSystem
27 Q0 CACM-1892 9 -29.385626962451976 SMOOTHQSystem
27 Q0 CACM-2988 10 -29.71187262721019 SMOOTHQSystem
27 Q0 CACM-1752 11 -29.731287817439 SMOOTHQSystem
27 Q0 CACM-2372 12 -30.141088940199687 SMOOTHQSystem
27 Q0 CACM-1753 13 -30.38064831996179 SMOOTHQSystem
27 Q0 CACM-3000 14 -30.60927024300351 SMOOTHQSystem
27 Q0 CACM-2740 15 -30.659198643282863 SMOOTHQSystem
27 Q0 CACM-1901 16 -30.77625549149904 SMOOTHQSystem
27 Q0 CACM-1728 17 -31.096897040853655 SMOOTHQSystem
27 Q0 CACM-2867 18 -31.20813203041774 SMOOTHQSystem
27 Q0 CACM-3067 19 -31.24797929111501 SMOOTHQSystem
27 Q0 CACM-2379 20 -31.272975252138764 SMOOTHQSystem
27 Q0 CACM-1750 21 -31.364636035383576 SMOOTHQSystem
27 Q0 CACM-2669 22 -31.379791729196263 SMOOTHQSystem
27 Q0 CACM-2314 23 -31.464691325196693 SMOOTHQSystem
27 Q0 CACM-1461 24 -31.567500252140793 SMOOTHQSystem
27 Q0 CACM-3026 25 -31.83872366905479 SMOOTHQSystem
27 Q0 CACM-3050 26 -31.840252074960375 SMOOTHQSystem
27 Q0 CACM-2502 27 -31.846571610924574 SMOOTHQSystem
27 Q0 CACM-3028 28 -31.89069692270742 SMOOTHQSystem
27 Q0 CACM-2345 29 -32.009830515553055 SMOOTHQSystem
27 Q0 CACM-2017 30 -32.12305041262109 SMOOTHQSystem
27 Q0 CACM-2577 31 -32.25465004898564 SMOOTHQSystem
27 Q0 CACM-2624 32 -32.28392490545774 SMOOTHQSystem
27 Q0 CACM-2864 33 -32.39152964081153 SMOOTHQSystem
27 Q0 CACM-2479 34 -32.393242503096154 SMOOTHQSystem
27 Q0 CACM-2357 35 -32.41041441364415 SMOOTHQSystem
27 Q0 CACM-3011 36 -32.4636295064353 SMOOTHQSystem
27 Q0 CACM-2583 37 -32.4780314378787 SMOOTHQSystem
27 Q0 CACM-3068 38 -32.48031687534655 SMOOTHQSystem
27 Q0 CACM-2689 39 -32.53533387371794 SMOOTHQSystem
27 Q0 CACM-2852 40 -32.53666273030367 SMOOTHQSystem
27 Q0 CACM-1751 41 -32.637816430798736 SMOOTHQSystem
27 Q0 CACM-2622 42 -32.65075852339645 SMOOTHQSystem
27 Q0 CACM-1959 43 -32.74472413231069 SMOOTHQSystem
27 Q0 CACM-2582 44 -32.758199384999536 SMOOTHQSystem
27 Q0 CACM-1541 45 -32.78319543286737 SMOOTHQSystem
27 Q0 CACM-2311 46 -32.86125623938996 SMOOTHQSystem
27 Q0 CACM-2481 47 -32.906025580851306 SMOOTHQSystem
27 Q0 CACM-2625 48 -32.94185097250131 SMOOTHQSystem
27 Q0 CACM-0059 49 -32.942048703514985 SMOOTHQSystem
27 Q0 CACM-2407 50 -32.96538059079302 SMOOTHQSystem
27 Q0 CACM-2798 51 -32.99867349584572 SMOOTHQSystem
27 Q0 CACM-2378 52 -33.00833088779713 SMOOTHQSystem
27 Q0 CACM-1725 53 -33.107485003796825 SMOOTHQSystem
27 Q0 CACM-0084 54 -33.14013663803974 SMOOTHQSystem
27 Q0 CACM-2818 55 -33.141883544236244 SMOOTHQSystem
27 Q0 CACM-1698 56 -33.15093501321763 SMOOTHQSystem
27 Q0 CACM-1781 57 -33.23852425779559 SMOOTHQSystem
27 Q0 CACM-2111 58 -33.290003158619186 SMOOTHQSystem
27 Q0 CACM-1912 59 -33.41207094205652 SMOOTHQSystem
27 Q0 CACM-2095 60 -33.41525480095008 SMOOTHQSystem
27 Q0 CACM-2985 61 -33.42213694790534 SMOOTHQSystem
27 Q0 CACM-1657 62 -33.46334129203413 SMOOTHQSystem
27 Q0 CACM-1748 63 -33.466731866505604 SMOOTHQSystem
27 Q0 CACM-2262 64 -33.47361707100957 SMOOTHQSystem
27 Q0 CACM-1462 65 -33.479651558255924 SMOOTHQSystem
27 Q0 CACM-0417 66 -33.50138619242894 SMOOTHQSystem
27 Q0 CACM-1708 67 -33.50328679944471 SMOOTHQSystem
27 Q0 CACM-0086 68 -33.520927680735575 SMOOTHQSystem
27 Q0 CACM-2868 69 -33.52531233117273 SMOOTHQSystem
27 Q0 CACM-2365 70 -33.540169291998446 SMOOTHQSystem
27 Q0 CACM-2681 71 -33.572747329272374 SMOOTHQSystem
27 Q0 CACM-1267 72 -33.58679928290001 SMOOTHQSystem
27 Q0 CACM-1456 73 -33.63583356106451 SMOOTHQSystem
27 Q0 CACM-2967 74 -33.649011123179775 SMOOTHQSystem
27 Q0 CACM-2198 75 -33.70628877908734 SMOOTHQSystem
27 Q0 CACM-2859 76 -33.71770778640381 SMOOTHQSystem
27 Q0 CACM-1810 77 -33.74570259478571 SMOOTHQSystem
27 Q0 CACM-2127 78 -33.75156321945321 SMOOTHQSystem
27 Q0 CACM-1572 79 -33.758664718392254 SMOOTHQSystem
