parallel processors in information retrieval
50 Q0 CACM-3156 1 -23.299839648605257 SMOOTHQSystem
50 Q0 CACM-3075 2 -23.350469378617383 SMOOTHQSystem
50 Q0 CACM-2714 3 -23.386468612490013 SMOOTHQSystem
50 Q0 CACM-2278 4 -23.93771084742487 SMOOTHQSystem
50 Q0 CACM-2114 5 -23.93982979414406 SMOOTHQSystem
50 Q0 CACM-1680 6 -24.2667422993111 SMOOTHQSystem
50 Q0 CACM-0634 7 -24.449543266327304 SMOOTHQSystem
50 Q0 CACM-0651 8 -24.75288556757868 SMOOTHQSystem
50 Q0 CACM-0275 9 -24.75288556757868 SMOOTHQSystem
50 Q0 CACM-2070 10 -24.844275614977082 SMOOTHQSystem
50 Q0 CACM-1811 11 -24.907360258542603 SMOOTHQSystem
50 Q0 CACM-2288 12 -24.94265165840506 SMOOTHQSystem
50 Q0 CACM-1830 13 -24.953039766016435 SMOOTHQSystem
50 Q0 CACM-1927 14 -25.020340483115227 SMOOTHQSystem
50 Q0 CACM-0891 15 -25.025450156851512 SMOOTHQSystem
50 Q0 CACM-2570 16 -25.0560282491902 SMOOTHQSystem
50 Q0 CACM-3134 17 -25.07388797764166 SMOOTHQSystem
50 Q0 CACM-2497 18 -25.09918375939742 SMOOTHQSystem
50 Q0 CACM-2723 19 -25.12218885849005 SMOOTHQSystem
50 Q0 CACM-1699 20 -25.20016723653164 SMOOTHQSystem
50 Q0 CACM-1457 21 -25.218485982276796 SMOOTHQSystem
50 Q0 CACM-0239 22 -25.245637152929742 SMOOTHQSystem
50 Q0 CACM-2175 23 -25.262021284877342 SMOOTHQSystem
50 Q0 CACM-2532 24 -25.316731489377105 SMOOTHQSystem
50 Q0 CACM-1831 25 -25.45143981049587 SMOOTHQSystem
50 Q0 CACM-0292 26 -25.45143981049587 SMOOTHQSystem
50 Q0 CACM-2967 27 -25.461616799947368 SMOOTHQSystem
50 Q0 CACM-2530 28 -25.577245387279714 SMOOTHQSystem
50 Q0 CACM-2976 29 -25.695229098454437 SMOOTHQSystem
50 Q0 CACM-2965 30 -25.695229098454437 SMOOTHQSystem
50 Q0 CACM-2552 31 -25.695229098454437 SMOOTHQSystem
50 Q0 CACM-1681 32 -25.720876626492842 SMOOTHQSystem
50 Q0 CACM-3168 33 -25.75157362360774 SMOOTHQSystem
50 Q0 CACM-3169 34 -25.859456649577524 SMOOTHQSystem
50 Q0 CACM-2781 35 -25.859456649577524 SMOOTHQSystem
50 Q0 CACM-2412 36 -25.911167010251695 SMOOTHQSystem
50 Q0 CACM-2516 37 -26.01050572711316 SMOOTHQSystem
50 Q0 CACM-1935 38 -26.104844024671973 SMOOTHQSystem
50 Q0 CACM-3012 39 -26.26230714176248 SMOOTHQSystem
50 Q0 CACM-1032 40 -26.271713553114886 SMOOTHQSystem
50 Q0 CACM-2990 41 -26.354236906615746 SMOOTHQSystem
50 Q0 CACM-1514 42 -26.465482398726746 SMOOTHQSystem
50 Q0 CACM-2631 43 -26.474416851441077 SMOOTHQSystem
50 Q0 CACM-2140 44 -26.51185460801461 SMOOTHQSystem
50 Q0 CACM-2519 45 -26.54107280243406 SMOOTHQSystem
50 Q0 CACM-1846 46 -26.683591024929818 SMOOTHQSystem
50 Q0 CACM-2882 47 -26.725158971523527 SMOOTHQSystem
50 Q0 CACM-1959 48 -26.788064604120635 SMOOTHQSystem
50 Q0 CACM-2139 49 -26.842450683195807 SMOOTHQSystem
50 Q0 CACM-2865 50 -26.845848666533264 SMOOTHQSystem
50 Q0 CACM-1937 51 -26.864051802045054 SMOOTHQSystem
50 Q0 CACM-2307 52 -26.91956731229938 SMOOTHQSystem
50 Q0 CACM-0655 53 -26.941408602632336 SMOOTHQSystem
50 Q0 CACM-2258 54 -26.97035741119603 SMOOTHQSystem
50 Q0 CACM-1675 55 -26.97035741119603 SMOOTHQSystem
50 Q0 CACM-1627 56 -27.049413560323366 SMOOTHQSystem
50 Q0 CACM-2455 57 -27.069009238640966 SMOOTHQSystem
50 Q0 CACM-0082 58 -27.161799527775152 SMOOTHQSystem
50 Q0 CACM-1359 59 -27.19921985653891 SMOOTHQSystem
50 Q0 CACM-2493 60 -27.211811141180057 SMOOTHQSystem
50 Q0 CACM-1960 61 -27.2293436785287 SMOOTHQSystem
50 Q0 CACM-2561 62 -27.29810197566886 SMOOTHQSystem
50 Q0 CACM-1652 63 -27.298243944680927 SMOOTHQSystem
50 Q0 CACM-2032 64 -27.356319470743955 SMOOTHQSystem
50 Q0 CACM-2711 65 -27.388301407385264 SMOOTHQSystem
50 Q0 CACM-0763 66 -27.412267083006313 SMOOTHQSystem
50 Q0 CACM-2160 67 -27.437931301568188 SMOOTHQSystem
50 Q0 CACM-1236 68 -27.449915613317796 SMOOTHQSystem
50 Q0 CACM-2484 69 -27.489600492067716 SMOOTHQSystem
50 Q0 CACM-0440 70 -27.556772917596895 SMOOTHQSystem
50 Q0 CACM-2623 71 -27.585935002680298 SMOOTHQSystem
50 Q0 CACM-0944 72 -27.585935002680298 SMOOTHQSystem
50 Q0 CACM-2947 73 -27.62227823116956 SMOOTHQSystem
50 Q0 CACM-2846 74 -27.651273211761872 SMOOTHQSystem
50 Q0 CACM-2451 75 -27.71094614116236 SMOOTHQSystem
50 Q0 CACM-0141 76 -27.754180537610203 SMOOTHQSystem
50 Q0 CACM-2645 77 -27.802369721957803 SMOOTHQSystem
