parallel processors and paging algorithms
51 Q0 CACM-3075 1 -21.331267865431798 SMOOTHQSystem
51 Q0 CACM-3156 2 -21.903224379818006 SMOOTHQSystem
51 Q0 CACM-2570 3 -23.783011255736014 SMOOTHQSystem
51 Q0 CACM-2723 4 -24.066562397259187 SMOOTHQSystem
51 Q0 CACM-2714 5 -24.39341201591824 SMOOTHQSystem
51 Q0 CACM-3006 6 -25.186090133938677 SMOOTHQSystem
51 Q0 CACM-2973 7 -25.87560537574676 SMOOTHQSystem
51 Q0 CACM-1811 8 -25.91430366197083 SMOOTHQSystem
51 Q0 CACM-2497 9 -26.106127162825647 SMOOTHQSystem
51 Q0 CACM-1752 10 -26.136283646273277 SMOOTHQSystem
51 Q0 CACM-2175 11 -26.26896468830557 SMOOTHQSystem
51 Q0 CACM-2863 12 -26.570582828582715 SMOOTHQSystem
51 Q0 CACM-2365 13 -26.619199365427463 SMOOTHQSystem
51 Q0 CACM-2266 14 -26.908215446730715 SMOOTHQSystem
51 Q0 CACM-2557 15 -27.011130495030315 SMOOTHQSystem
51 Q0 CACM-2128 16 -27.019552792640667 SMOOTHQSystem
51 Q0 CACM-2450 17 -27.042622511699918 SMOOTHQSystem
51 Q0 CACM-2740 18 -27.08732800586718 SMOOTHQSystem
51 Q0 CACM-1924 19 -27.206761309183705 SMOOTHQSystem
51 Q0 CACM-0950 20 -27.211638749862452 SMOOTHQSystem
51 Q0 CACM-2373 21 -27.261257494787053 SMOOTHQSystem
51 Q0 CACM-1468 22 -27.524135421470163 SMOOTHQSystem
51 Q0 CACM-1810 23 -27.613765571125032 SMOOTHQSystem
51 Q0 CACM-1728 24 -27.631145995193847 SMOOTHQSystem
51 Q0 CACM-2838 25 -27.680487178702432 SMOOTHQSystem
51 Q0 CACM-2289 26 -27.759896441117316 SMOOTHQSystem
51 Q0 CACM-3153 27 -27.77198436616688 SMOOTHQSystem
51 Q0 CACM-2579 28 -27.819488953424223 SMOOTHQSystem
51 Q0 CACM-2085 29 -27.918421410135625 SMOOTHQSystem
51 Q0 CACM-2022 30 -27.918421410135625 SMOOTHQSystem
51 Q0 CACM-2645 31 -27.968307328644563 SMOOTHQSystem
51 Q0 CACM-2498 32 -28.03149116902796 SMOOTHQSystem
51 Q0 CACM-2433 33 -28.047755710821857 SMOOTHQSystem
51 Q0 CACM-3152 34 -28.08591706932025 SMOOTHQSystem
51 Q0 CACM-1957 35 -28.159363196136333 SMOOTHQSystem
51 Q0 CACM-0082 36 -28.16874293120338 SMOOTHQSystem
51 Q0 CACM-2114 37 -28.175760798591256 SMOOTHQSystem
51 Q0 CACM-0763 38 -28.41921048643454 SMOOTHQSystem
51 Q0 CACM-2692 39 -28.456899393524765 SMOOTHQSystem
51 Q0 CACM-1964 40 -28.46530169725233 SMOOTHQSystem
51 Q0 CACM-2522 41 -28.54758948939304 SMOOTHQSystem
51 Q0 CACM-2872 42 -28.700627307187002 SMOOTHQSystem
51 Q0 CACM-0141 43 -28.76112394103843 SMOOTHQSystem
51 Q0 CACM-2277 44 -28.779674114405772 SMOOTHQSystem
51 Q0 CACM-1302 45 -28.86588884088579 SMOOTHQSystem
51 Q0 CACM-0392 46 -28.86588884088579 SMOOTHQSystem
51 Q0 CACM-1825 47 -28.916396851794712 SMOOTHQSystem
51 Q0 CACM-2685 48 -28.930030481813017 SMOOTHQSystem
51 Q0 CACM-1158 49 -29.004758024189083 SMOOTHQSystem
51 Q0 CACM-2068 50 -29.012427037333545 SMOOTHQSystem
51 Q0 CACM-1988 51 -29.042036925577484 SMOOTHQSystem
51 Q0 CACM-1262 52 -29.057308677799778 SMOOTHQSystem
51 Q0 CACM-1884 53 -29.077102421128036 SMOOTHQSystem
51 Q0 CACM-2669 54 -29.120831172371197 SMOOTHQSystem
51 Q0 CACM-2017 55 -29.12765106367126 SMOOTHQSystem
51 Q0 CACM-1665 56 -29.131905394703118 SMOOTHQSystem
51 Q0 CACM-2896 57 -29.139108351414222 SMOOTHQSystem
51 Q0 CACM-2182 58 -29.163911567290864 SMOOTHQSystem
51 Q0 CACM-2700 59 -29.182112166958294 SMOOTHQSystem
51 Q0 CACM-1795 60 -29.26838117972147 SMOOTHQSystem
51 Q0 CACM-2664 61 -29.292413951871485 SMOOTHQSystem
51 Q0 CACM-0303 62 -29.292413951871485 SMOOTHQSystem
51 Q0 CACM-1923 63 -29.33711347556165 SMOOTHQSystem
51 Q0 CACM-2881 64 -29.388739817952285 SMOOTHQSystem
51 Q0 CACM-3073 65 -29.39235768502081 SMOOTHQSystem
51 Q0 CACM-2785 66 -29.42104878236695 SMOOTHQSystem
51 Q0 CACM-2069 67 -29.46393308908254 SMOOTHQSystem
51 Q0 CACM-1684 68 -29.472912836602415 SMOOTHQSystem
51 Q0 CACM-1601 69 -29.476026017966536 SMOOTHQSystem
51 Q0 CACM-0371 70 -29.48098659328419 SMOOTHQSystem
51 Q0 CACM-1828 71 -29.502398088916525 SMOOTHQSystem
51 Q0 CACM-2297 72 -29.544926263094965 SMOOTHQSystem
51 Q0 CACM-2895 73 -29.589469430216447 SMOOTHQSystem
51 Q0 CACM-1389 74 -29.592141026100546 SMOOTHQSystem
51 Q0 CACM-2007 75 -29.622394310526715 SMOOTHQSystem
51 Q0 CACM-1952 76 -29.686087342257085 SMOOTHQSystem
51 Q0 CACM-1660 77 -29.686087342257085 SMOOTHQSystem
51 Q0 CACM-2667 78 -29.72981332326904 SMOOTHQSystem
51 Q0 CACM-1753 79 -29.73591755514032 SMOOTHQSystem
51 Q0 CACM-1852 80 -29.737820593325797 SMOOTHQSystem
51 Q0 CACM-1342 81 -29.745867188914808 SMOOTHQSystem
51 Q0 CACM-1569 82 -29.753380066274 SMOOTHQSystem
51 Q0 CACM-2914 83 -29.76292180186872 SMOOTHQSystem
51 Q0 CACM-2342 84 -29.769338643453178 SMOOTHQSystem
51 Q0 CACM-2016 85 -29.77175893064838 SMOOTHQSystem
51 Q0 CACM-2865 86 -29.779833832707236 SMOOTHQSystem
51 Q0 CACM-2401 87 -29.79921158717718 SMOOTHQSystem
51 Q0 CACM-2325 88 -29.8021815406388 SMOOTHQSystem
51 Q0 CACM-3059 89 -29.818209865988994 SMOOTHQSystem
51 Q0 CACM-0804 90 -29.855405411633175 SMOOTHQSystem
51 Q0 CACM-0270 91 -29.855405411633175 SMOOTHQSystem
51 Q0 CACM-2741 92 -29.85596664284999 SMOOTHQSystem
51 Q0 CACM-2884 93 -29.862775662790895 SMOOTHQSystem
51 Q0 CACM-1025 94 -29.86448535971896 SMOOTHQSystem
51 Q0 CACM-2166 95 -29.881301159568263 SMOOTHQSystem
51 Q0 CACM-3088 96 -29.88960074056746 SMOOTHQSystem
51 Q0 CACM-1796 97 -29.905856066385237 SMOOTHQSystem
51 Q0 CACM-2080 98 -29.91083890657892 SMOOTHQSystem
51 Q0 CACM-2095 99 -29.91842972218961 SMOOTHQSystem
51 Q0 CACM-3070 100 -29.92210464617113 SMOOTHQSystem
