modelling and simulation in agricultural ecosystems
52 Q0 CACM-2721 1 -8.316287239334091 SMOOTHQSystem
52 Q0 CACM-0557 2 -15.436709413564728 SMOOTHQSystem
52 Q0 CACM-0757 3 -15.617538838804546 SMOOTHQSystem
52 Q0 CACM-2749 4 -15.631207917082191 SMOOTHQSystem
52 Q0 CACM-3051 5 -15.671109177248429 SMOOTHQSystem
52 Q0 CACM-1207 6 -15.671109177248429 SMOOTHQSystem
52 Q0 CACM-1208 7 -15.72190583557952 SMOOTHQSystem
52 Q0 CACM-1329 8 -15.770199610217439 SMOOTHQSystem
52 Q0 CACM-2725 9 -15.860179347956839 SMOOTHQSystem
52 Q0 CACM-0238 10 -15.902243310952668 SMOOTHQSystem
52 Q0 CACM-1928 11 -15.90737618867203 SMOOTHQSystem
52 Q0 CACM-2767 12 -15.908107259176806 SMOOTHQSystem
52 Q0 CACM-3070 13 -15.926638650568174 SMOOTHQSystem
52 Q0 CACM-1870 14 -15.981295452182994 SMOOTHQSystem
52 Q0 CACM-1812 15 -15.981295452182994 SMOOTHQSystem
52 Q0 CACM-1030 16 -15.981295452182994 SMOOTHQSystem
52 Q0 CACM-0643 17 -16.018540864659613 SMOOTHQSystem
52 Q0 CACM-0678 18 -16.05441383814446 SMOOTHQSystem
52 Q0 CACM-3061 19 -16.089010731847807 SMOOTHQSystem
52 Q0 CACM-2844 20 -16.089010731847807 SMOOTHQSystem
52 Q0 CACM-1366 21 -16.126514356347037 SMOOTHQSystem
52 Q0 CACM-0633 22 -16.154713986898386 SMOOTHQSystem
52 Q0 CACM-2742 23 -16.162622712288105 SMOOTHQSystem
52 Q0 CACM-2902 24 -16.1735876574655 SMOOTHQSystem
52 Q0 CACM-1894 25 -16.2741015293315 SMOOTHQSystem
52 Q0 CACM-2218 26 -16.2880397735719 SMOOTHQSystem
52 Q0 CACM-1890 27 -16.301779685488533 SMOOTHQSystem
52 Q0 CACM-1716 28 -16.301779685488533 SMOOTHQSystem
52 Q0 CACM-2914 29 -16.328686181521224 SMOOTHQSystem
52 Q0 CACM-2549 30 -16.328686181521224 SMOOTHQSystem
52 Q0 CACM-2057 31 -16.328686181521224 SMOOTHQSystem
52 Q0 CACM-2062 32 -16.35486219286332 SMOOTHQSystem
52 Q0 CACM-1380 33 -16.36768824739184 SMOOTHQSystem
52 Q0 CACM-3048 34 -16.370233084423802 SMOOTHQSystem
52 Q0 CACM-2349 35 -16.380345685703332 SMOOTHQSystem
52 Q0 CACM-1912 36 -16.41734847690192 SMOOTHQSystem
52 Q0 CACM-1637 37 -16.476018598024098 SMOOTHQSystem
52 Q0 CACM-2970 38 -16.487333997193854 SMOOTHQSystem
52 Q0 CACM-2936 39 -16.55605024308079 SMOOTHQSystem
52 Q0 CACM-2798 40 -16.616885131937753 SMOOTHQSystem
52 Q0 CACM-3064 41 -16.6427245529831 SMOOTHQSystem
52 Q0 CACM-2261 42 -16.716278070554353 SMOOTHQSystem
52 Q0 CACM-1261 43 -16.716278070554353 SMOOTHQSystem
52 Q0 CACM-0104 44 -16.79272746293526 SMOOTHQSystem
52 Q0 CACM-1752 45 -16.80085226108025 SMOOTHQSystem
52 Q0 CACM-2077 46 -16.816894837714226 SMOOTHQSystem
52 Q0 CACM-1435 47 -16.832668870055066 SMOOTHQSystem
52 Q0 CACM-1572 48 -16.84045788620974 SMOOTHQSystem
52 Q0 CACM-1427 49 -16.85584510158286 SMOOTHQSystem
52 Q0 CACM-2272 50 -16.89324563617504 SMOOTHQSystem
52 Q0 CACM-2344 51 -16.896905009921063 SMOOTHQSystem
52 Q0 CACM-2435 52 -16.936242180605802 SMOOTHQSystem
52 Q0 CACM-1680 53 -16.94089990677958 SMOOTHQSystem
52 Q0 CACM-1805 54 -16.95014631555547 SMOOTHQSystem
52 Q0 CACM-1288 55 -16.963846582770838 SMOOTHQSystem
52 Q0 CACM-3107 56 -17.00378010168785 SMOOTHQSystem
52 Q0 CACM-1541 57 -17.016719690877288 SMOOTHQSystem
52 Q0 CACM-2911 58 -17.078844555684807 SMOOTHQSystem
52 Q0 CACM-2262 59 -17.090785042719173 SMOOTHQSystem
52 Q0 CACM-1728 60 -17.090785042719173 SMOOTHQSystem
52 Q0 CACM-2375 61 -17.119978453070615 SMOOTHQSystem
52 Q0 CACM-2882 62 -17.148276498667972 SMOOTHQSystem
52 Q0 CACM-2951 63 -17.202387801531174 SMOOTHQSystem
52 Q0 CACM-2686 64 -17.212837381531884 SMOOTHQSystem
52 Q0 CACM-2542 65 -17.22316903690561 SMOOTHQSystem
52 Q0 CACM-2829 66 -17.23845091755164 SMOOTHQSystem
52 Q0 CACM-1846 67 -17.253481329634575 SMOOTHQSystem
52 Q0 CACM-1653 68 -17.2633657729451 SMOOTHQSystem
52 Q0 CACM-0605 69 -17.2633657729451 SMOOTHQSystem
52 Q0 CACM-1484 70 -17.28281864301765 SMOOTHQSystem
52 Q0 CACM-1253 71 -17.28281864301765 SMOOTHQSystem
52 Q0 CACM-1165 72 -17.28281864301765 SMOOTHQSystem
52 Q0 CACM-1426 73 -17.301864221231813 SMOOTHQSystem
52 Q0 CACM-2955 74 -17.329703678981964 SMOOTHQSystem
52 Q0 CACM-1199 75 -17.356712734372252 SMOOTHQSystem
52 Q0 CACM-2734 76 -17.429116989208296 SMOOTHQSystem
52 Q0 CACM-1811 77 -17.445337171105216 SMOOTHQSystem
52 Q0 CACM-1518 78 -17.4573122031774 SMOOTHQSystem
52 Q0 CACM-1856 79 -17.47821256996832 SMOOTHQSystem
52 Q0 CACM-2105 80 -17.488481853908574 SMOOTHQSystem
52 Q0 CACM-1933 81 -17.496106819587204 SMOOTHQSystem
52 Q0 CACM-2091 82 -17.54053091086515 SMOOTHQSystem
52 Q0 CACM-2276 83 -17.54772309501763 SMOOTHQSystem
52 Q0 CACM-2652 84 -17.5759200082366 SMOOTHQSystem
52 Q0 CACM-1674 85 -17.589687209121042 SMOOTHQSystem
52 Q0 CACM-1234 86 -17.59649082559838 SMOOTHQSystem
52 Q0 CACM-1166 87 -17.616590921390397 SMOOTHQSystem
52 Q0 CACM-3042 88 -17.623189824492826 SMOOTHQSystem
52 Q0 CACM-2596 89 -17.661770051306352 SMOOTHQSystem
52 Q0 CACM-2918 90 -17.668037349251335 SMOOTHQSystem
52 Q0 CACM-2452 91 -17.674259820904997 SMOOTHQSystem
52 Q0 CACM-2862 92 -17.686572667066457 SMOOTHQSystem
52 Q0 CACM-1845 93 -17.69266420311591 SMOOTHQSystem
52 Q0 CACM-2967 94 -17.716610796353812 SMOOTHQSystem
52 Q0 CACM-2859 95 -17.73414510819483 SMOOTHQSystem
52 Q0 CACM-2628 96 -17.784700530353643 SMOOTHQSystem
52 Q0 CACM-2890 97 -17.80091032070407 SMOOTHQSystem
52 Q0 CACM-1711 98 -17.80091032070407 SMOOTHQSystem
52 Q0 CACM-2682 99 -17.852816450180146 SMOOTHQSystem
52 Q0 CACM-2535 100 -17.852816450180146 SMOOTHQSystem
