parallel languages languages for parallel computation
10 Q0 CACM-0249 1 0.5076284719461689 TFIDFSystem
10 Q0 CACM-2316 2 0.4490559559523802 TFIDFSystem
10 Q0 CACM-0141 3 0.4280719558902381 TFIDFSystem
10 Q0 CACM-2603 4 0.422004392340791 TFIDFSystem
10 Q0 CACM-1466 5 0.38918182849206284 TFIDFSystem
10 Q0 CACM-1302 6 0.3852647603012143 TFIDFSystem
10 Q0 CACM-0392 7 0.3852647603012143 TFIDFSystem
10 Q0 CACM-1795 8 0.3655088719613373 TFIDFSystem
10 Q0 CACM-2685 9 0.3611857127823884 TFIDFSystem
10 Q0 CACM-1459 10 0.3502636456428565 TFIDFSystem
10 Q0 CACM-1138 11 0.3433957310224084 TFIDFSystem
10 Q0 CACM-1102 12 0.3433957310224084 TFIDFSystem
10 Q0 CACM-1158 13 0.33501283504453416 TFIDFSystem
10 Q0 CACM-1142 14 0.32431819041005233 TFIDFSystem
10 Q0 CACM-1262 15 0.31774413220718706 TFIDFSystem
10 Q0 CACM-2973 16 0.3113250588292641 TFIDFSystem
10 Q0 CACM-2700 17 0.30982865251739067 TFIDFSystem
10 Q0 CACM-2814 18 0.307248811967418 TFIDFSystem
10 Q0 CACM-0463 19 0.307248811967418 TFIDFSystem
10 Q0 CACM-2785 20 0.30679603807875844 TFIDFSystem
10 Q0 CACM-2896 21 0.2926061470642134 TFIDFSystem
10 Q0 CACM-2714 22 0.29155171049821627 TFIDFSystem
10 Q0 CACM-2182 23 0.28538130392682537 TFIDFSystem
10 Q0 CACM-0651 24 0.27798702035147344 TFIDFSystem
10 Q0 CACM-2295 25 0.271522205924695 TFIDFSystem
10 Q0 CACM-0920 26 0.26535124669913374 TFIDFSystem
10 Q0 CACM-0762 27 0.26535124669913374 TFIDFSystem
10 Q0 CACM-0628 28 0.25381423597308445 TFIDFSystem
10 Q0 CACM-2266 29 0.25361400548931434 TFIDFSystem
10 Q0 CACM-1098 30 0.24579904957393442 TFIDFSystem
10 Q0 CACM-1703 31 0.24156113492610795 TFIDFSystem
10 Q0 CACM-3073 32 0.2266263295889496 TFIDFSystem
10 Q0 CACM-2895 33 0.22494652246824584 TFIDFSystem
10 Q0 CACM-3075 34 0.22164585353687974 TFIDFSystem
10 Q0 CACM-1366 35 0.2180064184499107 TFIDFSystem
10 Q0 CACM-2705 36 0.2178256502754083 TFIDFSystem
10 Q0 CACM-2782 37 0.2162121269400349 TFIDFSystem
10 Q0 CACM-1601 38 0.20825122178444017 TFIDFSystem
10 Q0 CACM-1828 39 0.2027709264743233 TFIDFSystem
10 Q0 CACM-3156 40 0.19927487601786947 TFIDFSystem
10 Q0 CACM-0121 41 0.19176299722446072 TFIDFSystem
10 Q0 CACM-0119 42 0.19176299722446072 TFIDFSystem
10 Q0 CACM-0034 43 0.19176299722446072 TFIDFSystem
10 Q0 CACM-0950 44 0.1894744722792857 TFIDFSystem
10 Q0 CACM-2661 45 0.1883137879800304 TFIDFSystem
10 Q0 CACM-1678 46 0.18434928718045082 TFIDFSystem
10 Q0 CACM-1306 47 0.18242898210565445 TFIDFSystem
10 Q0 CACM-1269 48 0.18110949737865736 TFIDFSystem
10 Q0 CACM-2557 49 0.17315270125897272 TFIDFSystem
10 Q0 CACM-1923 50 0.1716978655112042 TFIDFSystem
10 Q0 CACM-1852 51 0.1716978655112042 TFIDFSystem
10 Q0 CACM-0035 52 0.17157741856925432 TFIDFSystem
10 Q0 CACM-3059 53 0.16799908643878148 TFIDFSystem
10 Q0 CACM-2317 54 0.16306501193801515 TFIDFSystem
10 Q0 CACM-0194 55 0.16299854764079164 TFIDFSystem
10 Q0 CACM-1468 56 0.16052698345883928 TFIDFSystem
10 Q0 CACM-2647 57 0.1577764169562417 TFIDFSystem
10 Q0 CACM-1569 58 0.1572509225719242 TFIDFSystem
10 Q0 CACM-2406 59 0.15671751482901858 TFIDFSystem
10 Q0 CACM-2129 60 0.15523671203884915 TFIDFSystem
10 Q0 CACM-1480 61 0.15523671203884915 TFIDFSystem
10 Q0 CACM-3148 62 0.15498391400126396 TFIDFSystem
10 Q0 CACM-2342 63 0.154724803333821 TFIDFSystem
10 Q0 CACM-2865 64 0.15308533521902556 TFIDFSystem
10 Q0 CACM-1496 65 0.15162928382807644 TFIDFSystem
10 Q0 CACM-2401 66 0.15010315336410945 TFIDFSystem
10 Q0 CACM-1467 67 0.14968531865079338 TFIDFSystem
10 Q0 CACM-0689 68 0.14968531865079338 TFIDFSystem
10 Q0 CACM-2514 69 0.14562389928392722 TFIDFSystem
