setl very high level languages
11 Q0 CACM-2906 1 0.6418919509930714 TFIDFSystem
11 Q0 CACM-1923 2 0.31239903310609785 TFIDFSystem
11 Q0 CACM-2316 3 0.2820883159439119 TFIDFSystem
11 Q0 CACM-0249 4 0.25381423597308445 TFIDFSystem
11 Q0 CACM-2603 5 0.2110021961703955 TFIDFSystem
11 Q0 CACM-2699 6 0.19807628080677642 TFIDFSystem
11 Q0 CACM-1466 7 0.19459091424603142 TFIDFSystem
11 Q0 CACM-2527 8 0.19256758529792145 TFIDFSystem
11 Q0 CACM-3148 9 0.1787674028397362 TFIDFSystem
11 Q0 CACM-1459 10 0.17513182282142825 TFIDFSystem
11 Q0 CACM-1872 11 0.1722296280006495 TFIDFSystem
11 Q0 CACM-1138 12 0.1716978655112042 TFIDFSystem
11 Q0 CACM-1102 13 0.1716978655112042 TFIDFSystem
11 Q0 CACM-0795 14 0.17006463490463267 TFIDFSystem
11 Q0 CACM-2717 15 0.1659619863376145 TFIDFSystem
11 Q0 CACM-3171 16 0.16340872500934353 TFIDFSystem
11 Q0 CACM-1142 17 0.16215909520502617 TFIDFSystem
11 Q0 CACM-2814 18 0.153624405983709 TFIDFSystem
11 Q0 CACM-0463 19 0.153624405983709 TFIDFSystem
11 Q0 CACM-3150 20 0.14271345823815224 TFIDFSystem
11 Q0 CACM-0651 21 0.13899351017573672 TFIDFSystem
11 Q0 CACM-2705 22 0.13847462695871116 TFIDFSystem
11 Q0 CACM-2295 23 0.1357611029623475 TFIDFSystem
11 Q0 CACM-3123 24 0.1336222131393542 TFIDFSystem
11 Q0 CACM-0920 25 0.13267562334956687 TFIDFSystem
11 Q0 CACM-0762 26 0.13267562334956687 TFIDFSystem
11 Q0 CACM-2246 27 0.12979100297197174 TFIDFSystem
11 Q0 CACM-0628 28 0.12690711798654222 TFIDFSystem
11 Q0 CACM-1098 29 0.12289952478696721 TFIDFSystem
11 Q0 CACM-1703 30 0.12078056746305398 TFIDFSystem
11 Q0 CACM-1860 31 0.11850312941410551 TFIDFSystem
11 Q0 CACM-1642 32 0.11815016740742901 TFIDFSystem
11 Q0 CACM-3080 33 0.11683314392359637 TFIDFSystem
11 Q0 CACM-0265 34 0.11483251175159293 TFIDFSystem
11 Q0 CACM-1472 35 0.11003559566708163 TFIDFSystem
11 Q0 CACM-1366 36 0.10900320922495535 TFIDFSystem
11 Q0 CACM-2782 37 0.10810606347001744 TFIDFSystem
11 Q0 CACM-1835 38 0.10768141616918551 TFIDFSystem
11 Q0 CACM-3057 39 0.10441177584842563 TFIDFSystem
11 Q0 CACM-1903 40 0.10424424852670891 TFIDFSystem
11 Q0 CACM-1861 41 0.1019775259754344 TFIDFSystem
11 Q0 CACM-2661 42 0.0941568939900152 TFIDFSystem
11 Q0 CACM-1678 43 0.09217464359022541 TFIDFSystem
11 Q0 CACM-1306 44 0.09121449105282722 TFIDFSystem
11 Q0 CACM-3077 45 0.08926229460367192 TFIDFSystem
11 Q0 CACM-2716 46 0.08853682082663053 TFIDFSystem
11 Q0 CACM-1852 47 0.0858489327556021 TFIDFSystem
11 Q0 CACM-2198 48 0.08497253700485863 TFIDFSystem
11 Q0 CACM-2320 49 0.08363438681580573 TFIDFSystem
11 Q0 CACM-2317 50 0.08153250596900757 TFIDFSystem
11 Q0 CACM-2867 51 0.08046068748176169 TFIDFSystem
11 Q0 CACM-2647 52 0.07888820847812085 TFIDFSystem
11 Q0 CACM-2406 53 0.07835875741450929 TFIDFSystem
11 Q0 CACM-1627 54 0.07714272098766842 TFIDFSystem
11 Q0 CACM-1496 55 0.07581464191403822 TFIDFSystem
11 Q0 CACM-1467 56 0.07484265932539669 TFIDFSystem
11 Q0 CACM-0689 57 0.07484265932539669 TFIDFSystem
11 Q0 CACM-2034 58 0.0716159750708859 TFIDFSystem
11 Q0 CACM-1485 59 0.07005272912857131 TFIDFSystem
11 Q0 CACM-2084 60 0.06949675508786836 TFIDFSystem
11 Q0 CACM-0281 61 0.0694961656844726 TFIDFSystem
11 Q0 CACM-2645 62 0.06884112532288847 TFIDFSystem
11 Q0 CACM-0724 63 0.0678272026494059 TFIDFSystem
11 Q0 CACM-2081 64 0.06680230896608383 TFIDFSystem
11 Q0 CACM-2922 65 0.06450727530865377 TFIDFSystem
11 Q0 CACM-1720 66 0.06450727530865377 TFIDFSystem
11 Q0 CACM-2931 67 0.06345355899327111 TFIDFSystem
11 Q0 CACM-2305 68 0.06254707957908152 TFIDFSystem
11 Q0 CACM-1462 69 0.062357032798365304 TFIDFSystem
11 Q0 CACM-2411 70 0.06210348327001002 TFIDFSystem
11 Q0 CACM-0731 71 0.061669311866596195 TFIDFSystem
11 Q0 CACM-2710 72 0.061666134796277555 TFIDFSystem
11 Q0 CACM-2091 73 0.059251564707052756 TFIDFSystem
11 Q0 CACM-1552 74 0.058799262686388215 TFIDFSystem
11 Q0 CACM-3105 75 0.05876906806088197 TFIDFSystem
11 Q0 CACM-2003 76 0.05861658371990389 TFIDFSystem
11 Q0 CACM-0479 77 0.05845971824846748 TFIDFSystem
11 Q0 CACM-2941 78 0.05723262183706806 TFIDFSystem
11 Q0 CACM-2898 79 0.056637525087623944 TFIDFSystem
11 Q0 CACM-2593 80 0.05541513245983351 TFIDFSystem
11 Q0 CACM-2126 81 0.05507290025831078 TFIDFSystem
11 Q0 CACM-3119 82 0.05502091129267527 TFIDFSystem
11 Q0 CACM-2826 83 0.0542443902247666 TFIDFSystem
11 Q0 CACM-1188 84 0.05344888525574169 TFIDFSystem
11 Q0 CACM-2493 85 0.05281708592019919 TFIDFSystem
11 Q0 CACM-2112 86 0.05259213898541389 TFIDFSystem
11 Q0 CACM-2398 87 0.052033481887440544 TFIDFSystem
11 Q0 CACM-2254 88 0.051814148763736176 TFIDFSystem
11 Q0 CACM-2708 89 0.05144521355863557 TFIDFSystem
11 Q0 CACM-1676 90 0.051351356079445715 TFIDFSystem
11 Q0 CACM-0205 91 0.051208135327903 TFIDFSystem
11 Q0 CACM-2148 92 0.05032523644293916 TFIDFSystem
11 Q0 CACM-3130 93 0.04955525785300554 TFIDFSystem
11 Q0 CACM-0990 94 0.049472266333736796 TFIDFSystem
11 Q0 CACM-1457 95 0.049056533003201196 TFIDFSystem
11 Q0 CACM-0367 96 0.04890470918536961 TFIDFSystem
11 Q0 CACM-2192 97 0.048647728561507855 TFIDFSystem
11 Q0 CACM-3101 98 0.04861522395322912 TFIDFSystem
11 Q0 CACM-2765 99 0.0476614263426996 TFIDFSystem
11 Q0 CACM-2345 100 0.0473597717455939 TFIDFSystem
