code optimization for space efficiency
13 Q0 CACM-2491 1 0.39365209521427913 TFIDFSystem
13 Q0 CACM-2748 2 0.3763657790346506 TFIDFSystem
13 Q0 CACM-2464 3 0.36257462707474536 TFIDFSystem
13 Q0 CACM-1795 4 0.3574330502297013 TFIDFSystem
13 Q0 CACM-2897 5 0.26367418531129827 TFIDFSystem
13 Q0 CACM-2495 6 0.2615363782168546 TFIDFSystem
13 Q0 CACM-1655 7 0.24139185979203362 TFIDFSystem
13 Q0 CACM-1756 8 0.21879347291788576 TFIDFSystem
13 Q0 CACM-1947 9 0.21773926527433524 TFIDFSystem
13 Q0 CACM-0797 10 0.21423527556542982 TFIDFSystem
13 Q0 CACM-1362 11 0.20403359577659982 TFIDFSystem
13 Q0 CACM-0195 12 0.20163320053216924 TFIDFSystem
13 Q0 CACM-0048 13 0.19928862843295797 TFIDFSystem
13 Q0 CACM-0164 14 0.19047377155734674 TFIDFSystem
13 Q0 CACM-1289 15 0.19043135605815983 TFIDFSystem
13 Q0 CACM-2611 16 0.18416488994272778 TFIDFSystem
13 Q0 CACM-1231 17 0.18416488994272778 TFIDFSystem
13 Q0 CACM-0267 18 0.18140359195937783 TFIDFSystem
13 Q0 CACM-2533 19 0.18040865310773035 TFIDFSystem
13 Q0 CACM-1414 20 0.18040865310773035 TFIDFSystem
13 Q0 CACM-1064 21 0.18040865310773035 TFIDFSystem
13 Q0 CACM-0230 22 0.18040865310773035 TFIDFSystem
13 Q0 CACM-1992 23 0.17578279020753215 TFIDFSystem
13 Q0 CACM-1187 24 0.17138822045234386 TFIDFSystem
13 Q0 CACM-0117 25 0.16562936657160585 TFIDFSystem
13 Q0 CACM-1232 26 0.1558074731384944 TFIDFSystem
13 Q0 CACM-2745 27 0.15483894789875652 TFIDFSystem
13 Q0 CACM-0066 28 0.14903323517595118 TFIDFSystem
13 Q0 CACM-2835 29 0.1487485649537417 TFIDFSystem
13 Q0 CACM-2508 30 0.14651828581334364 TFIDFSystem
13 Q0 CACM-2711 31 0.14635462198649588 TFIDFSystem
13 Q0 CACM-2107 32 0.14282351704361987 TFIDFSystem
13 Q0 CACM-1275 33 0.14282351704361987 TFIDFSystem
13 Q0 CACM-2904 34 0.13953362233301808 TFIDFSystem
13 Q0 CACM-1652 35 0.1363315389961826 TFIDFSystem
13 Q0 CACM-1969 36 0.13605269396953337 TFIDFSystem
13 Q0 CACM-3080 37 0.13509679810822517 TFIDFSystem
13 Q0 CACM-2834 38 0.13311706442900492 TFIDFSystem
13 Q0 CACM-2680 39 0.13250944447919977 TFIDFSystem
13 Q0 CACM-1369 40 0.12495774742706665 TFIDFSystem
13 Q0 CACM-3054 41 0.12470473671528481 TFIDFSystem
