optimization of intermediate and machine code
17 Q0 CACM-2491 1 0.43181439092145885 TFIDFSystem
17 Q0 CACM-2748 2 0.368275459924025 TFIDFSystem
17 Q0 CACM-2464 3 0.36257462707474536 TFIDFSystem
17 Q0 CACM-1795 4 0.3574330502297013 TFIDFSystem
17 Q0 CACM-2897 5 0.26367418531129827 TFIDFSystem
17 Q0 CACM-2495 6 0.2615363782168546 TFIDFSystem
17 Q0 CACM-1655 7 0.24139185979203362 TFIDFSystem
17 Q0 CACM-1756 8 0.21879347291788576 TFIDFSystem
17 Q0 CACM-0797 9 0.21423527556542982 TFIDFSystem
17 Q0 CACM-1362 10 0.20403359577659982 TFIDFSystem
17 Q0 CACM-0195 11 0.20163320053216924 TFIDFSystem
17 Q0 CACM-0048 12 0.19928862843295797 TFIDFSystem
17 Q0 CACM-1289 13 0.19043135605815983 TFIDFSystem
17 Q0 CACM-2611 14 0.18416488994272778 TFIDFSystem
17 Q0 CACM-1231 15 0.18416488994272778 TFIDFSystem
17 Q0 CACM-2533 16 0.18040865310773035 TFIDFSystem
17 Q0 CACM-1414 17 0.18040865310773035 TFIDFSystem
17 Q0 CACM-1064 18 0.18040865310773035 TFIDFSystem
17 Q0 CACM-0230 19 0.18040865310773035 TFIDFSystem
17 Q0 CACM-1992 20 0.17578279020753215 TFIDFSystem
17 Q0 CACM-1947 21 0.17359590633603245 TFIDFSystem
17 Q0 CACM-1187 22 0.17138822045234386 TFIDFSystem
17 Q0 CACM-2079 23 0.16401727634668364 TFIDFSystem
17 Q0 CACM-0091 24 0.16401727634668364 TFIDFSystem
17 Q0 CACM-0035 25 0.16401727634668364 TFIDFSystem
17 Q0 CACM-2527 26 0.15581641252934947 TFIDFSystem
17 Q0 CACM-1232 27 0.1558074731384944 TFIDFSystem
17 Q0 CACM-1658 28 0.15161004212801277 TFIDFSystem
17 Q0 CACM-0066 29 0.14903323517595118 TFIDFSystem
17 Q0 CACM-2835 30 0.1487485649537417 TFIDFSystem
17 Q0 CACM-2107 31 0.14282351704361987 TFIDFSystem
17 Q0 CACM-1275 32 0.14282351704361987 TFIDFSystem
17 Q0 CACM-0079 33 0.14165128411759043 TFIDFSystem
17 Q0 CACM-2904 34 0.13953362233301808 TFIDFSystem
17 Q0 CACM-1652 35 0.1363315389961826 TFIDFSystem
17 Q0 CACM-3080 36 0.13509679810822517 TFIDFSystem
17 Q0 CACM-2834 37 0.13311706442900492 TFIDFSystem
17 Q0 CACM-0210 38 0.12984701044112454 TFIDFSystem
17 Q0 CACM-3054 39 0.12470473671528481 TFIDFSystem
17 Q0 CACM-1223 40 0.12469756405561083 TFIDFSystem
17 Q0 CACM-1065 41 0.12242015746595988 TFIDFSystem
17 Q0 CACM-2253 42 0.12211574100879524 TFIDFSystem
17 Q0 CACM-2964 43 0.12085820902491512 TFIDFSystem
17 Q0 CACM-3005 44 0.1207552613777607 TFIDFSystem
17 Q0 CACM-1676 45 0.11890029711710554 TFIDFSystem
17 Q0 CACM-2586 46 0.11819877272575438 TFIDFSystem
17 Q0 CACM-1757 47 0.11819877272575438 TFIDFSystem
17 Q0 CACM-0333 48 0.11819877272575438 TFIDFSystem
17 Q0 CACM-1204 49 0.11057304545312506 TFIDFSystem
17 Q0 CACM-2133 50 0.11049893396563668 TFIDFSystem
17 Q0 CACM-1670 51 0.10881791774751991 TFIDFSystem
17 Q0 CACM-2616 52 0.10742951913325788 TFIDFSystem
17 Q0 CACM-2624 53 0.10134400814917038 TFIDFSystem
17 Q0 CACM-2552 54 0.10081660026608462 TFIDFSystem
17 Q0 CACM-3171 55 0.10067834860975179 TFIDFSystem
17 Q0 CACM-3066 56 0.10008071267290151 TFIDFSystem
17 Q0 CACM-2929 57 0.09823629068914203 TFIDFSystem
17 Q0 CACM-1852 58 0.0916567132525585 TFIDFSystem
17 Q0 CACM-1523 59 0.09148492723560316 TFIDFSystem
17 Q0 CACM-0093 60 0.09020432655386518 TFIDFSystem
17 Q0 CACM-1564 61 0.09010917232681545 TFIDFSystem
17 Q0 CACM-2290 62 0.08994099276272753 TFIDFSystem
17 Q0 CACM-1016 63 0.08903795001677112 TFIDFSystem
17 Q0 CACM-1162 64 0.08840647519395714 TFIDFSystem
17 Q0 CACM-2836 65 0.08690927390555694 TFIDFSystem
17 Q0 CACM-1973 66 0.08677884579865511 TFIDFSystem
17 Q0 CACM-1167 67 0.08537885618046545 TFIDFSystem
17 Q0 CACM-0537 68 0.08422508785370242 TFIDFSystem
17 Q0 CACM-2411 69 0.08228644018717625 TFIDFSystem
17 Q0 CACM-1402 70 0.08006127025501553 TFIDFSystem
17 Q0 CACM-0123 71 0.07980600804431545 TFIDFSystem
17 Q0 CACM-2735 72 0.07790820626467473 TFIDFSystem
17 Q0 CACM-2746 73 0.07742430436240966 TFIDFSystem
17 Q0 CACM-2106 74 0.07663102255541776 TFIDFSystem
17 Q0 CACM-1786 75 0.07533548151751379 TFIDFSystem
17 Q0 CACM-1389 76 0.07436468931402121 TFIDFSystem
17 Q0 CACM-3173 77 0.07371536363541671 TFIDFSystem
17 Q0 CACM-1066 78 0.07332116382987972 TFIDFSystem
17 Q0 CACM-1886 79 0.07331997883905655 TFIDFSystem
17 Q0 CACM-2344 80 0.07297099412825063 TFIDFSystem
17 Q0 CACM-2557 81 0.0700298483277975 TFIDFSystem
17 Q0 CACM-2423 82 0.06873712504417331 TFIDFSystem
17 Q0 CACM-1345 83 0.06855528818093755 TFIDFSystem
17 Q0 CACM-1807 84 0.06848275942724813 TFIDFSystem
17 Q0 CACM-2379 85 0.06725888310619402 TFIDFSystem
17 Q0 CACM-2138 86 0.06708625632097816 TFIDFSystem
17 Q0 CACM-2034 87 0.06701781184058042 TFIDFSystem
