distributed computing structures and algorithms
23 Q0 CACM-2578 1 0.27508907258095816 TFIDFSystem
23 Q0 CACM-3148 2 0.2587425187623192 TFIDFSystem
23 Q0 CACM-2975 3 0.23349439869334257 TFIDFSystem
23 Q0 CACM-3137 4 0.22811574000497042 TFIDFSystem
23 Q0 CACM-1831 5 0.21014495882400833 TFIDFSystem
23 Q0 CACM-0627 6 0.21014495882400833 TFIDFSystem
23 Q0 CACM-0371 7 0.20852793403683267 TFIDFSystem
23 Q0 CACM-0793 8 0.1970108988975078 TFIDFSystem
23 Q0 CACM-2849 9 0.19634695569420224 TFIDFSystem
23 Q0 CACM-1105 10 0.19571901057794117 TFIDFSystem
23 Q0 CACM-0072 11 0.19571901057794117 TFIDFSystem
23 Q0 CACM-2007 12 0.1807242094985883 TFIDFSystem
23 Q0 CACM-0147 13 0.17511700946447367 TFIDFSystem
23 Q0 CACM-1873 14 0.1715480287212284 TFIDFSystem
23 Q0 CACM-1952 15 0.16942894640492653 TFIDFSystem
23 Q0 CACM-1660 16 0.16942894640492653 TFIDFSystem
23 Q0 CACM-0830 17 0.16636115899125 TFIDFSystem
23 Q0 CACM-3043 18 0.16600202655747476 TFIDFSystem
23 Q0 CACM-0052 19 0.16600202655747476 TFIDFSystem
23 Q0 CACM-1134 20 0.1659039148610592 TFIDFSystem
23 Q0 CACM-3082 21 0.16318843288700907 TFIDFSystem
23 Q0 CACM-1862 22 0.16230356974756097 TFIDFSystem
23 Q0 CACM-1342 23 0.15946253779287203 TFIDFSystem
23 Q0 CACM-2709 24 0.15662978297441613 TFIDFSystem
23 Q0 CACM-2032 25 0.15566293246222837 TFIDFSystem
23 Q0 CACM-0088 26 0.15529221839247637 TFIDFSystem
23 Q0 CACM-2197 27 0.1527806562164541 TFIDFSystem
23 Q0 CACM-2325 28 0.15060350791549024 TFIDFSystem
23 Q0 CACM-3166 29 0.14512890396072553 TFIDFSystem
23 Q0 CACM-3011 30 0.14466187738369565 TFIDFSystem
23 Q0 CACM-0657 31 0.14328065374364204 TFIDFSystem
23 Q0 CACM-2949 32 0.1432755586359157 TFIDFSystem
23 Q0 CACM-0804 33 0.14267700749888548 TFIDFSystem
23 Q0 CACM-0270 34 0.14267700749888548 TFIDFSystem
23 Q0 CACM-2884 35 0.14161225371158037 TFIDFSystem
23 Q0 CACM-2594 36 0.138253262384216 TFIDFSystem
23 Q0 CACM-1780 37 0.13754453629047908 TFIDFSystem
23 Q0 CACM-1796 38 0.13554315712394124 TFIDFSystem
23 Q0 CACM-2808 39 0.133088927193 TFIDFSystem
23 Q0 CACM-2226 40 0.1322372264623817 TFIDFSystem
23 Q0 CACM-1275 41 0.1313405992650052 TFIDFSystem
23 Q0 CACM-1431 42 0.12866017887184183 TFIDFSystem
23 Q0 CACM-2630 43 0.12498499235403784 TFIDFSystem
23 Q0 CACM-0481 44 0.12323048814166665 TFIDFSystem
23 Q0 CACM-0080 45 0.12323048814166665 TFIDFSystem
23 Q0 CACM-2417 46 0.12322105193085567 TFIDFSystem
23 Q0 CACM-1374 47 0.12322105193085567 TFIDFSystem
23 Q0 CACM-1551 48 0.12138193175278318 TFIDFSystem
23 Q0 CACM-2155 49 0.12008283361371906 TFIDFSystem
23 Q0 CACM-3035 50 0.1179866375824468 TFIDFSystem
23 Q0 CACM-2725 51 0.11786361489038368 TFIDFSystem
23 Q0 CACM-1525 52 0.11703800130037688 TFIDFSystem
23 Q0 CACM-1224 53 0.11674467297631577 TFIDFSystem
23 Q0 CACM-2950 54 0.11535587840335423 TFIDFSystem
23 Q0 CACM-2276 55 0.11488430400985637 TFIDFSystem
23 Q0 CACM-2830 56 0.11295263093661768 TFIDFSystem
23 Q0 CACM-2934 57 0.1109074393275 TFIDFSystem
23 Q0 CACM-2311 58 0.10908928458442622 TFIDFSystem
23 Q0 CACM-1953 59 0.10843452569915299 TFIDFSystem
23 Q0 CACM-1851 60 0.10843452569915299 TFIDFSystem
23 Q0 CACM-1658 61 0.10630835852858135 TFIDFSystem
23 Q0 CACM-3006 62 0.10426396701841634 TFIDFSystem
23 Q0 CACM-2863 63 0.10327097685633618 TFIDFSystem
23 Q0 CACM-2902 64 0.1029441699675503 TFIDFSystem
23 Q0 CACM-1411 65 0.10268930549621766 TFIDFSystem
23 Q0 CACM-3158 66 0.09981669539475 TFIDFSystem
23 Q0 CACM-2433 67 0.09947766670077483 TFIDFSystem
23 Q0 CACM-2903 68 0.09893661103937315 TFIDFSystem
23 Q0 CACM-2615 69 0.09785950528897058 TFIDFSystem
23 Q0 CACM-2283 70 0.0975130626790944 TFIDFSystem
23 Q0 CACM-2273 71 0.0975130626790944 TFIDFSystem
23 Q0 CACM-2505 72 0.09681654080281515 TFIDFSystem
23 Q0 CACM-2406 73 0.09577571756541706 TFIDFSystem
23 Q0 CACM-2146 74 0.09545292755207128 TFIDFSystem
23 Q0 CACM-2832 75 0.09533394349331625 TFIDFSystem
23 Q0 CACM-3061 76 0.09347803939582154 TFIDFSystem
23 Q0 CACM-2454 77 0.09307393047641116 TFIDFSystem
23 Q0 CACM-2477 78 0.09271101124588603 TFIDFSystem
23 Q0 CACM-3090 79 0.09242286610624999 TFIDFSystem
23 Q0 CACM-3124 80 0.09020057730521461 TFIDFSystem
23 Q0 CACM-2743 81 0.08992495080608108 TFIDFSystem
23 Q0 CACM-2954 82 0.08921248251962619 TFIDFSystem
23 Q0 CACM-2576 83 0.08756039951000347 TFIDFSystem
23 Q0 CACM-1153 84 0.08752834127575941 TFIDFSystem
23 Q0 CACM-2756 85 0.08531341486730769 TFIDFSystem
23 Q0 CACM-2574 86 0.08519390222594933 TFIDFSystem
23 Q0 CACM-2834 87 0.08494125693963736 TFIDFSystem
23 Q0 CACM-2025 88 0.08471447320246327 TFIDFSystem
23 Q0 CACM-2766 89 0.08347418432591736 TFIDFSystem
23 Q0 CACM-1924 90 0.08315531111898235 TFIDFSystem
23 Q0 CACM-1050 91 0.0829519574305296 TFIDFSystem
23 Q0 CACM-2819 92 0.08277444709859005 TFIDFSystem
23 Q0 CACM-2810 93 0.0821536587611111 TFIDFSystem
23 Q0 CACM-2942 94 0.08214736795390377 TFIDFSystem
23 Q0 CACM-2362 95 0.08214736795390377 TFIDFSystem
23 Q0 CACM-2272 96 0.08214736795390377 TFIDFSystem
23 Q0 CACM-2767 97 0.08020305155262794 TFIDFSystem
23 Q0 CACM-2426 98 0.07973126889643602 TFIDFSystem
23 Q0 CACM-2222 99 0.07973126889643602 TFIDFSystem
23 Q0 CACM-1349 100 0.07921959951964284 TFIDFSystem
