memory management aspects of operating systems
27 Q0 CACM-1461 1 0.36090839167734473 TFIDFSystem
27 Q0 CACM-2902 2 0.3341308121809602 TFIDFSystem
27 Q0 CACM-2069 3 0.29196415819448834 TFIDFSystem
27 Q0 CACM-2798 4 0.2777127057234173 TFIDFSystem
27 Q0 CACM-3011 5 0.26170956345519153 TFIDFSystem
27 Q0 CACM-2669 6 0.2557981229819133 TFIDFSystem
27 Q0 CACM-2345 7 0.25276275887503724 TFIDFSystem
27 Q0 CACM-2577 8 0.25086357806174686 TFIDFSystem
27 Q0 CACM-2988 9 0.2401818965737187 TFIDFSystem
27 Q0 CACM-3068 10 0.2329987688152541 TFIDFSystem
27 Q0 CACM-2918 11 0.22033656847325186 TFIDFSystem
27 Q0 CACM-2818 12 0.21340917023018866 TFIDFSystem
27 Q0 CACM-0155 13 0.21318278378256184 TFIDFSystem
27 Q0 CACM-2297 14 0.2096313561183193 TFIDFSystem
27 Q0 CACM-2262 15 0.20015750761679985 TFIDFSystem
27 Q0 CACM-2479 16 0.19898102271709234 TFIDFSystem
27 Q0 CACM-2583 17 0.19138702104866606 TFIDFSystem
27 Q0 CACM-2502 18 0.1908301034948111 TFIDFSystem
27 Q0 CACM-2689 19 0.19032022501422158 TFIDFSystem
27 Q0 CACM-2859 20 0.1893015945084557 TFIDFSystem
27 Q0 CACM-2852 21 0.18638573219608395 TFIDFSystem
27 Q0 CACM-2362 22 0.18088236199732521 TFIDFSystem
27 Q0 CACM-2358 23 0.17908503019826819 TFIDFSystem
27 Q0 CACM-2740 24 0.17646427416971758 TFIDFSystem
27 Q0 CACM-2319 25 0.17433819857731134 TFIDFSystem
27 Q0 CACM-2481 26 0.1728517803984796 TFIDFSystem
27 Q0 CACM-2407 27 0.17179097832170234 TFIDFSystem
27 Q0 CACM-1959 28 0.1669546353828789 TFIDFSystem
27 Q0 CACM-1752 29 0.16388782289008932 TFIDFSystem
27 Q0 CACM-2311 30 0.1636742455010487 TFIDFSystem
27 Q0 CACM-3006 31 0.16095544157570477 TFIDFSystem
27 Q0 CACM-2372 32 0.1573143636370471 TFIDFSystem
27 Q0 CACM-2796 33 0.1560173696472147 TFIDFSystem
27 Q0 CACM-3000 34 0.15453923141654433 TFIDFSystem
27 Q0 CACM-0059 35 0.15431369595747696 TFIDFSystem
27 Q0 CACM-2111 36 0.15121960603531864 TFIDFSystem
27 Q0 CACM-1901 37 0.15120288214578284 TFIDFSystem
27 Q0 CACM-1728 38 0.1502917079256846 TFIDFSystem
27 Q0 CACM-2928 39 0.1501664892053266 TFIDFSystem
27 Q0 CACM-1924 40 0.14919716058552873 TFIDFSystem
27 Q0 CACM-2867 41 0.1485140937986689 TFIDFSystem
27 Q0 CACM-2406 42 0.14682375314726284 TFIDFSystem
27 Q0 CACM-1753 43 0.14631840110478786 TFIDFSystem
27 Q0 CACM-1755 44 0.14245064185180473 TFIDFSystem
27 Q0 CACM-0084 45 0.13925870122991824 TFIDFSystem
27 Q0 CACM-1750 46 0.13709873809501386 TFIDFSystem
27 Q0 CACM-2681 47 0.13706847436409886 TFIDFSystem
27 Q0 CACM-1069 48 0.13651519844131285 TFIDFSystem
27 Q0 CACM-2985 49 0.1357966781019171 TFIDFSystem
27 Q0 CACM-2379 50 0.13536018561721355 TFIDFSystem
27 Q0 CACM-1462 51 0.13534064687900427 TFIDFSystem
27 Q0 CACM-2668 52 0.12726685054105483 TFIDFSystem
27 Q0 CACM-0025 53 0.12572124191580364 TFIDFSystem
27 Q0 CACM-1642 54 0.12566564096656277 TFIDFSystem
27 Q0 CACM-1725 55 0.12559175327677286 TFIDFSystem
27 Q0 CACM-1657 56 0.12493895552031406 TFIDFSystem
27 Q0 CACM-1912 57 0.12326085155017248 TFIDFSystem
27 Q0 CACM-2365 58 0.12007120400653559 TFIDFSystem
27 Q0 CACM-2868 59 0.11878355062921997 TFIDFSystem
27 Q0 CACM-1892 60 0.11870130669177291 TFIDFSystem
27 Q0 CACM-2967 61 0.11780344269195742 TFIDFSystem
27 Q0 CACM-2435 62 0.11748375447073034 TFIDFSystem
27 Q0 CACM-2597 63 0.11731720980728616 TFIDFSystem
27 Q0 CACM-3067 64 0.11668910740542209 TFIDFSystem
27 Q0 CACM-2151 65 0.11635558604529016 TFIDFSystem
27 Q0 CACM-2374 66 0.11621874258227205 TFIDFSystem
27 Q0 CACM-1247 67 0.11518352925872705 TFIDFSystem
27 Q0 CACM-2983 68 0.11479072972907177 TFIDFSystem
27 Q0 CACM-0086 69 0.11419213500853294 TFIDFSystem
27 Q0 CACM-1572 70 0.11406920960561036 TFIDFSystem
27 Q0 CACM-1541 71 0.11246206037196571 TFIDFSystem
27 Q0 CACM-3188 72 0.11243600818270552 TFIDFSystem
27 Q0 CACM-2482 73 0.10827251750320342 TFIDFSystem
27 Q0 CACM-1360 74 0.10686305562843311 TFIDFSystem
27 Q0 CACM-0652 75 0.10686305562843311 TFIDFSystem
27 Q0 CACM-0597 76 0.10686305562843311 TFIDFSystem
27 Q0 CACM-0018 77 0.10686305562843311 TFIDFSystem
27 Q0 CACM-1845 78 0.1059657393265411 TFIDFSystem
27 Q0 CACM-2863 79 0.10562798125177389 TFIDFSystem
27 Q0 CACM-2582 80 0.10516279858777959 TFIDFSystem
27 Q0 CACM-2621 81 0.10417363548706983 TFIDFSystem
27 Q0 CACM-1708 82 0.1037115606931491 TFIDFSystem
27 Q0 CACM-2624 83 0.1030301388069379 TFIDFSystem
27 Q0 CACM-2593 84 0.10280131331965425 TFIDFSystem
27 Q0 CACM-2198 85 0.10271145880621836 TFIDFSystem
27 Q0 CACM-2317 86 0.10267116613435293 TFIDFSystem
27 Q0 CACM-2629 87 0.10227654188327512 TFIDFSystem
27 Q0 CACM-2995 88 0.1017743386937458 TFIDFSystem
27 Q0 CACM-0651 89 0.1017743386937458 TFIDFSystem
27 Q0 CACM-0855 90 0.1014827974067026 TFIDFSystem
27 Q0 CACM-2840 91 0.10128525674132033 TFIDFSystem
27 Q0 CACM-2357 92 0.10064191791751533 TFIDFSystem
27 Q0 CACM-3127 93 0.09971962833619324 TFIDFSystem
27 Q0 CACM-2516 94 0.09948529909852886 TFIDFSystem
27 Q0 CACM-2156 95 0.09948529909852886 TFIDFSystem
27 Q0 CACM-1680 96 0.09930935595237918 TFIDFSystem
27 Q0 CACM-3153 97 0.09744831010109976 TFIDFSystem
27 Q0 CACM-0795 98 0.09714823238948464 TFIDFSystem
27 Q0 CACM-2138 99 0.09696298837107513 TFIDFSystem
27 Q0 CACM-2663 100 0.09654988210426987 TFIDFSystem
