parallel processors in information retrieval
50 Q0 CACM-2278 1 0.4033950152765754 TFIDFSystem
50 Q0 CACM-0634 2 0.31347728561537297 TFIDFSystem
50 Q0 CACM-2288 3 0.29918868467925297 TFIDFSystem
50 Q0 CACM-0651 4 0.2686948162417483 TFIDFSystem
50 Q0 CACM-0275 5 0.2686948162417483 TFIDFSystem
50 Q0 CACM-1830 6 0.26833133469403914 TFIDFSystem
50 Q0 CACM-1927 7 0.2604047052044901 TFIDFSystem
50 Q0 CACM-2070 8 0.256481415503487 TFIDFSystem
50 Q0 CACM-0891 9 0.23872877285308733 TFIDFSystem
50 Q0 CACM-3134 10 0.2266399255393899 TFIDFSystem
50 Q0 CACM-1699 11 0.22011056095143955 TFIDFSystem
50 Q0 CACM-2714 12 0.21997554843919087 TFIDFSystem
50 Q0 CACM-3156 13 0.21797315559656671 TFIDFSystem
50 Q0 CACM-0082 14 0.2178879879391319 TFIDFSystem
50 Q0 CACM-0141 15 0.21403597794511905 TFIDFSystem
50 Q0 CACM-3075 16 0.21247803402690535 TFIDFSystem
50 Q0 CACM-1457 17 0.21008918320636127 TFIDFSystem
50 Q0 CACM-0239 18 0.20898485707691533 TFIDFSystem
50 Q0 CACM-2532 19 0.2015211121813112 TFIDFSystem
50 Q0 CACM-1302 20 0.19263238015060716 TFIDFSystem
50 Q0 CACM-0392 21 0.19263238015060716 TFIDFSystem
50 Q0 CACM-1831 22 0.1880863713692238 TFIDFSystem
50 Q0 CACM-0292 23 0.1880863713692238 TFIDFSystem
50 Q0 CACM-1746 24 0.18410971494319214 TFIDFSystem
50 Q0 CACM-2575 25 0.183562451647233 TFIDFSystem
50 Q0 CACM-2685 26 0.1805928563911942 TFIDFSystem
50 Q0 CACM-0798 27 0.17846349465703207 TFIDFSystem
50 Q0 CACM-2530 28 0.17633097315864732 TFIDFSystem
50 Q0 CACM-1681 29 0.17599668456713982 TFIDFSystem
50 Q0 CACM-0763 30 0.16946843506376924 TFIDFSystem
50 Q0 CACM-1158 31 0.16750641752226708 TFIDFSystem
50 Q0 CACM-2976 32 0.16595856297284453 TFIDFSystem
50 Q0 CACM-2965 33 0.16595856297284453 TFIDFSystem
50 Q0 CACM-2552 34 0.16595856297284453 TFIDFSystem
50 Q0 CACM-2882 35 0.1635406480689695 TFIDFSystem
50 Q0 CACM-3168 36 0.16121688974504897 TFIDFSystem
50 Q0 CACM-1262 37 0.15887206610359353 TFIDFSystem
50 Q0 CACM-2973 38 0.15566252941463204 TFIDFSystem
50 Q0 CACM-1811 39 0.1526901354470831 TFIDFSystem
50 Q0 CACM-3169 40 0.15250246327234362 TFIDFSystem
50 Q0 CACM-2781 41 0.15250246327234362 TFIDFSystem
50 Q0 CACM-0797 42 0.1518905148281335 TFIDFSystem
50 Q0 CACM-2412 43 0.14848924055465035 TFIDFSystem
50 Q0 CACM-2896 44 0.1463030735321067 TFIDFSystem
50 Q0 CACM-2140 45 0.14414735709958912 TFIDFSystem
50 Q0 CACM-2182 46 0.14269065196341268 TFIDFSystem
50 Q0 CACM-2516 47 0.14106477852691784 TFIDFSystem
50 Q0 CACM-2700 48 0.14009627647316883 TFIDFSystem
50 Q0 CACM-1514 49 0.135587381446403 TFIDFSystem
50 Q0 CACM-1971 50 0.1350137909583409 TFIDFSystem
50 Q0 CACM-1289 51 0.1350137909583409 TFIDFSystem
50 Q0 CACM-1935 52 0.13434740812087415 TFIDFSystem
50 Q0 CACM-2832 53 0.1305830448709991 TFIDFSystem
50 Q0 CACM-2519 54 0.13019986517014626 TFIDFSystem
50 Q0 CACM-3012 55 0.12944218916053574 TFIDFSystem
50 Q0 CACM-2293 56 0.1284937161530631 TFIDFSystem
50 Q0 CACM-1795 57 0.12842158676707144 TFIDFSystem
50 Q0 CACM-1508 58 0.12790780196053347 TFIDFSystem
50 Q0 CACM-1414 59 0.12790780196053347 TFIDFSystem
50 Q0 CACM-1267 60 0.12790780196053347 TFIDFSystem
50 Q0 CACM-1064 61 0.12790780196053347 TFIDFSystem
50 Q0 CACM-2990 62 0.12555085608001773 TFIDFSystem
50 Q0 CACM-0653 63 0.12355165014717606 TFIDFSystem
50 Q0 CACM-1032 64 0.12309757004367466 TFIDFSystem
50 Q0 CACM-2345 65 0.12305054365823474 TFIDFSystem
50 Q0 CACM-1063 66 0.12151241186250682 TFIDFSystem
50 Q0 CACM-0652 67 0.12151241186250682 TFIDFSystem
50 Q0 CACM-1516 68 0.11896320042483184 TFIDFSystem
50 Q0 CACM-2583 69 0.11854869450000664 TFIDFSystem
50 Q0 CACM-2407 70 0.11712039697591019 TFIDFSystem
50 Q0 CACM-1970 71 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1773 72 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1490 73 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1136 74 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1085 75 0.11572610653572077 TFIDFSystem
50 Q0 CACM-2157 76 0.11472653227952062 TFIDFSystem
50 Q0 CACM-1745 77 0.11436462292941817 TFIDFSystem
50 Q0 CACM-3073 78 0.1133131647944748 TFIDFSystem
50 Q0 CACM-1251 79 0.11303480173256447 TFIDFSystem
50 Q0 CACM-2266 80 0.11113406547150413 TFIDFSystem
50 Q0 CACM-2114 81 0.11050070998187334 TFIDFSystem
50 Q0 CACM-2116 82 0.11046582896591528 TFIDFSystem
50 Q0 CACM-1509 83 0.11046582896591528 TFIDFSystem
50 Q0 CACM-1442 84 0.11046582896591528 TFIDFSystem
50 Q0 CACM-0983 85 0.11046582896591528 TFIDFSystem
50 Q0 CACM-0657 86 0.11046582896591528 TFIDFSystem
50 Q0 CACM-0208 87 0.11046582896591528 TFIDFSystem
50 Q0 CACM-2785 88 0.11007564580034694 TFIDFSystem
50 Q0 CACM-2631 89 0.10998875943454703 TFIDFSystem
50 Q0 CACM-1937 90 0.10970251771572608 TFIDFSystem
50 Q0 CACM-2870 91 0.10835501694745829 TFIDFSystem
50 Q0 CACM-2455 92 0.10685048847941571 TFIDFSystem
50 Q0 CACM-0690 93 0.10566296683696244 TFIDFSystem
50 Q0 CACM-2497 94 0.10464042168558008 TFIDFSystem
50 Q0 CACM-1601 95 0.10412561089222008 TFIDFSystem
50 Q0 CACM-2723 96 0.10340935790104383 TFIDFSystem
50 Q0 CACM-1825 97 0.10282354487015213 TFIDFSystem
50 Q0 CACM-1828 98 0.10138546323716165 TFIDFSystem
50 Q0 CACM-0656 99 0.10126034321875567 TFIDFSystem
50 Q0 CACM-2479 100 0.09919380560204637 TFIDFSystem
