parallel processors and paging algorithms
51 Q0 CACM-2085 1 0.4609174458787535 TFIDFSystem
51 Q0 CACM-2022 2 0.4609174458787535 TFIDFSystem
51 Q0 CACM-1964 3 0.26630785761883535 TFIDFSystem
51 Q0 CACM-3075 4 0.25803875911058305 TFIDFSystem
51 Q0 CACM-3006 5 0.2579031156446675 TFIDFSystem
51 Q0 CACM-3156 6 0.2413426654455221 TFIDFSystem
51 Q0 CACM-2714 7 0.21997554843919087 TFIDFSystem
51 Q0 CACM-0082 8 0.2178879879391319 TFIDFSystem
51 Q0 CACM-0141 9 0.21403597794511905 TFIDFSystem
51 Q0 CACM-2973 10 0.21042744138390124 TFIDFSystem
51 Q0 CACM-2872 11 0.21024304548855421 TFIDFSystem
51 Q0 CACM-0371 12 0.20852793403683267 TFIDFSystem
51 Q0 CACM-2277 13 0.19418281284706745 TFIDFSystem
51 Q0 CACM-1302 14 0.19263238015060716 TFIDFSystem
51 Q0 CACM-0392 15 0.19263238015060716 TFIDFSystem
51 Q0 CACM-2007 16 0.1807242094985883 TFIDFSystem
51 Q0 CACM-2685 17 0.1805928563911942 TFIDFSystem
51 Q0 CACM-1752 18 0.17833498118406477 TFIDFSystem
51 Q0 CACM-0763 19 0.16946843506376924 TFIDFSystem
51 Q0 CACM-1952 20 0.16942894640492653 TFIDFSystem
51 Q0 CACM-1660 21 0.16942894640492653 TFIDFSystem
51 Q0 CACM-1158 22 0.16750641752226708 TFIDFSystem
51 Q0 CACM-1342 23 0.15946253779287203 TFIDFSystem
51 Q0 CACM-1262 24 0.15887206610359353 TFIDFSystem
51 Q0 CACM-2068 25 0.15363914862625117 TFIDFSystem
51 Q0 CACM-1811 26 0.1526901354470831 TFIDFSystem
51 Q0 CACM-2325 27 0.15060350791549024 TFIDFSystem
51 Q0 CACM-2896 28 0.1463030735321067 TFIDFSystem
51 Q0 CACM-1884 29 0.14395019330747857 TFIDFSystem
51 Q0 CACM-2182 30 0.14269065196341268 TFIDFSystem
51 Q0 CACM-0804 31 0.14267700749888548 TFIDFSystem
51 Q0 CACM-0270 32 0.14267700749888548 TFIDFSystem
51 Q0 CACM-2884 33 0.14161225371158037 TFIDFSystem
51 Q0 CACM-2863 34 0.14131495651616982 TFIDFSystem
51 Q0 CACM-2700 35 0.14009627647316883 TFIDFSystem
51 Q0 CACM-2365 36 0.13896232300056993 TFIDFSystem
51 Q0 CACM-2669 37 0.1377454435959493 TFIDFSystem
51 Q0 CACM-2266 38 0.13720005722610823 TFIDFSystem
51 Q0 CACM-2017 39 0.13680198165351132 TFIDFSystem
51 Q0 CACM-1796 40 0.13554315712394124 TFIDFSystem
51 Q0 CACM-2226 41 0.1322372264623817 TFIDFSystem
51 Q0 CACM-1795 42 0.12842158676707144 TFIDFSystem
51 Q0 CACM-2417 43 0.12322105193085567 TFIDFSystem
51 Q0 CACM-1374 44 0.12322105193085567 TFIDFSystem
51 Q0 CACM-1551 45 0.12138193175278318 TFIDFSystem
51 Q0 CACM-3166 46 0.12048280633239221 TFIDFSystem
51 Q0 CACM-2723 47 0.11935561168033103 TFIDFSystem
51 Q0 CACM-2725 48 0.11786361489038368 TFIDFSystem
51 Q0 CACM-2557 49 0.1170354870618327 TFIDFSystem
51 Q0 CACM-0950 50 0.11695742583209223 TFIDFSystem
51 Q0 CACM-2950 51 0.11535587840335423 TFIDFSystem
51 Q0 CACM-3073 52 0.1133131647944748 TFIDFSystem
51 Q0 CACM-2830 53 0.11295263093661768 TFIDFSystem
51 Q0 CACM-2570 54 0.11272034658063819 TFIDFSystem
51 Q0 CACM-2450 55 0.11145936324004047 TFIDFSystem
51 Q0 CACM-2373 56 0.11048659199493545 TFIDFSystem
51 Q0 CACM-2785 57 0.11007564580034694 TFIDFSystem
51 Q0 CACM-1953 58 0.10843452569915299 TFIDFSystem
51 Q0 CACM-1851 59 0.10843452569915299 TFIDFSystem
51 Q0 CACM-1924 60 0.10766216918206535 TFIDFSystem
