modelling and simulation in agricultural ecosystems
52 Q0 CACM-2721 1 0.250422724746717 TFIDFSystem
52 Q0 CACM-0557 2 0.22600160540426867 TFIDFSystem
52 Q0 CACM-0757 3 0.18833467117022387 TFIDFSystem
52 Q0 CACM-2749 4 0.18575474416789206 TFIDFSystem
52 Q0 CACM-3051 5 0.17842232005600156 TFIDFSystem
52 Q0 CACM-1207 6 0.17842232005600156 TFIDFSystem
52 Q0 CACM-1208 7 0.16950120405320152 TFIDFSystem
52 Q0 CACM-1329 8 0.16142971814590618 TFIDFSystem
52 Q0 CACM-2725 9 0.14739235135061 TFIDFSystem
52 Q0 CACM-0238 10 0.1412510033776679 TFIDFSystem
52 Q0 CACM-1928 11 0.14051913289384582 TFIDFSystem
52 Q0 CACM-2767 12 0.1404151986239539 TFIDFSystem
52 Q0 CACM-3070 13 0.13780585695382236 TFIDFSystem
52 Q0 CACM-1870 14 0.13038554157938578 TFIDFSystem
52 Q0 CACM-1812 15 0.13038554157938578 TFIDFSystem
52 Q0 CACM-1030 16 0.13038554157938578 TFIDFSystem
52 Q0 CACM-0643 17 0.12555644744681593 TFIDFSystem
52 Q0 CACM-0678 18 0.12107228860942965 TFIDFSystem
52 Q0 CACM-3061 19 0.11689738210565621 TFIDFSystem
52 Q0 CACM-2844 20 0.11689738210565621 TFIDFSystem
52 Q0 CACM-1366 21 0.11253191970337029 TFIDFSystem
52 Q0 CACM-0633 22 0.10935561551819452 TFIDFSystem
52 Q0 CACM-2742 23 0.10848077059404897 TFIDFSystem
52 Q0 CACM-2902 24 0.10727924307164653 TFIDFSystem
52 Q0 CACM-1894 25 0.09685783088754371 TFIDFSystem
52 Q0 CACM-2218 26 0.09549363608631072 TFIDFSystem
52 Q0 CACM-1890 27 0.09416733558511194 TFIDFSystem
52 Q0 CACM-1716 28 0.09416733558511194 TFIDFSystem
52 Q0 CACM-2914 29 0.09162227246119001 TFIDFSystem
52 Q0 CACM-2549 30 0.09162227246119001 TFIDFSystem
52 Q0 CACM-2057 31 0.09162227246119001 TFIDFSystem
52 Q0 CACM-2062 32 0.08921116002800078 TFIDFSystem
52 Q0 CACM-1380 33 0.08805257353413065 TFIDFSystem
52 Q0 CACM-3048 34 0.08782445805865362 TFIDFSystem
52 Q0 CACM-2349 35 0.08692369438625717 TFIDFSystem
52 Q0 CACM-1912 36 0.08370429829787727 TFIDFSystem
52 Q0 CACM-1637 37 0.07883776932707047 TFIDFSystem
52 Q0 CACM-2970 38 0.07793158807043747 TFIDFSystem
52 Q0 CACM-2936 39 0.07264337316565779 TFIDFSystem
52 Q0 CACM-2798 40 0.06825551841068517 TFIDFSystem
52 Q0 CACM-3064 41 0.0664710604130202 TFIDFSystem
52 Q0 CACM-2261 42 0.06163680147389145 TFIDFSystem
52 Q0 CACM-1261 43 0.06163680147389145 TFIDFSystem
52 Q0 CACM-0104 44 0.056975194639731594 TFIDFSystem
52 Q0 CACM-1752 45 0.05650040135106717 TFIDFSystem
52 Q0 CACM-2077 46 0.05557416526334476 TFIDFSystem
52 Q0 CACM-1435 47 0.05467780775909726 TFIDFSystem
52 Q0 CACM-1572 48 0.05424038529702448 TFIDFSystem
52 Q0 CACM-1427 49 0.053386206001008345 TFIDFSystem
52 Q0 CACM-2272 50 0.05136400122824288 TFIDFSystem
52 Q0 CACM-2344 51 0.051170174808513665 TFIDFSystem
52 Q0 CACM-2435 52 0.04913078378353667 TFIDFSystem
52 Q0 CACM-1680 53 0.048894578092269665 TFIDFSystem
52 Q0 CACM-1805 54 0.048428915443771856 TFIDFSystem
52 Q0 CACM-1288 55 0.04774681804315536 TFIDFSystem
52 Q0 CACM-3107 56 0.045811136230595004 TFIDFSystem
52 Q0 CACM-1541 57 0.045200321080853735 TFIDFSystem
52 Q0 CACM-2911 58 0.04237530101330038 TFIDFSystem
52 Q0 CACM-2262 59 0.04185214914893864 TFIDFSystem
52 Q0 CACM-1728 60 0.04185214914893864 TFIDFSystem
52 Q0 CACM-2375 61 0.04059909079118599 TFIDFSystem
52 Q0 CACM-2882 62 0.039418884663535235 TFIDFSystem
52 Q0 CACM-2951 63 0.03725301187982451 TFIDFSystem
52 Q0 CACM-2686 64 0.0368480878376525 TFIDFSystem
52 Q0 CACM-2542 65 0.03645187183939817 TFIDFSystem
52 Q0 CACM-2829 66 0.035873270699090264 TFIDFSystem
52 Q0 CACM-1846 67 0.03531275084441698 TFIDFSystem
52 Q0 CACM-1653 68 0.03494870186663949 TFIDFSystem
52 Q0 CACM-0605 69 0.03494870186663949 TFIDFSystem
52 Q0 CACM-1484 70 0.03424266748549526 TFIDFSystem
52 Q0 CACM-1253 71 0.03424266748549526 TFIDFSystem
52 Q0 CACM-1165 72 0.03424266748549526 TFIDFSystem
52 Q0 CACM-1426 73 0.0335645948620201 TFIDFSystem
52 Q0 CACM-2955 74 0.032596385394846446 TFIDFSystem
52 Q0 CACM-1199 75 0.03168246804732738 TFIDFSystem
52 Q0 CACM-2734 76 0.029350857844710216 TFIDFSystem
52 Q0 CACM-1811 77 0.028851268775013022 TFIDFSystem
52 Q0 CACM-1518 78 0.028487597319865797 TFIDFSystem
52 Q0 CACM-1856 79 0.027863211625183806 TFIDFSystem
52 Q0 CACM-2105 80 0.027561171390764475 TFIDFSystem
52 Q0 CACM-1933 81 0.02733890387954863 TFIDFSystem
52 Q0 CACM-2091 82 0.026077108315877156 TFIDFSystem
52 Q0 CACM-2276 83 0.025878046420336108 TFIDFSystem
52 Q0 CACM-2652 84 0.025111289489363187 TFIDFSystem
52 Q0 CACM-1674 85 0.024744701321635254 TFIDFSystem
52 Q0 CACM-1234 86 0.024565391891768335 TFIDFSystem
52 Q0 CACM-1166 87 0.02404272397917752 TFIDFSystem
52 Q0 CACM-3042 88 0.02387340902157768 TFIDFSystem
52 Q0 CACM-2596 89 0.022905568115297502 TFIDFSystem
52 Q0 CACM-2918 90 0.02275183947022839 TFIDFSystem
52 Q0 CACM-2452 91 0.022600160540426868 TFIDFSystem
52 Q0 CACM-2862 92 0.022302790007000195 TFIDFSystem
52 Q0 CACM-1845 93 0.0221570201376734 TFIDFSystem
52 Q0 CACM-2967 94 0.02159251007047153 TFIDFSystem
52 Q0 CACM-2859 95 0.02118765050665019 TFIDFSystem
