code optim for space effici
2 Q0 CACM-1795 1 0.3870934964798137 TFIDFSystem
2 Q0 CACM-2748 2 0.3581765599780871 TFIDFSystem
2 Q0 CACM-2491 3 0.350685374610097 TFIDFSystem
2 Q0 CACM-2495 4 0.32289241418732556 TFIDFSystem
2 Q0 CACM-2897 5 0.30394545348264157 TFIDFSystem
2 Q0 CACM-2464 6 0.2893476152859565 TFIDFSystem
2 Q0 CACM-2530 7 0.27690657195447554 TFIDFSystem
2 Q0 CACM-2346 8 0.23241263162085513 TFIDFSystem
2 Q0 CACM-2586 9 0.21191322956886371 TFIDFSystem
2 Q0 CACM-1231 10 0.21130675753039557 TFIDFSystem
2 Q0 CACM-2006 11 0.2091713684587696 TFIDFSystem
2 Q0 CACM-0797 12 0.20826940737445715 TFIDFSystem
2 Q0 CACM-2729 13 0.19015578950797235 TFIDFSystem
2 Q0 CACM-1999 14 0.18907639214240188 TFIDFSystem
2 Q0 CACM-1947 15 0.1888787665696161 TFIDFSystem
2 Q0 CACM-1289 16 0.18634631186135642 TFIDFSystem
2 Q0 CACM-0066 17 0.17884201130338673 TFIDFSystem
2 Q0 CACM-0115 18 0.17816059948641194 TFIDFSystem
2 Q0 CACM-1362 19 0.17732000489558322 TFIDFSystem
2 Q0 CACM-1566 20 0.17709476221463868 TFIDFSystem
2 Q0 CACM-1064 21 0.1770289962682886 TFIDFSystem
2 Q0 CACM-0230 22 0.1770289962682886 TFIDFSystem
2 Q0 CACM-0405 23 0.17323190897407542 TFIDFSystem
2 Q0 CACM-2964 24 0.17307029664394302 TFIDFSystem
2 Q0 CACM-2611 25 0.1718344789629324 TFIDFSystem
2 Q0 CACM-2559 26 0.1689789596864171 TFIDFSystem
2 Q0 CACM-0048 27 0.16746889351249522 TFIDFSystem
2 Q0 CACM-1311 28 0.16740798511474303 TFIDFSystem
2 Q0 CACM-3099 29 0.16412591523204723 TFIDFSystem
2 Q0 CACM-0031 30 0.1640559752617801 TFIDFSystem
2 Q0 CACM-1414 31 0.16093545115298963 TFIDFSystem
2 Q0 CACM-0120 32 0.16093545115298963 TFIDFSystem
2 Q0 CACM-2397 33 0.1594068521720528 TFIDFSystem
2 Q0 CACM-2888 34 0.15872082159473033 TFIDFSystem
2 Q0 CACM-1901 35 0.15740128104374088 TFIDFSystem
2 Q0 CACM-1652 36 0.15736892384845122 TFIDFSystem
2 Q0 CACM-2834 37 0.15578171548559266 TFIDFSystem
2 Q0 CACM-0195 38 0.1549417544139034 TFIDFSystem
2 Q0 CACM-0101 39 0.1549417544139034 TFIDFSystem
2 Q0 CACM-3129 40 0.15476164855672875 TFIDFSystem
