distribut comput structur and algorithm
4 Q0 CACM-2212 1 0.39516381780920645 TFIDFSystem
4 Q0 CACM-1778 2 0.3841451226157036 TFIDFSystem
4 Q0 CACM-1941 3 0.3585354477746568 TFIDFSystem
4 Q0 CACM-1733 4 0.3585354477746568 TFIDFSystem
4 Q0 CACM-2549 5 0.3512273812079106 TFIDFSystem
4 Q0 CACM-1944 6 0.29877953981221395 TFIDFSystem
4 Q0 CACM-1894 7 0.283054300874729 TFIDFSystem
4 Q0 CACM-2427 8 0.2764085784504808 TFIDFSystem
4 Q0 CACM-1716 9 0.27579649828819747 TFIDFSystem
4 Q0 CACM-2914 10 0.2678119940370448 TFIDFSystem
4 Q0 CACM-2276 11 0.2661242893081561 TFIDFSystem
4 Q0 CACM-2090 12 0.26248955680918284 TFIDFSystem
4 Q0 CACM-2649 13 0.24917353704567205 TFIDFSystem
4 Q0 CACM-2975 14 0.240285757477241 TFIDFSystem
4 Q0 CACM-2123 15 0.2332197380675932 TFIDFSystem
4 Q0 CACM-0711 16 0.2316666557270145 TFIDFSystem
4 Q0 CACM-2032 17 0.22203768460926787 TFIDFSystem
4 Q0 CACM-1987 18 0.21950092994597004 TFIDFSystem
4 Q0 CACM-1081 19 0.21947367384664532 TFIDFSystem
4 Q0 CACM-1431 20 0.21757594312680859 TFIDFSystem
4 Q0 CACM-2565 21 0.21322947480465662 TFIDFSystem
4 Q0 CACM-2098 22 0.2084999901543131 TFIDFSystem
4 Q0 CACM-2259 23 0.20730643383786057 TFIDFSystem
4 Q0 CACM-1714 24 0.20730643383786057 TFIDFSystem
4 Q0 CACM-1569 25 0.2060117124527267 TFIDFSystem
4 Q0 CACM-2454 26 0.2009096790918326 TFIDFSystem
4 Q0 CACM-2250 27 0.19450345675676983 TFIDFSystem
4 Q0 CACM-1663 28 0.19370775382804237 TFIDFSystem
4 Q0 CACM-2057 29 0.1913597850811021 TFIDFSystem
4 Q0 CACM-2349 30 0.1820251614186093 TFIDFSystem
4 Q0 CACM-1918 31 0.18130433926462006 TFIDFSystem
4 Q0 CACM-1583 32 0.18130433926462006 TFIDFSystem
4 Q0 CACM-1157 33 0.18130433926462006 TFIDFSystem
4 Q0 CACM-0371 34 0.17641642969116028 TFIDFSystem
4 Q0 CACM-3148 35 0.17033268699643084 TFIDFSystem
4 Q0 CACM-1659 36 0.16560544864811888 TFIDFSystem
4 Q0 CACM-1951 37 0.16385201816194506 TFIDFSystem
4 Q0 CACM-2313 38 0.1631151059944514 TFIDFSystem
4 Q0 CACM-2594 39 0.16263136859074614 TFIDFSystem
4 Q0 CACM-2949 40 0.16085232924157364 TFIDFSystem
4 Q0 CACM-2578 41 0.16063569829642538 TFIDFSystem
4 Q0 CACM-1584 42 0.16038460781101005 TFIDFSystem
