parallel languages languages for parallel computation
10 Q0 CACM-0249 1 0.5405387727477026 TFIDFSystem
10 Q0 CACM-2316 2 0.4607011393129229 TFIDFSystem
10 Q0 CACM-0141 3 0.4280719558902381 TFIDFSystem
10 Q0 CACM-1302 4 0.42311160622297805 TFIDFSystem
10 Q0 CACM-2603 5 0.422004392340791 TFIDFSystem
10 Q0 CACM-1795 6 0.39074010257584646 TFIDFSystem
10 Q0 CACM-1466 7 0.38918182849206284 TFIDFSystem
10 Q0 CACM-0392 8 0.3852647603012143 TFIDFSystem
10 Q0 CACM-2685 9 0.3848399914834908 TFIDFSystem
10 Q0 CACM-1158 10 0.36792313584606784 TFIDFSystem
10 Q0 CACM-1459 11 0.365402384011562 TFIDFSystem
10 Q0 CACM-2814 12 0.34708759714822196 TFIDFSystem
10 Q0 CACM-1138 13 0.3433957310224084 TFIDFSystem
10 Q0 CACM-1102 14 0.3433957310224084 TFIDFSystem
10 Q0 CACM-1262 15 0.32554760559311774 TFIDFSystem
10 Q0 CACM-1142 16 0.32431819041005233 TFIDFSystem
10 Q0 CACM-2785 17 0.3212138841441922 TFIDFSystem
10 Q0 CACM-2973 18 0.31897088628820625 TFIDFSystem
10 Q0 CACM-0651 19 0.31403163551505797 TFIDFSystem
10 Q0 CACM-2700 20 0.30982865251739067 TFIDFSystem
10 Q0 CACM-0463 21 0.307248811967418 TFIDFSystem
10 Q0 CACM-2896 22 0.3021876270444067 TFIDFSystem
10 Q0 CACM-2714 23 0.29564326140867725 TFIDFSystem
10 Q0 CACM-0628 24 0.2867245367746182 TFIDFSystem
10 Q0 CACM-2182 25 0.28538130392682537 TFIDFSystem
10 Q0 CACM-2295 26 0.271522205924695 TFIDFSystem
10 Q0 CACM-1601 27 0.2696244854413544 TFIDFSystem
10 Q0 CACM-2266 28 0.2681704846899927 TFIDFSystem
10 Q0 CACM-0920 29 0.26535124669913374 TFIDFSystem
10 Q0 CACM-0762 30 0.26535124669913374 TFIDFSystem
10 Q0 CACM-1098 31 0.2577506851281756 TFIDFSystem
10 Q0 CACM-1703 32 0.2467813895360064 TFIDFSystem
10 Q0 CACM-2895 33 0.2431859662859633 TFIDFSystem
10 Q0 CACM-1366 34 0.236851320983569 TFIDFSystem
10 Q0 CACM-0034 35 0.23628869830888868 TFIDFSystem
10 Q0 CACM-2705 36 0.23477199919560102 TFIDFSystem
10 Q0 CACM-3075 37 0.23436748241814487 TFIDFSystem
10 Q0 CACM-3073 38 0.2266263295889496 TFIDFSystem
10 Q0 CACM-1828 39 0.22269031906472528 TFIDFSystem
10 Q0 CACM-2782 40 0.2162121269400349 TFIDFSystem
10 Q0 CACM-3156 41 0.2123255125426156 TFIDFSystem
10 Q0 CACM-0035 42 0.2114162037500583 TFIDFSystem
10 Q0 CACM-0950 43 0.20808767519162855 TFIDFSystem
10 Q0 CACM-1306 44 0.19425612145620563 TFIDFSystem
10 Q0 CACM-1923 45 0.19396071605341816 TFIDFSystem
10 Q0 CACM-1852 46 0.19396071605341816 TFIDFSystem
10 Q0 CACM-3059 47 0.1921053577265291 TFIDFSystem
10 Q0 CACM-0121 48 0.19176299722446072 TFIDFSystem
10 Q0 CACM-0119 49 0.19176299722446072 TFIDFSystem
10 Q0 CACM-1496 50 0.19095068218835048 TFIDFSystem
10 Q0 CACM-2661 51 0.1883137879800304 TFIDFSystem
