setl very high level languages
11 Q0 CACM-2906 1 0.9359636614862585 TFIDFSystem
11 Q0 CACM-1872 2 0.3256583465188341 TFIDFSystem
11 Q0 CACM-1923 3 0.31239903310609785 TFIDFSystem
11 Q0 CACM-2316 4 0.2820883159439119 TFIDFSystem
11 Q0 CACM-0249 5 0.25381423597308445 TFIDFSystem
11 Q0 CACM-2699 6 0.24576358521107705 TFIDFSystem
11 Q0 CACM-2603 7 0.2110021961703955 TFIDFSystem
11 Q0 CACM-1903 8 0.197108999208768 TFIDFSystem
11 Q0 CACM-1466 9 0.19459091424603142 TFIDFSystem
11 Q0 CACM-2717 10 0.1935312091963508 TFIDFSystem
11 Q0 CACM-2527 11 0.19256758529792145 TFIDFSystem
11 Q0 CACM-3148 12 0.1787674028397362 TFIDFSystem
11 Q0 CACM-1459 13 0.17513182282142825 TFIDFSystem
11 Q0 CACM-1138 14 0.1716978655112042 TFIDFSystem
11 Q0 CACM-1102 15 0.1716978655112042 TFIDFSystem
11 Q0 CACM-0795 16 0.17006463490463267 TFIDFSystem
11 Q0 CACM-3171 17 0.16340872500934353 TFIDFSystem
11 Q0 CACM-1142 18 0.16215909520502617 TFIDFSystem
11 Q0 CACM-2814 19 0.153624405983709 TFIDFSystem
11 Q0 CACM-0463 20 0.153624405983709 TFIDFSystem
11 Q0 CACM-3150 21 0.14271345823815224 TFIDFSystem
11 Q0 CACM-0651 22 0.13899351017573672 TFIDFSystem
11 Q0 CACM-2705 23 0.13847462695871116 TFIDFSystem
11 Q0 CACM-2295 24 0.1357611029623475 TFIDFSystem
11 Q0 CACM-3123 25 0.1336222131393542 TFIDFSystem
11 Q0 CACM-0920 26 0.13267562334956687 TFIDFSystem
11 Q0 CACM-0762 27 0.13267562334956687 TFIDFSystem
11 Q0 CACM-0281 28 0.131405999472512 TFIDFSystem
11 Q0 CACM-2246 29 0.12979100297197174 TFIDFSystem
11 Q0 CACM-0628 30 0.12690711798654222 TFIDFSystem
11 Q0 CACM-1098 31 0.12289952478696721 TFIDFSystem
11 Q0 CACM-2317 32 0.12096111519714439 TFIDFSystem
11 Q0 CACM-1703 33 0.12078056746305398 TFIDFSystem
11 Q0 CACM-1860 34 0.11850312941410551 TFIDFSystem
11 Q0 CACM-1642 35 0.11815016740742901 TFIDFSystem
11 Q0 CACM-3080 36 0.11683314392359637 TFIDFSystem
11 Q0 CACM-0265 37 0.11483251175159293 TFIDFSystem
11 Q0 CACM-1627 38 0.113522726409506 TFIDFSystem
11 Q0 CACM-0205 39 0.1131179691159424 TFIDFSystem
11 Q0 CACM-1472 40 0.11003559566708163 TFIDFSystem
11 Q0 CACM-1366 41 0.10900320922495535 TFIDFSystem
11 Q0 CACM-2716 42 0.10881762844685035 TFIDFSystem
11 Q0 CACM-2782 43 0.10810606347001744 TFIDFSystem
11 Q0 CACM-1835 44 0.10768141616918551 TFIDFSystem
11 Q0 CACM-3057 45 0.10441177584842563 TFIDFSystem
11 Q0 CACM-1861 46 0.1019775259754344 TFIDFSystem
11 Q0 CACM-3185 47 0.09623469014341368 TFIDFSystem
11 Q0 CACM-2661 48 0.0941568939900152 TFIDFSystem
11 Q0 CACM-1678 49 0.09217464359022541 TFIDFSystem
11 Q0 CACM-1306 50 0.09121449105282722 TFIDFSystem
11 Q0 CACM-3077 51 0.08926229460367192 TFIDFSystem
11 Q0 CACM-2091 52 0.08639664567565465 TFIDFSystem
11 Q0 CACM-1073 53 0.08606976892483527 TFIDFSystem
11 Q0 CACM-1852 54 0.0858489327556021 TFIDFSystem
11 Q0 CACM-2198 55 0.08497253700485863 TFIDFSystem
11 Q0 CACM-0724 56 0.08424050742111866 TFIDFSystem
11 Q0 CACM-2320 57 0.08363438681580573 TFIDFSystem
11 Q0 CACM-2867 58 0.08046068748176169 TFIDFSystem
11 Q0 CACM-1046 59 0.08020137558905104 TFIDFSystem
11 Q0 CACM-2647 60 0.07888820847812085 TFIDFSystem
11 Q0 CACM-2406 61 0.07835875741450929 TFIDFSystem
11 Q0 CACM-1496 62 0.07581464191403822 TFIDFSystem
11 Q0 CACM-1467 63 0.07484265932539669 TFIDFSystem
11 Q0 CACM-0689 64 0.07484265932539669 TFIDFSystem
11 Q0 CACM-2873 65 0.07205067656383991 TFIDFSystem
11 Q0 CACM-2034 66 0.0716159750708859 TFIDFSystem
11 Q0 CACM-1485 67 0.07005272912857131 TFIDFSystem
11 Q0 CACM-2084 68 0.06949675508786836 TFIDFSystem
11 Q0 CACM-2645 69 0.06884112532288847 TFIDFSystem
11 Q0 CACM-1115 70 0.06786270242150473 TFIDFSystem
11 Q0 CACM-2081 71 0.06680230896608383 TFIDFSystem
11 Q0 CACM-2922 72 0.06450727530865377 TFIDFSystem
11 Q0 CACM-1720 73 0.06450727530865377 TFIDFSystem
11 Q0 CACM-2931 74 0.06345355899327111 TFIDFSystem
11 Q0 CACM-2305 75 0.06254707957908152 TFIDFSystem
11 Q0 CACM-1462 76 0.062357032798365304 TFIDFSystem
11 Q0 CACM-2411 77 0.06210348327001002 TFIDFSystem
11 Q0 CACM-0731 78 0.061669311866596195 TFIDFSystem
11 Q0 CACM-2710 79 0.061666134796277555 TFIDFSystem
11 Q0 CACM-1552 80 0.058799262686388215 TFIDFSystem
11 Q0 CACM-3105 81 0.05876906806088197 TFIDFSystem
11 Q0 CACM-2003 82 0.05861658371990389 TFIDFSystem
11 Q0 CACM-0479 83 0.05845971824846748 TFIDFSystem
11 Q0 CACM-0321 84 0.05782712322519029 TFIDFSystem
11 Q0 CACM-1179 85 0.05761647669179373 TFIDFSystem
11 Q0 CACM-2941 86 0.05723262183706806 TFIDFSystem
11 Q0 CACM-2898 87 0.056637525087623944 TFIDFSystem
11 Q0 CACM-2593 88 0.05541513245983351 TFIDFSystem
11 Q0 CACM-1183 89 0.05513844571747259 TFIDFSystem
11 Q0 CACM-2126 90 0.05507290025831078 TFIDFSystem
11 Q0 CACM-3119 91 0.05502091129267527 TFIDFSystem
11 Q0 CACM-2826 92 0.0542443902247666 TFIDFSystem
11 Q0 CACM-1188 93 0.05344888525574169 TFIDFSystem
11 Q0 CACM-2493 94 0.05281708592019919 TFIDFSystem
11 Q0 CACM-2112 95 0.05259213898541389 TFIDFSystem
11 Q0 CACM-2398 96 0.052033481887440544 TFIDFSystem
11 Q0 CACM-2254 97 0.051814148763736176 TFIDFSystem
11 Q0 CACM-2708 98 0.05144521355863557 TFIDFSystem
11 Q0 CACM-1676 99 0.051351356079445715 TFIDFSystem
11 Q0 CACM-2148 100 0.05032523644293916 TFIDFSystem
