code optimization for space efficiency
13 Q0 CACM-2491 1 0.39365209521427913 TFIDFSystem
13 Q0 CACM-2748 2 0.39012826846074655 TFIDFSystem
13 Q0 CACM-2464 3 0.38622890577584773 TFIDFSystem
13 Q0 CACM-1795 4 0.38266428084421045 TFIDFSystem
13 Q0 CACM-2897 5 0.32190010211401177 TFIDFSystem
13 Q0 CACM-2495 6 0.2799982542762516 TFIDFSystem
13 Q0 CACM-0797 7 0.2615438329676345 TFIDFSystem
13 Q0 CACM-1655 8 0.25205294315027693 TFIDFSystem
13 Q0 CACM-1289 9 0.2324834070823418 TFIDFSystem
13 Q0 CACM-1414 10 0.22024743828853433 TFIDFSystem
13 Q0 CACM-1064 11 0.22024743828853433 TFIDFSystem
13 Q0 CACM-0230 12 0.22024743828853433 TFIDFSystem
13 Q0 CACM-2611 13 0.22020950510631232 TFIDFSystem
13 Q0 CACM-1756 14 0.21879347291788576 TFIDFSystem
13 Q0 CACM-1947 15 0.21773926527433524 TFIDFSystem
13 Q0 CACM-1362 16 0.21755032646294403 TFIDFSystem
13 Q0 CACM-0267 17 0.21744820712296237 TFIDFSystem
13 Q0 CACM-0066 18 0.2148538367790186 TFIDFSystem
13 Q0 CACM-0048 19 0.21249101654520114 TFIDFSystem
13 Q0 CACM-0195 20 0.20163320053216924 TFIDFSystem
13 Q0 CACM-1992 21 0.19519142914176998 TFIDFSystem
13 Q0 CACM-0164 22 0.19047377155734674 TFIDFSystem
13 Q0 CACM-1231 23 0.18416488994272778 TFIDFSystem
13 Q0 CACM-2533 24 0.18040865310773035 TFIDFSystem
13 Q0 CACM-1275 25 0.17436255531175635 TFIDFSystem
13 Q0 CACM-1187 26 0.17138822045234386 TFIDFSystem
13 Q0 CACM-2835 27 0.17058328375475926 TFIDFSystem
13 Q0 CACM-2745 28 0.16580904816593442 TFIDFSystem
13 Q0 CACM-0117 29 0.16562936657160585 TFIDFSystem
13 Q0 CACM-1204 30 0.1594076853521751 TFIDFSystem
13 Q0 CACM-2711 31 0.15672362086917088 TFIDFSystem
13 Q0 CACM-1232 32 0.1558074731384944 TFIDFSystem
13 Q0 CACM-1065 33 0.14945361883864827 TFIDFSystem
13 Q0 CACM-2904 34 0.14899533381345903 TFIDFSystem
13 Q0 CACM-2680 35 0.1488462125029827 TFIDFSystem
13 Q0 CACM-0149 36 0.14730362418007129 TFIDFSystem
13 Q0 CACM-2508 37 0.14651828581334364 TFIDFSystem
13 Q0 CACM-2586 38 0.14430004577524663 TFIDFSystem
13 Q0 CACM-1757 39 0.14430004577524663 TFIDFSystem
13 Q0 CACM-3129 40 0.14361733879992544 TFIDFSystem
13 Q0 CACM-2107 41 0.14282351704361987 TFIDFSystem
13 Q0 CACM-1652 42 0.1406323169418376 TFIDFSystem
13 Q0 CACM-3080 43 0.13976924822202316 TFIDFSystem
13 Q0 CACM-1369 44 0.13823734248733463 TFIDFSystem
13 Q0 CACM-1969 45 0.13605269396953337 TFIDFSystem
13 Q0 CACM-2834 46 0.13311706442900492 TFIDFSystem
13 Q0 CACM-2133 47 0.1321257030637874 TFIDFSystem
13 Q0 CACM-3171 48 0.13081436996290505 TFIDFSystem
13 Q0 CACM-2559 49 0.129054514474855 TFIDFSystem
13 Q0 CACM-2078 50 0.12706001293629948 TFIDFSystem
13 Q0 CACM-3054 51 0.12470473671528481 TFIDFSystem
13 Q0 CACM-2964 52 0.12085820902491512 TFIDFSystem
13 Q0 CACM-1670 53 0.12083278946871476 TFIDFSystem
