distributed computing structures and algorithms
23 Q0 CACM-0371 1 0.29149794030677323 TFIDFSystem
23 Q0 CACM-3148 2 0.2841964439896756 TFIDFSystem
23 Q0 CACM-2578 3 0.27508907258095816 TFIDFSystem
23 Q0 CACM-3137 4 0.2353791075572211 TFIDFSystem
23 Q0 CACM-2975 5 0.23349439869334257 TFIDFSystem
23 Q0 CACM-1831 6 0.21014495882400833 TFIDFSystem
23 Q0 CACM-0627 7 0.21014495882400833 TFIDFSystem
23 Q0 CACM-2849 8 0.2042925179889295 TFIDFSystem
23 Q0 CACM-0793 9 0.1970108988975078 TFIDFSystem
23 Q0 CACM-3043 10 0.19699656912957897 TFIDFSystem
23 Q0 CACM-1105 11 0.19571901057794117 TFIDFSystem
23 Q0 CACM-0072 12 0.19571901057794117 TFIDFSystem
23 Q0 CACM-1862 13 0.19036497024210997 TFIDFSystem
23 Q0 CACM-2709 14 0.18342754897464536 TFIDFSystem
23 Q0 CACM-3082 15 0.18146995969225022 TFIDFSystem
23 Q0 CACM-2007 16 0.1807242094985883 TFIDFSystem
23 Q0 CACM-2325 17 0.1805648990685243 TFIDFSystem
23 Q0 CACM-0657 18 0.17596580772877013 TFIDFSystem
23 Q0 CACM-0147 19 0.17511700946447367 TFIDFSystem
23 Q0 CACM-2032 20 0.1734178309232856 TFIDFSystem
23 Q0 CACM-1873 21 0.1715480287212284 TFIDFSystem
23 Q0 CACM-1952 22 0.16942894640492653 TFIDFSystem
23 Q0 CACM-1660 23 0.16942894640492653 TFIDFSystem
23 Q0 CACM-2197 24 0.1674556233118177 TFIDFSystem
23 Q0 CACM-0830 25 0.16636115899125 TFIDFSystem
23 Q0 CACM-0052 26 0.16600202655747476 TFIDFSystem
23 Q0 CACM-1134 27 0.1659039148610592 TFIDFSystem
23 Q0 CACM-2949 28 0.16467655231665435 TFIDFSystem
23 Q0 CACM-2808 29 0.16185186269991272 TFIDFSystem
23 Q0 CACM-1275 30 0.16130199041803928 TFIDFSystem
23 Q0 CACM-1342 31 0.15946253779287203 TFIDFSystem
23 Q0 CACM-2756 32 0.15906453155169925 TFIDFSystem
23 Q0 CACM-3011 33 0.15806076038381028 TFIDFSystem
23 Q0 CACM-2417 34 0.15590620591598375 TFIDFSystem
23 Q0 CACM-0088 35 0.15529221839247637 TFIDFSystem
23 Q0 CACM-1224 36 0.15459064074856935 TFIDFSystem
23 Q0 CACM-2884 37 0.15234469233356274 TFIDFSystem
23 Q0 CACM-2594 38 0.1508685849749672 TFIDFSystem
23 Q0 CACM-3166 39 0.1504553734990427 TFIDFSystem
23 Q0 CACM-1431 40 0.14333514596720545 TFIDFSystem
23 Q0 CACM-0804 41 0.14267700749888548 TFIDFSystem
23 Q0 CACM-0270 42 0.14267700749888548 TFIDFSystem
23 Q0 CACM-2276 43 0.14232985315767385 TFIDFSystem
23 Q0 CACM-1780 44 0.13754453629047908 TFIDFSystem
23 Q0 CACM-1796 45 0.13554315712394124 TFIDFSystem
23 Q0 CACM-2630 46 0.13525746932079238 TFIDFSystem
23 Q0 CACM-2155 47 0.1337794695693918 TFIDFSystem
23 Q0 CACM-2226 48 0.1322372264623817 TFIDFSystem
23 Q0 CACM-2433 49 0.1321628206859029 TFIDFSystem
23 Q0 CACM-1551 50 0.13211437037476553 TFIDFSystem
23 Q0 CACM-1525 51 0.13149173773601142 TFIDFSystem
23 Q0 CACM-2950 52 0.13065531218362694 TFIDFSystem
23 Q0 CACM-3035 53 0.12818626010262862 TFIDFSystem
23 Q0 CACM-1658 54 0.12745757581307599 TFIDFSystem
23 Q0 CACM-3006 55 0.1263893020237338 TFIDFSystem
23 Q0 CACM-0481 56 0.12323048814166665 TFIDFSystem
23 Q0 CACM-0080 57 0.12323048814166665 TFIDFSystem
23 Q0 CACM-1374 58 0.12322105193085567 TFIDFSystem
23 Q0 CACM-2505 59 0.1224977332197015 TFIDFSystem
23 Q0 CACM-2311 60 0.12087737290693143 TFIDFSystem
23 Q0 CACM-2406 61 0.11990569701752504 TFIDFSystem
23 Q0 CACM-2615 62 0.11900872257346523 TFIDFSystem
23 Q0 CACM-2283 63 0.11820582203658556 TFIDFSystem
23 Q0 CACM-2725 64 0.11786361489038368 TFIDFSystem
23 Q0 CACM-3090 65 0.11739069206711172 TFIDFSystem
23 Q0 CACM-1411 66 0.11707077324967402 TFIDFSystem
23 Q0 CACM-2863 67 0.1169676128120089 TFIDFSystem
23 Q0 CACM-2272 68 0.11483252193903186 TFIDFSystem
23 Q0 CACM-3158 69 0.11419816314820636 TFIDFSystem
23 Q0 CACM-1153 70 0.11367646446386187 TFIDFSystem
23 Q0 CACM-2830 71 0.11295263093661768 TFIDFSystem
23 Q0 CACM-2832 72 0.11287231880240937 TFIDFSystem
23 Q0 CACM-1745 73 0.11212635188636788 TFIDFSystem
23 Q0 CACM-3025 74 0.1119367470747674 TFIDFSystem
23 Q0 CACM-2934 75 0.1109074393275 TFIDFSystem
23 Q0 CACM-2146 76 0.11064461884093363 TFIDFSystem
23 Q0 CACM-2954 77 0.10956361613300783 TFIDFSystem
23 Q0 CACM-2903 78 0.1094340327572245 TFIDFSystem
23 Q0 CACM-2810 79 0.10878600645269694 TFIDFSystem
23 Q0 CACM-1953 80 0.10843452569915299 TFIDFSystem
23 Q0 CACM-1851 81 0.10843452569915299 TFIDFSystem
23 Q0 CACM-2454 82 0.10837336425668388 TFIDFSystem
23 Q0 CACM-2357 83 0.10802290110204837 TFIDFSystem
23 Q0 CACM-2273 84 0.10785944235783998 TFIDFSystem
23 Q0 CACM-2902 85 0.10749526735788459 TFIDFSystem
23 Q0 CACM-3124 86 0.10679457855920271 TFIDFSystem
23 Q0 CACM-2834 87 0.10588514201748642 TFIDFSystem
23 Q0 CACM-2236 88 0.10372524794561151 TFIDFSystem
23 Q0 CACM-0409 89 0.1033452213128577 TFIDFSystem
23 Q0 CACM-1050 90 0.10187494131665639 TFIDFSystem
23 Q0 CACM-2490 91 0.1009989264048417 TFIDFSystem
23 Q0 CACM-2426 92 0.10088048618093065 TFIDFSystem
23 Q0 CACM-2081 93 0.10023774858734694 TFIDFSystem
23 Q0 CACM-1392 94 0.10008075434661586 TFIDFSystem
23 Q0 CACM-1889 95 0.09983115057234623 TFIDFSystem
23 Q0 CACM-1158 96 0.09978959038490784 TFIDFSystem
23 Q0 CACM-2819 97 0.09924177658728053 TFIDFSystem
23 Q0 CACM-2958 98 0.0983221212107144 TFIDFSystem
23 Q0 CACM-2627 99 0.0979981865757612 TFIDFSystem
23 Q0 CACM-2766 100 0.09679035817171026 TFIDFSystem
