concurrency control mechanisms in operating systems
26 Q0 CACM-1461 1 0.36090839167734473 TFIDFSystem
26 Q0 CACM-2844 2 0.3320040531149495 TFIDFSystem
26 Q0 CACM-2626 3 0.2660453774821941 TFIDFSystem
26 Q0 CACM-2578 4 0.2563900617429183 TFIDFSystem
26 Q0 CACM-3068 5 0.2482748528920936 TFIDFSystem
26 Q0 CACM-1922 6 0.22571702063709623 TFIDFSystem
26 Q0 CACM-2939 7 0.20454137004325884 TFIDFSystem
26 Q0 CACM-2345 8 0.1933592173385406 TFIDFSystem
26 Q0 CACM-2364 9 0.1880975171975802 TFIDFSystem
26 Q0 CACM-2256 10 0.1880975171975802 TFIDFSystem
26 Q0 CACM-2840 11 0.17720464548219722 TFIDFSystem
26 Q0 CACM-0121 12 0.1770329573624284 TFIDFSystem
26 Q0 CACM-1338 13 0.17394685333055432 TFIDFSystem
26 Q0 CACM-0483 14 0.16600202655747476 TFIDFSystem
26 Q0 CACM-2111 15 0.16555768494954518 TFIDFSystem
26 Q0 CACM-2377 16 0.1631009830901316 TFIDFSystem
26 Q0 CACM-0059 17 0.16119167259029343 TFIDFSystem
26 Q0 CACM-2796 18 0.1560173696472147 TFIDFSystem
26 Q0 CACM-2870 19 0.15508297964277265 TFIDFSystem
26 Q0 CACM-2709 20 0.15461958198385822 TFIDFSystem
26 Q0 CACM-0617 21 0.15018622284092498 TFIDFSystem
26 Q0 CACM-2407 22 0.14844393444656787 TFIDFSystem
26 Q0 CACM-0652 23 0.1477265805339787 TFIDFSystem
26 Q0 CACM-0597 24 0.1477265805339787 TFIDFSystem
26 Q0 CACM-1341 25 0.14680877938494633 TFIDFSystem
26 Q0 CACM-2632 26 0.1464819832600499 TFIDFSystem
26 Q0 CACM-2985 27 0.14600387461168016 TFIDFSystem
26 Q0 CACM-0084 28 0.14546565575221604 TFIDFSystem
26 Q0 CACM-1290 29 0.14516242302793725 TFIDFSystem
26 Q0 CACM-2867 30 0.14278562628659222 TFIDFSystem
26 Q0 CACM-1755 31 0.14245064185180473 TFIDFSystem
26 Q0 CACM-3154 32 0.14166836436826993 TFIDFSystem
26 Q0 CACM-2319 33 0.1411445221948165 TFIDFSystem
