memory management aspects of operating systems
27 Q0 CACM-1461 1 0.36090839167734473 TFIDFSystem
27 Q0 CACM-2902 2 0.3423979614673995 TFIDFSystem
27 Q0 CACM-2798 3 0.30109005851549625 TFIDFSystem
27 Q0 CACM-2069 4 0.29196415819448834 TFIDFSystem
27 Q0 CACM-3011 5 0.27793576950807863 TFIDFSystem
27 Q0 CACM-2669 6 0.27581666071765903 TFIDFSystem
27 Q0 CACM-3068 7 0.2614830900327054 TFIDFSystem
27 Q0 CACM-2345 8 0.25276275887503724 TFIDFSystem
27 Q0 CACM-2577 9 0.25086357806174686 TFIDFSystem
27 Q0 CACM-2988 10 0.25015296212530197 TFIDFSystem
27 Q0 CACM-2297 11 0.23898438055107007 TFIDFSystem
27 Q0 CACM-2918 12 0.22910307577028147 TFIDFSystem
27 Q0 CACM-2479 13 0.21675258172739723 TFIDFSystem
27 Q0 CACM-2859 14 0.21379302426953217 TFIDFSystem
27 Q0 CACM-2818 15 0.21340917023018866 TFIDFSystem
27 Q0 CACM-0155 16 0.21318278378256184 TFIDFSystem
27 Q0 CACM-0059 17 0.21315196565375674 TFIDFSystem
27 Q0 CACM-2262 18 0.20553285571250934 TFIDFSystem
27 Q0 CACM-2358 19 0.20408425674864925 TFIDFSystem
27 Q0 CACM-2502 20 0.20402413972973443 TFIDFSystem
27 Q0 CACM-2481 21 0.19319772412523054 TFIDFSystem
27 Q0 CACM-2852 22 0.1928842873565686 TFIDFSystem
27 Q0 CACM-2319 23 0.1926985743018131 TFIDFSystem
27 Q0 CACM-2740 24 0.19239365938017383 TFIDFSystem
27 Q0 CACM-0084 25 0.192356651931439 TFIDFSystem
27 Q0 CACM-2311 26 0.19222527473071888 TFIDFSystem
27 Q0 CACM-3000 27 0.1914378073277706 TFIDFSystem
27 Q0 CACM-2583 28 0.19138702104866606 TFIDFSystem
27 Q0 CACM-2689 29 0.19032022501422158 TFIDFSystem
27 Q0 CACM-2867 30 0.1812863773499301 TFIDFSystem
27 Q0 CACM-2362 31 0.18088236199732521 TFIDFSystem
27 Q0 CACM-1752 32 0.17840126274850499 TFIDFSystem
27 Q0 CACM-3006 33 0.17770171833541518 TFIDFSystem
27 Q0 CACM-1728 34 0.17716844840423215 TFIDFSystem
27 Q0 CACM-2407 35 0.17703679995727428 TFIDFSystem
27 Q0 CACM-1959 36 0.17621853316484637 TFIDFSystem
27 Q0 CACM-0086 37 0.17514858241387876 TFIDFSystem
27 Q0 CACM-2372 38 0.1741686808919814 TFIDFSystem
27 Q0 CACM-2928 39 0.17207356823689743 TFIDFSystem
27 Q0 CACM-1924 40 0.17056664258564996 TFIDFSystem
27 Q0 CACM-2111 41 0.17031623742797086 TFIDFSystem
27 Q0 CACM-1901 42 0.1701334558741511 TFIDFSystem
27 Q0 CACM-1750 43 0.1693508266692709 TFIDFSystem
27 Q0 CACM-2985 44 0.16482355781874844 TFIDFSystem
27 Q0 CACM-1755 45 0.161381215580173 TFIDFSystem
27 Q0 CACM-1725 46 0.15908430679619365 TFIDFSystem
27 Q0 CACM-2406 47 0.1585124295433023 TFIDFSystem
27 Q0 CACM-1753 48 0.15841293432013426 TFIDFSystem
27 Q0 CACM-2796 49 0.1560173696472147 TFIDFSystem
27 Q0 CACM-1069 50 0.15465699826433243 TFIDFSystem
27 Q0 CACM-2379 51 0.1541545681676799 TFIDFSystem
27 Q0 CACM-1912 52 0.15013759202872 TFIDFSystem
27 Q0 CACM-1462 53 0.14985408673741996 TFIDFSystem
27 Q0 CACM-2681 54 0.1488361283033548 TFIDFSystem
27 Q0 CACM-1657 55 0.14847426339882597 TFIDFSystem
27 Q0 CACM-1892 56 0.14826572121817522 TFIDFSystem
27 Q0 CACM-2597 57 0.1471978212804949 TFIDFSystem
27 Q0 CACM-1541 58 0.14148894008879706 TFIDFSystem
27 Q0 CACM-1572 59 0.1384517885677487 TFIDFSystem
27 Q0 CACM-2868 60 0.13842580006166225 TFIDFSystem
27 Q0 CACM-2967 61 0.13721632403123954 TFIDFSystem
27 Q0 CACM-1708 62 0.13684006471779359 TFIDFSystem
27 Q0 CACM-2668 63 0.13640118331907866 TFIDFSystem
27 Q0 CACM-2151 64 0.13449738586830975 TFIDFSystem
27 Q0 CACM-2374 65 0.13312760455324177 TFIDFSystem
27 Q0 CACM-2198 66 0.13231887611738635 TFIDFSystem
27 Q0 CACM-2864 67 0.1319480651266584 TFIDFSystem
27 Q0 CACM-2983 68 0.13153700648878217 TFIDFSystem
27 Q0 CACM-2365 69 0.13138037792218418 TFIDFSystem
27 Q0 CACM-1642 70 0.1302488325007993 TFIDFSystem
27 Q0 CACM-2435 71 0.1301041369563092 TFIDFSystem
27 Q0 CACM-1247 72 0.12907937593167823 TFIDFSystem
27 Q0 CACM-1360 73 0.12863321541605663 TFIDFSystem
27 Q0 CACM-0652 74 0.12863321541605663 TFIDFSystem
27 Q0 CACM-3118 75 0.12821548953492123 TFIDFSystem
27 Q0 CACM-3067 76 0.1275065781073468 TFIDFSystem
27 Q0 CACM-3050 77 0.12621156051045407 TFIDFSystem
27 Q0 CACM-3153 78 0.12618050068375009 TFIDFSystem
27 Q0 CACM-0025 79 0.12572124191580364 TFIDFSystem
27 Q0 CACM-2106 80 0.12572001854611087 TFIDFSystem
27 Q0 CACM-2482 81 0.12568864533330223 TFIDFSystem
27 Q0 CACM-3090 82 0.1234835530063524 TFIDFSystem
27 Q0 CACM-1845 83 0.12304037445408895 TFIDFSystem
27 Q0 CACM-0651 84 0.1225078242057682 TFIDFSystem
27 Q0 CACM-2317 85 0.12213052683837396 TFIDFSystem
27 Q0 CACM-2138 86 0.12115205480176792 TFIDFSystem
27 Q0 CACM-2080 87 0.12065281843989248 TFIDFSystem
27 Q0 CACM-2663 88 0.12008518998278178 TFIDFSystem
27 Q0 CACM-0855 89 0.11932719067524647 TFIDFSystem
27 Q0 CACM-2705 90 0.11913151100223934 TFIDFSystem
27 Q0 CACM-2017 91 0.11848774914333426 TFIDFSystem
27 Q0 CACM-3188 92 0.11831983515233349 TFIDFSystem
27 Q0 CACM-2621 93 0.11821889986618178 TFIDFSystem
27 Q0 CACM-2632 94 0.1180522885024691 TFIDFSystem
27 Q0 CACM-1196 95 0.11607716233161634 TFIDFSystem
27 Q0 CACM-2738 96 0.11607204606155301 TFIDFSystem
27 Q0 CACM-1267 97 0.11600078667697017 TFIDFSystem
27 Q0 CACM-2402 98 0.11569490400283088 TFIDFSystem
27 Q0 CACM-1472 99 0.11519919872490136 TFIDFSystem
27 Q0 CACM-2516 100 0.11399873895694454 TFIDFSystem
