parallel processors in information retrieval
50 Q0 CACM-2278 1 0.4033950152765754 TFIDFSystem
50 Q0 CACM-0634 2 0.3588812021770903 TFIDFSystem
50 Q0 CACM-2288 3 0.3059429863165332 TFIDFSystem
50 Q0 CACM-1927 4 0.2876470551415205 TFIDFSystem
50 Q0 CACM-0651 5 0.2686948162417483 TFIDFSystem
50 Q0 CACM-0275 6 0.2686948162417483 TFIDFSystem
50 Q0 CACM-1830 7 0.26833133469403914 TFIDFSystem
50 Q0 CACM-0082 8 0.2568056307063182 TFIDFSystem
50 Q0 CACM-2070 9 0.256481415503487 TFIDFSystem
50 Q0 CACM-0891 10 0.24629609228004024 TFIDFSystem
50 Q0 CACM-1457 11 0.23756046045378687 TFIDFSystem
50 Q0 CACM-2714 12 0.23322858354369214 TFIDFSystem
50 Q0 CACM-1699 13 0.22904247896358065 TFIDFSystem
50 Q0 CACM-3134 14 0.2266399255393899 TFIDFSystem
50 Q0 CACM-3075 15 0.22621367265061815 TFIDFSystem
50 Q0 CACM-3156 16 0.22501859092510906 TFIDFSystem
50 Q0 CACM-0141 17 0.21403597794511905 TFIDFSystem
50 Q0 CACM-0239 18 0.20898485707691533 TFIDFSystem
50 Q0 CACM-1746 19 0.20887548761321978 TFIDFSystem
50 Q0 CACM-2575 20 0.20691303730754476 TFIDFSystem
50 Q0 CACM-2530 21 0.2018706762246133 TFIDFSystem
50 Q0 CACM-2532 22 0.2015211121813112 TFIDFSystem
50 Q0 CACM-1302 23 0.19263238015060716 TFIDFSystem
50 Q0 CACM-0392 24 0.19263238015060716 TFIDFSystem
50 Q0 CACM-2976 25 0.18999593056434194 TFIDFSystem
50 Q0 CACM-2965 26 0.18999593056434194 TFIDFSystem
50 Q0 CACM-1831 27 0.1880863713692238 TFIDFSystem
50 Q0 CACM-0292 28 0.1880863713692238 TFIDFSystem
50 Q0 CACM-1681 29 0.18492860257928095 TFIDFSystem
50 Q0 CACM-3168 30 0.18456747540536073 TFIDFSystem
50 Q0 CACM-1262 31 0.18414847326166298 TFIDFSystem
50 Q0 CACM-2882 32 0.18254693872271166 TFIDFSystem
50 Q0 CACM-2685 33 0.1805928563911942 TFIDFSystem
50 Q0 CACM-0798 34 0.17846349465703207 TFIDFSystem
50 Q0 CACM-2896 35 0.17733866206796411 TFIDFSystem
50 Q0 CACM-3169 36 0.17459085511317907 TFIDFSystem
50 Q0 CACM-2973 37 0.1721730445279838 TFIDFSystem
50 Q0 CACM-0763 38 0.16946843506376924 TFIDFSystem
50 Q0 CACM-1158 39 0.16750641752226708 TFIDFSystem
50 Q0 CACM-1811 40 0.16660112264897095 TFIDFSystem
50 Q0 CACM-2552 41 0.16595856297284453 TFIDFSystem
50 Q0 CACM-0652 42 0.1623759367680524 TFIDFSystem
50 Q0 CACM-2140 43 0.1595675551771535 TFIDFSystem
50 Q0 CACM-0653 44 0.1549851308437496 TFIDFSystem
50 Q0 CACM-2345 45 0.15408613219409215 TFIDFSystem
50 Q0 CACM-1935 46 0.15380622950446726 TFIDFSystem
50 Q0 CACM-2781 47 0.15250246327234362 TFIDFSystem
50 Q0 CACM-2990 48 0.15191442053520843 TFIDFSystem
50 Q0 CACM-0797 49 0.1518905148281335 TFIDFSystem
50 Q0 CACM-2519 50 0.1509779286814406 TFIDFSystem
50 Q0 CACM-2412 51 0.14848924055465035 TFIDFSystem
50 Q0 CACM-2516 52 0.14787536601117546 TFIDFSystem
50 Q0 CACM-3012 53 0.1440363051982306 TFIDFSystem
50 Q0 CACM-2182 54 0.14269065196341268 TFIDFSystem
50 Q0 CACM-1267 55 0.14224588087476 TFIDFSystem
50 Q0 CACM-0690 56 0.14119646675482816 TFIDFSystem
50 Q0 CACM-2700 57 0.14009627647316883 TFIDFSystem
50 Q0 CACM-2832 58 0.13722752046539674 TFIDFSystem
50 Q0 CACM-2407 59 0.13681366199063094 TFIDFSystem
50 Q0 CACM-1514 60 0.135587381446403 TFIDFSystem
50 Q0 CACM-1971 61 0.1350137909583409 TFIDFSystem
50 Q0 CACM-1289 62 0.1350137909583409 TFIDFSystem
50 Q0 CACM-0626 63 0.13463566389023335 TFIDFSystem
50 Q0 CACM-1745 64 0.1335945170026161 TFIDFSystem
50 Q0 CACM-1032 65 0.13233226493758327 TFIDFSystem
50 Q0 CACM-1251 66 0.1320410923863066 TFIDFSystem
50 Q0 CACM-1516 67 0.13039355704176767 TFIDFSystem
50 Q0 CACM-2293 68 0.1284937161530631 TFIDFSystem
50 Q0 CACM-1795 69 0.12842158676707144 TFIDFSystem
50 Q0 CACM-1508 70 0.12790780196053347 TFIDFSystem
50 Q0 CACM-1414 71 0.12790780196053347 TFIDFSystem
50 Q0 CACM-1064 72 0.12790780196053347 TFIDFSystem
50 Q0 CACM-1601 73 0.12621400273305555 TFIDFSystem
50 Q0 CACM-2175 74 0.1252583123792569 TFIDFSystem
50 Q0 CACM-1937 75 0.12456198131774265 TFIDFSystem
50 Q0 CACM-2497 76 0.12409924306917322 TFIDFSystem
50 Q0 CACM-1063 77 0.12151241186250682 TFIDFSystem
50 Q0 CACM-2479 78 0.12143245861186709 TFIDFSystem
50 Q0 CACM-2852 79 0.12117607221496447 TFIDFSystem
50 Q0 CACM-2631 80 0.11927592418580739 TFIDFSystem
50 Q0 CACM-2266 81 0.11899243564564752 TFIDFSystem
50 Q0 CACM-2583 82 0.11854869450000664 TFIDFSystem
50 Q0 CACM-2785 83 0.1178591743537842 TFIDFSystem
50 Q0 CACM-2570 84 0.1169174807909 TFIDFSystem
50 Q0 CACM-1065 85 0.11598281197718027 TFIDFSystem
50 Q0 CACM-0975 86 0.11598281197718027 TFIDFSystem
50 Q0 CACM-1970 87 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1773 88 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1490 89 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1136 90 0.11572610653572077 TFIDFSystem
50 Q0 CACM-1085 91 0.11572610653572077 TFIDFSystem
