parallel processors and paging algorithms
51 Q0 CACM-2085 1 0.4609174458787535 TFIDFSystem
51 Q0 CACM-2022 2 0.4609174458787535 TFIDFSystem
51 Q0 CACM-0371 3 0.29149794030677323 TFIDFSystem
51 Q0 CACM-3006 4 0.28002845064998494 TFIDFSystem
51 Q0 CACM-3075 5 0.2701240261302943 TFIDFSystem
51 Q0 CACM-1964 6 0.26630785761883535 TFIDFSystem
51 Q0 CACM-3156 7 0.2413426654455221 TFIDFSystem
51 Q0 CACM-2714 8 0.23552308114563017 TFIDFSystem
51 Q0 CACM-0082 9 0.2350087828837228 TFIDFSystem
51 Q0 CACM-1752 10 0.2262732070289193 TFIDFSystem
51 Q0 CACM-2973 11 0.2249541764884026 TFIDFSystem
51 Q0 CACM-0141 12 0.21403597794511905 TFIDFSystem
51 Q0 CACM-2872 13 0.21024304548855421 TFIDFSystem
51 Q0 CACM-2277 14 0.20416994323141213 TFIDFSystem
51 Q0 CACM-1158 15 0.19877047785586785 TFIDFSystem
51 Q0 CACM-1302 16 0.19263238015060716 TFIDFSystem
51 Q0 CACM-0392 17 0.19263238015060716 TFIDFSystem
51 Q0 CACM-2685 18 0.191828378073582 TFIDFSystem
51 Q0 CACM-2007 19 0.1807242094985883 TFIDFSystem
51 Q0 CACM-2325 20 0.1805648990685243 TFIDFSystem
51 Q0 CACM-1262 21 0.1736983215195279 TFIDFSystem
51 Q0 CACM-0763 22 0.16946843506376924 TFIDFSystem
51 Q0 CACM-1952 23 0.16942894640492653 TFIDFSystem
51 Q0 CACM-1660 24 0.16942894640492653 TFIDFSystem
51 Q0 CACM-1342 25 0.15946253779287203 TFIDFSystem
51 Q0 CACM-2365 26 0.15763955384921458 TFIDFSystem
51 Q0 CACM-2417 27 0.15590620591598375 TFIDFSystem
51 Q0 CACM-1811 28 0.15575002220313763 TFIDFSystem
51 Q0 CACM-3073 29 0.15561159936346408 TFIDFSystem
51 Q0 CACM-2896 30 0.1554052683127753 TFIDFSystem
51 Q0 CACM-2863 31 0.15501159247184254 TFIDFSystem
51 Q0 CACM-2068 32 0.15363914862625117 TFIDFSystem
51 Q0 CACM-1795 33 0.1523906996894987 TFIDFSystem
51 Q0 CACM-2884 34 0.15234469233356274 TFIDFSystem
51 Q0 CACM-1884 35 0.1504283319351616 TFIDFSystem
51 Q0 CACM-2723 36 0.14896451587862353 TFIDFSystem
51 Q0 CACM-2017 37 0.14665230203259103 TFIDFSystem
51 Q0 CACM-2700 38 0.14663330727019444 TFIDFSystem
51 Q0 CACM-2669 39 0.14601065494851043 TFIDFSystem
51 Q0 CACM-2266 40 0.14411422441526994 TFIDFSystem
51 Q0 CACM-2182 41 0.14269065196341268 TFIDFSystem
51 Q0 CACM-0804 42 0.14267700749888548 TFIDFSystem
51 Q0 CACM-0270 43 0.14267700749888548 TFIDFSystem
51 Q0 CACM-1796 44 0.13554315712394124 TFIDFSystem
51 Q0 CACM-2226 45 0.1322372264623817 TFIDFSystem
51 Q0 CACM-1551 46 0.13211437037476553 TFIDFSystem
51 Q0 CACM-2950 47 0.13065531218362694 TFIDFSystem
51 Q0 CACM-2570 48 0.12894004705446113 TFIDFSystem
51 Q0 CACM-1658 49 0.12745757581307599 TFIDFSystem
51 Q0 CACM-2450 50 0.1264400588165575 TFIDFSystem
51 Q0 CACM-3166 51 0.1258092758707094 TFIDFSystem
51 Q0 CACM-2557 52 0.12511496332781943 TFIDFSystem
51 Q0 CACM-2785 53 0.12377228175601966 TFIDFSystem
51 Q0 CACM-1374 54 0.12322105193085567 TFIDFSystem
51 Q0 CACM-2505 55 0.1224977332197015 TFIDFSystem
51 Q0 CACM-2373 56 0.12129972564415076 TFIDFSystem
51 Q0 CACM-1924 57 0.12089664870978592 TFIDFSystem
51 Q0 CACM-2283 58 0.11820582203658556 TFIDFSystem
51 Q0 CACM-2725 59 0.11786361489038368 TFIDFSystem
51 Q0 CACM-0950 60 0.11695742583209223 TFIDFSystem
